date,game_id,player_id,player_name,team,opponent,line,d7_hits_rate,d15_hits_rate,d30_hits_rate,model_prob_over,model_prob_under,price_over,price_under,actual_over_outcome,actual_under_outcome,pnl_over_1u,pnl_under_1u,player_team,opponent_team,opposing_starter_player_id,pitcher_expected_hits_allowed_weighted,pitcher_base,offense_hits_pg_last7,offense_hits_pg_last15,offense_hits_pg_last30,offense_hits_form_blended,league_offense_hits_form_blended,offense_factor_vs_league,offense_factor_vs_league_clamped,bullpen_hits_allowed_pg_last7,bullpen_hits_allowed_pg_last15,bullpen_hits_allowed_pg_last30,bullpen_hits_allowed_form_blended,starter_expected_hits_allowed,starter_context_status,team_expected_hits_allowed,side,result,price,units,model_prob,placed,placed_status,hitter_tier,pitcher_tier,combined_tier,ops_proxy_inclusion,env_v2_alpha_research_status,env_v2_alpha_bucket_schema,env_v2_alpha_offense_strength_bucket,env_v2_alpha_offense_form_bucket,env_v2_alpha_pitcher_base_bucket,env_v2_alpha_starter_matchup_bucket,env_v2_alpha_bullpen_support_bucket,env_v2_alpha_team_rollup_bucket,env_v2_alpha_agreement_profile,env_v2_alpha_offense_high_starter_high_bullpen_high,env_v2_alpha_offense_high_starter_high_bullpen_low,env_v2_alpha_offense_high_starter_low_bullpen_high,env_v2_alpha_offense_low_starter_high_bullpen_high,env_v2_alpha_team_expected_high_starter_mediocre,env_v2_alpha_starter_high_team_expected_mediocre,env_v2_alpha_component_missing_count,env_v2_alpha_component_coverage
2026-04-09,823645,666182,Bo Bichette,,,1.5,1.4285714285714286,1.0,0.9,0.360239,0.639761,195.0,-263.0,loss,win,-1.0,0.3802281368821292,NYM,ARI,593958,5.639639639639639,5.639639639639639,9.42857142857143,8.53333333333333,8.06666666666667,8.887619047619047,8.352281746031734,1.0640947369671359,1.0640947369671359,3.71428571428571,4.53333333333333,6.93333333333333,4.603809523809519,6.001110858931774,projected,10.604920382741295,over,loss,195.0,-1.0,0.360239,False,unplaced,C,A,C/A,True,research_only_no_tier_change,fixed_research_bins_not_optimized,high,mid,high,high,high,high,offense_high_starter_high_bullpen_high,yes,no,no,no,no,no,0,7/7
2026-04-09,824130,677951,Bobby Witt Jr.,,,1.5,1.1428571428571428,0.8666666666666667,1.1333333333333333,0.271537,0.728463,145.0,-190.0,win,loss,1.45,-1.0,KC,CWS,641743,,,7.0,7.0,7.4,7.08,8.352281746031734,0.8476725540734771,0.8476725540734771,5.0,5.6,6.9,5.56,,missing,,over,win,145.0,1.45,0.271537,False,unplaced,C,U,C/U,False,research_only_no_tier_change,fixed_research_bins_not_optimized,low,low,missing,missing,high,missing,component_missing,no,no,no,no,no,no,4,3/7
2026-04-09,824130,672580,Maikel Garcia,,,1.5,1.4285714285714286,1.0,1.0,0.387884,0.612116,145.0,-190.0,win,loss,1.45,-1.0,KC,CWS,641743,,,7.0,7.0,7.4,7.08,8.352281746031734,0.8476725540734771,0.8476725540734771,5.0,5.6,6.9,5.56,,missing,,over,win,145.0,1.45,0.387884,False,unplaced,C,U,C/U,False,research_only_no_tier_change,fixed_research_bins_not_optimized,low,low,missing,missing,high,missing,component_missing,no,no,no,no,no,no,4,3/7
2026-04-09,824130,521692,Salvador Perez,,,1.5,0.5714285714285714,0.7333333333333333,0.6333333333333333,0.214942,0.785058,182.0,-244.0,loss,win,-1.0,0.4098360655737705,KC,CWS,641743,,,7.0,7.0,7.4,7.08,8.352281746031734,0.8476725540734771,0.8476725540734771,5.0,5.6,6.9,5.56,,missing,,over,loss,182.0,-1.0,0.214942,False,unplaced,C,U,C/U,False,research_only_no_tier_change,fixed_research_bins_not_optimized,low,low,missing,missing,high,missing,component_missing,no,no,no,no,no,no,4,3/7
2026-04-10,822829,621439,Byron Buxton,,,1.5,0.7142857142857143,0.7333333333333333,0.7,0.209063,0.790937,185.0,-250.0,loss,win,-1.0,0.4,MIN,TOR,571578,5.64285714285714,5.64285714285714,7.57142857142857,7.86666666666667,8.13333333333333,7.772380952380952,8.347658730158713,0.9310851346019481,0.9310851346019481,5.28571428571429,5.33333333333333,6.46666666666667,5.536190476190478,5.253980402396704,projected,10.790170878587181,over,loss,185.0,-1.0,0.209063,False,unplaced,C,B,C/B,False,research_only_no_tier_change,fixed_research_bins_not_optimized,low,low,high,mid,high,high,team_expected_high_starter_mediocre,no,no,no,no,yes,no,0,7/7
2026-04-10,822829,543807,George Springer,,,1.5,0.7142857142857143,0.9333333333333332,0.9,0.22153,0.77847,180.0,-250.0,loss,win,-1.0,0.4,TOR,MIN,680573,4.855670103092785,4.855670103092785,7.42857142857143,8.86666666666667,8.36666666666667,8.04761904761905,8.347658730158713,0.9640570257794955,0.9640570257794955,3.85714285714286,4.26666666666667,6.3,4.468571428571431,4.681142877754047,projected,9.149714306325478,over,loss,180.0,-1.0,0.22153,False,unplaced,C,C,C/C,False,research_only_no_tier_change,fixed_research_bins_not_optimized,mid,mid,mid,mid,mid,high,team_expected_high_starter_mediocre,no,no,no,no,yes,no,0,7/7
2026-04-10,822829,665489,Vladimir Guerrero Jr.,,,1.5,0.7142857142857143,1.0666666666666669,1.0333333333333332,0.260401,0.739599,182.0,-244.0,win,loss,1.82,-1.0,TOR,MIN,680573,4.855670103092785,4.855670103092785,7.42857142857143,8.86666666666667,8.36666666666667,8.04761904761905,8.347658730158713,0.9640570257794955,0.9640570257794955,3.85714285714286,4.26666666666667,6.3,4.468571428571431,4.681142877754047,projected,9.149714306325478,over,win,182.0,1.82,0.260401,False,unplaced,C,C,C/C,False,research_only_no_tier_change,fixed_research_bins_not_optimized,mid,mid,mid,mid,mid,high,team_expected_high_starter_mediocre,no,no,no,no,yes,no,0,7/7
2026-04-10,822997,802415,Chandler Simpson,,,1.5,1.4285714285714286,1.4,1.0333333333333332,0.317996,0.682004,171.0,-230.0,loss,win,-1.0,0.4347826086956521,TB,NYY,661563,,,7.85714285714286,8.8,8.16666666666667,8.201904761904764,8.347658730158713,0.982539539173138,0.982539539173138,3.14285714285714,4.26666666666667,6.26666666666667,4.104761904761905,,missing,,over,loss,171.0,-1.0,0.317996,False,unplaced,A,U,A/U,False,research_only_no_tier_change,fixed_research_bins_not_optimized,mid,mid,missing,missing,mid,missing,component_missing,no,no,no,no,no,no,4,3/7
2026-04-10,823076,807799,Masataka Yoshida,,,1.5,0.5714285714285714,0.6,0.9666666666666668,0.188313,0.811687,174.0,-233.0,loss,win,-1.0,0.4291845493562232,BOS,STL,669160,5.5643564356435675,5.5643564356435675,7.42857142857143,7.86666666666667,7.8,7.634285714285715,8.347658730158713,0.9145421442187498,0.9145421442187498,2.42857142857143,4.46666666666667,5.83333333333333,3.720952380952382,5.088838465850868,projected,8.80979084680325,over,loss,174.0,-1.0,0.188313,False,unplaced,C,B,C/B,False,research_only_no_tier_change,fixed_research_bins_not_optimized,low,low,high,mid,mid,mid,offense_low_starter_mid_bullpen_mid,no,no,no,no,no,no,0,7/7
2026-04-10,823318,665487,Fernando Tatis Jr.,,,1.5,0.7142857142857143,0.6666666666666666,0.7,0.205982,0.794018,195.0,-263.0,loss,win,-1.0,0.3802281368821292,SD,COL,608372,4.8560606060606055,4.8560606060606055,8.28571428571429,7.13333333333333,7.7,7.822857142857144,8.347658730158713,0.9371318828109794,0.9371318828109794,3.71428571428571,4.86666666666667,7.76666666666667,4.8704761904761895,4.5507692188018005,projected,9.42124540927799,over,loss,195.0,-1.0,0.205982,False,unplaced,C,C,C/C,False,research_only_no_tier_change,fixed_research_bins_not_optimized,low,low,mid,mid,high,high,team_expected_high_starter_mediocre,no,no,no,no,yes,no,0,7/7
