summary_family,summary_value,rows,resolved,wins,losses,pushes,wr,roi,units,avg_odds,avg_implied,sample_flag,research_only_note
agreement_profile,component_missing,328,289,88,201,0,0.3044982698961938,-0.20056585857107925,-57.963533127041906,158.96885813148788,0.3798239293206178,ok,Environment v2-alpha dashboard descriptive bucket; not a production rule
agreement_profile,offense_high_starter_high_bullpen_high,88,85,52,33,0,0.611764705882353,0.5594117647058823,47.55,153.9764705882353,0.3982860130639862,ok,Environment v2-alpha dashboard descriptive bucket; not a production rule
agreement_profile,offense_high_starter_high_bullpen_low,75,70,30,40,0,0.42857142857142855,0.1336097711811998,9.352683982683985,153.47142857142856,0.383022245887536,ok,Environment v2-alpha dashboard descriptive bucket; not a production rule
agreement_profile,offense_high_starter_high_bullpen_mid,81,81,30,51,0,0.37037037037037035,-0.045937149270482626,-3.7209090909090925,153.1604938271605,0.38951973371026566,ok,Environment v2-alpha dashboard descriptive bucket; not a production rule
agreement_profile,offense_high_starter_low_bullpen_high,9,9,5,4,0,0.5555555555555556,0.5544444444444445,4.990000000000001,173.66666666666666,0.3670293700303339,small_lt_25,Environment v2-alpha dashboard descriptive bucket; not a production rule
agreement_profile,offense_high_starter_low_bullpen_low,29,28,14,14,0,0.5,0.33535714285714285,9.39,155.25,0.38799960012541046,thin_lt_50,Environment v2-alpha dashboard descriptive bucket; not a production rule
agreement_profile,offense_high_starter_low_bullpen_mid,19,19,5,14,0,0.2631578947368421,-0.3489473684210526,-6.63,158.26315789473685,0.3930603093071507,small_lt_25,Environment v2-alpha dashboard descriptive bucket; not a production rule
agreement_profile,offense_high_starter_mid_bullpen_low,52,52,24,28,0,0.46153846153846156,0.2036680911680912,10.590740740740742,158.90384615384616,0.37474210312659345,ok,Environment v2-alpha dashboard descriptive bucket; not a production rule
agreement_profile,offense_high_starter_mid_bullpen_mid,16,16,5,11,0,0.3125,-0.13437500000000002,-2.1500000000000004,180.4375,0.36421003171283073,small_lt_25,Environment v2-alpha dashboard descriptive bucket; not a production rule
agreement_profile,offense_low_starter_high_bullpen_high,18,18,5,13,0,0.2777777777777778,-0.26999999999999996,-4.859999999999999,162.77777777777777,0.38548115410074235,small_lt_25,Environment v2-alpha dashboard descriptive bucket; not a production rule
agreement_profile,offense_low_starter_high_bullpen_low,3,3,0,3,0,0.0,-1.0,-3.0,183.0,0.3535448715152198,small_lt_25,Environment v2-alpha dashboard descriptive bucket; not a production rule
agreement_profile,offense_low_starter_high_bullpen_mid,22,21,6,15,0,0.2857142857142857,-0.3544150499706055,-7.4427160493827165,107.0,0.432092994971732,small_lt_25,Environment v2-alpha dashboard descriptive bucket; not a production rule
agreement_profile,offense_low_starter_low_bullpen_high,17,16,3,13,0,0.1875,-0.5237499999999999,-8.379999999999999,154.5625,0.3964848664548944,small_lt_25,Environment v2-alpha dashboard descriptive bucket; not a production rule
agreement_profile,offense_low_starter_low_bullpen_low,160,157,30,127,0,0.1910828025477707,-0.512837380189524,-80.51546868975527,154.19745222929936,0.38183519094944357,ok,Environment v2-alpha dashboard descriptive bucket; not a production rule
agreement_profile,offense_low_starter_low_bullpen_mid,104,101,29,72,0,0.2871287128712871,-0.2979660188241046,-30.094567901234566,139.5742574257426,0.4016481522628001,ok,Environment v2-alpha dashboard descriptive bucket; not a production rule
agreement_profile,offense_low_starter_mid_bullpen_low,137,134,30,104,0,0.22388059701492538,-0.4174933413739385,-55.94410774410776,159.47761194029852,0.377130268898297,ok,Environment v2-alpha dashboard descriptive bucket; not a production rule
agreement_profile,offense_low_starter_mid_bullpen_mid,42,41,12,29,0,0.2926829268292683,-0.19585365853658535,-8.03,173.78048780487805,0.3671572224738529,thin_lt_50,Environment v2-alpha dashboard descriptive bucket; not a production rule
agreement_profile,offense_mid_starter_high_bullpen_high,16,16,7,9,0,0.4375,0.186875,2.99,169.375,0.37449063704643,small_lt_25,Environment v2-alpha dashboard descriptive bucket; not a production rule
agreement_profile,offense_mid_starter_high_bullpen_low,21,21,4,17,0,0.19047619047619047,-0.4904761904761905,-10.3,177.85714285714286,0.3612146241751307,small_lt_25,Environment v2-alpha dashboard descriptive bucket; not a production rule
agreement_profile,offense_mid_starter_high_bullpen_mid,54,52,19,33,0,0.36538461538461536,-0.043915068915068925,-2.2835835835835843,144.73076923076923,0.3914625614974229,ok,Environment v2-alpha dashboard descriptive bucket; not a production rule
