player,game_pk,player_mlb_id,original_migration_classification,local_player_stats_status,official_source_status,final_participation_role,official_plate_appearances,official_total_bases,final_support_decision,original_gap_reason
JJ Wetherholt,822783,802139,DID_NOT_APPEAR,LOCAL_ROW_MISSING,OFFICIAL_NONAPPEARANCE_SUPPORTED,DID_NOT_APPEAR,0,0,OFFICIAL_NONAPPEARANCE_SUPPORTED,EARLIER_PRESERVED_FEED_ALREADY_SUPPORTED
Christian Yelich,823996,592885,MISSING_AUTHORITATIVE_SUPPORT,LOCAL_ROW_MISSING,OFFICIAL_NONAPPEARANCE_SUPPORTED,DID_NOT_APPEAR,0,0,OFFICIAL_NONAPPEARANCE_SUPPORTED,EARLIER_AUDIT_USED_ONLY_RETIRED_COHORT_OUTCOME_PAYLOAD_SUBSET
Jake Bauers,823996,641343,MISSING_AUTHORITATIVE_SUPPORT,LOCAL_ROW_VERIFIED_EXACT,OFFICIAL_APPEARANCE_RESULT_RECOVERED,STARTED,4,1,LOCAL_ROW_VERIFIED_EXACT,EARLIER_AUDIT_USED_ONLY_RETIRED_COHORT_OUTCOME_PAYLOAD_SUBSET
William Contreras,823996,661388,MISSING_AUTHORITATIVE_SUPPORT,LOCAL_ROW_VERIFIED_EXACT,OFFICIAL_APPEARANCE_RESULT_RECOVERED,STARTED,4,0,LOCAL_ROW_VERIFIED_EXACT,EARLIER_AUDIT_USED_ONLY_RETIRED_COHORT_OUTCOME_PAYLOAD_SUBSET
Brice Turang,823996,668930,MISSING_AUTHORITATIVE_SUPPORT,LOCAL_ROW_VERIFIED_EXACT,OFFICIAL_APPEARANCE_RESULT_RECOVERED,STARTED,4,1,LOCAL_ROW_VERIFIED_EXACT,EARLIER_AUDIT_USED_ONLY_RETIRED_COHORT_OUTCOME_PAYLOAD_SUBSET
Garrett Mitchell,823996,669003,MISSING_AUTHORITATIVE_SUPPORT,LOCAL_ROW_VERIFIED_EXACT,OFFICIAL_APPEARANCE_RESULT_RECOVERED,STARTED,4,0,LOCAL_ROW_VERIFIED_EXACT,EARLIER_AUDIT_USED_ONLY_RETIRED_COHORT_OUTCOME_PAYLOAD_SUBSET
Andrew Vaughn,823996,683734,MISSING_AUTHORITATIVE_SUPPORT,LOCAL_ROW_VERIFIED_EXACT,OFFICIAL_APPEARANCE_RESULT_RECOVERED,STARTED,4,0,LOCAL_ROW_VERIFIED_EXACT,EARLIER_AUDIT_USED_ONLY_RETIRED_COHORT_OUTCOME_PAYLOAD_SUBSET
Zach Neto,823996,687263,MISSING_AUTHORITATIVE_SUPPORT,LOCAL_ROW_VERIFIED_EXACT,OFFICIAL_APPEARANCE_RESULT_RECOVERED,STARTED,4,1,LOCAL_ROW_VERIFIED_EXACT,EARLIER_AUDIT_USED_ONLY_RETIRED_COHORT_OUTCOME_PAYLOAD_SUBSET
Jackson Chourio,823996,694192,MISSING_AUTHORITATIVE_SUPPORT,LOCAL_ROW_VERIFIED_EXACT,OFFICIAL_APPEARANCE_RESULT_RECOVERED,STARTED,4,2,LOCAL_ROW_VERIFIED_EXACT,EARLIER_AUDIT_USED_ONLY_RETIRED_COHORT_OUTCOME_PAYLOAD_SUBSET
Christian Walker,824163,572233,STARTED,LOCAL_ROW_VERIFIED_EXACT,OFFICIAL_APPEARANCE_RESULT_RECOVERED,STARTED,5,2,LOCAL_ROW_VERIFIED_EXACT,EARLIER_PRESERVED_FEED_ALREADY_SUPPORTED
Jeremy Peña,824163,665161,STARTED,LOCAL_ROW_VERIFIED_EXACT,OFFICIAL_APPEARANCE_RESULT_RECOVERED,STARTED,5,5,LOCAL_ROW_VERIFIED_EXACT,EARLIER_PRESERVED_FEED_ALREADY_SUPPORTED
Yordan Alvarez,824163,670541,STARTED,LOCAL_ROW_VERIFIED_EXACT,OFFICIAL_APPEARANCE_RESULT_RECOVERED,STARTED,5,7,LOCAL_ROW_VERIFIED_EXACT,EARLIER_PRESERVED_FEED_ALREADY_SUPPORTED
Isaac Paredes,824163,670623,STARTED,LOCAL_ROW_VERIFIED_EXACT,OFFICIAL_APPEARANCE_RESULT_RECOVERED,STARTED,5,0,LOCAL_ROW_VERIFIED_EXACT,EARLIER_PRESERVED_FEED_ALREADY_SUPPORTED
Yainer Diaz,824163,673237,OTHER_SUBSTITUTE,LOCAL_ROW_VERIFIED_EXACT,OFFICIAL_ZERO_PA_APPEARANCE_RECOVERED,OTHER_SUBSTITUTE,0,0,LOCAL_ROW_VERIFIED_EXACT,EARLIER_PRESERVED_FEED_ALREADY_SUPPORTED
Starling Marte,824323,516782,MISSING_AUTHORITATIVE_SUPPORT,LOCAL_ROW_VERIFIED_EXACT,OFFICIAL_APPEARANCE_RESULT_RECOVERED,STARTED,4,1,LOCAL_ROW_VERIFIED_EXACT,EARLIER_AUDIT_USED_ONLY_RETIRED_COHORT_OUTCOME_PAYLOAD_SUBSET
Andrew Velazquez,824323,623205,MISSING_AUTHORITATIVE_SUPPORT,LOCAL_ROW_MISSING,OFFICIAL_NONAPPEARANCE_SUPPORTED,DID_NOT_APPEAR,0,0,OFFICIAL_NONAPPEARANCE_SUPPORTED,EARLIER_AUDIT_USED_ONLY_RETIRED_COHORT_OUTCOME_PAYLOAD_SUBSET
Willi Castro,824323,650489,MISSING_AUTHORITATIVE_SUPPORT,LOCAL_ROW_VERIFIED_EXACT,OFFICIAL_APPEARANCE_RESULT_RECOVERED,STARTED,4,1,LOCAL_ROW_VERIFIED_EXACT,EARLIER_AUDIT_USED_ONLY_RETIRED_COHORT_OUTCOME_PAYLOAD_SUBSET
Jake McCarthy,824323,664983,MISSING_AUTHORITATIVE_SUPPORT,LOCAL_ROW_VERIFIED_EXACT,OFFICIAL_APPEARANCE_RESULT_RECOVERED,STARTED,5,4,LOCAL_ROW_VERIFIED_EXACT,EARLIER_AUDIT_USED_ONLY_RETIRED_COHORT_OUTCOME_PAYLOAD_SUBSET
Mickey Moniak,824323,666160,MISSING_AUTHORITATIVE_SUPPORT,LOCAL_ROW_VERIFIED_EXACT,OFFICIAL_APPEARANCE_RESULT_RECOVERED,STARTED,5,0,LOCAL_ROW_VERIFIED_EXACT,EARLIER_AUDIT_USED_ONLY_RETIRED_COHORT_OUTCOME_PAYLOAD_SUBSET
John Rave,824323,670231,MISSING_AUTHORITATIVE_SUPPORT,LOCAL_ROW_VERIFIED_EXACT,OFFICIAL_APPEARANCE_RESULT_RECOVERED,STARTED,4,1,LOCAL_ROW_VERIFIED_EXACT,EARLIER_AUDIT_USED_ONLY_RETIRED_COHORT_OUTCOME_PAYLOAD_SUBSET
Tyler Freeman,824323,671289,MISSING_AUTHORITATIVE_SUPPORT,LOCAL_ROW_MISSING,OFFICIAL_NONAPPEARANCE_SUPPORTED,DID_NOT_APPEAR,0,0,OFFICIAL_NONAPPEARANCE_SUPPORTED,EARLIER_AUDIT_USED_ONLY_RETIRED_COHORT_OUTCOME_PAYLOAD_SUBSET
Ezequiel Tovar,824323,678662,MISSING_AUTHORITATIVE_SUPPORT,LOCAL_ROW_VERIFIED_EXACT,OFFICIAL_APPEARANCE_RESULT_RECOVERED,STARTED,4,0,LOCAL_ROW_VERIFIED_EXACT,EARLIER_AUDIT_USED_ONLY_RETIRED_COHORT_OUTCOME_PAYLOAD_SUBSET
Nick Loftin,824323,679845,MISSING_AUTHORITATIVE_SUPPORT,LOCAL_ROW_VERIFIED_EXACT,OFFICIAL_APPEARANCE_RESULT_RECOVERED,STARTED,4,0,LOCAL_ROW_VERIFIED_EXACT,EARLIER_AUDIT_USED_ONLY_RETIRED_COHORT_OUTCOME_PAYLOAD_SUBSET
TJ Rumfield,824323,681198,MISSING_AUTHORITATIVE_SUPPORT,LOCAL_ROW_VERIFIED_EXACT,OFFICIAL_APPEARANCE_RESULT_RECOVERED,STARTED,4,2,LOCAL_ROW_VERIFIED_EXACT,EARLIER_AUDIT_USED_ONLY_RETIRED_COHORT_OUTCOME_PAYLOAD_SUBSET
Tyler Tolbert,824323,686475,MISSING_AUTHORITATIVE_SUPPORT,LOCAL_ROW_VERIFIED_EXACT,OFFICIAL_APPEARANCE_RESULT_RECOVERED,STARTED,4,0,LOCAL_ROW_VERIFIED_EXACT,EARLIER_AUDIT_USED_ONLY_RETIRED_COHORT_OUTCOME_PAYLOAD_SUBSET
Isaac Collins,824323,686555,MISSING_AUTHORITATIVE_SUPPORT,LOCAL_ROW_MISSING,OFFICIAL_NONAPPEARANCE_SUPPORTED,DID_NOT_APPEAR,0,0,OFFICIAL_NONAPPEARANCE_SUPPORTED,EARLIER_AUDIT_USED_ONLY_RETIRED_COHORT_OUTCOME_PAYLOAD_SUBSET
Troy Johnston,824323,687859,MISSING_AUTHORITATIVE_SUPPORT,LOCAL_ROW_VERIFIED_EXACT,OFFICIAL_APPEARANCE_RESULT_RECOVERED,STARTED,4,1,LOCAL_ROW_VERIFIED_EXACT,EARLIER_AUDIT_USED_ONLY_RETIRED_COHORT_OUTCOME_PAYLOAD_SUBSET
Kyle Karros,824323,691720,MISSING_AUTHORITATIVE_SUPPORT,LOCAL_ROW_MISSING,OFFICIAL_NONAPPEARANCE_SUPPORTED,DID_NOT_APPEAR,0,0,OFFICIAL_NONAPPEARANCE_SUPPORTED,EARLIER_AUDIT_USED_ONLY_RETIRED_COHORT_OUTCOME_PAYLOAD_SUBSET
Cole Carrigg,824323,694249,MISSING_AUTHORITATIVE_SUPPORT,LOCAL_ROW_VERIFIED_EXACT,OFFICIAL_APPEARANCE_RESULT_RECOVERED,STARTED,4,4,LOCAL_ROW_VERIFIED_EXACT,EARLIER_AUDIT_USED_ONLY_RETIRED_COHORT_OUTCOME_PAYLOAD_SUBSET
Carter Jensen,824323,695600,MISSING_AUTHORITATIVE_SUPPORT,LOCAL_ROW_VERIFIED_EXACT,OFFICIAL_APPEARANCE_RESULT_RECOVERED,STARTED,4,0,LOCAL_ROW_VERIFIED_EXACT,EARLIER_AUDIT_USED_ONLY_RETIRED_COHORT_OUTCOME_PAYLOAD_SUBSET
Hunter Goodman,824323,696100,MISSING_AUTHORITATIVE_SUPPORT,LOCAL_ROW_MISSING,OFFICIAL_NONAPPEARANCE_SUPPORTED,DID_NOT_APPEAR,0,0,OFFICIAL_NONAPPEARANCE_SUPPORTED,EARLIER_AUDIT_USED_ONLY_RETIRED_COHORT_OUTCOME_PAYLOAD_SUBSET
