game_pk,official_batting_participants,normal_player_stats_exact_batter_rows,missing_official_appearances,missing_player_ids,extra_local_batter_rows,extra_player_ids,stat_mismatches,duplicate_identities,market_population_rows,market_population_exact_local_rows,market_population_officially_supported
822783,19,19,0,,0,,0,0,14,13,14
822943,20,20,0,,0,,0,0,9,9,9
823592,20,20,0,,0,,0,0,14,14,14
823996,20,20,0,,0,,0,0,8,7,8
824163,25,25,0,,0,,0,0,11,11,11
824323,18,18,0,,0,,0,0,17,12,17
824404,20,20,0,,0,,0,0,10,10,10
824483,19,19,0,,0,,0,0,12,12,12
824648,23,23,0,,0,,0,0,4,4,4
824807,19,0,19,547180|592663|607208|621493|624413|650559|656941|664761|665750|668670|669016|681082|681297|683002|687637|687952|689147|702222|702616,0,,0,0,9,0,9
824891,21,21,0,,0,,0,0,12,11,12
