slate_date,game_pk,player_mlb_id,player,governing_capture,market_timestamp,settlement_side,final_odds,outcome,risk,gross_winning_profit,net_result,decision
2026-07-29,822702,543807,George Springer,cleanroom_20260729T162627Z,2026-07-29T16:25:51+00:00,Over,112,LOSS,5.00,0,-5.0,SETTLEMENT_CERTIFIED
2026-07-29,822702,543807,George Springer,cleanroom_20260729T162627Z,2026-07-29T16:25:51+00:00,Under,-145,WIN,5.00,3.4482758620689653,3.4482758620689653,SETTLEMENT_CERTIFIED
2026-07-29,822702,649966,Luis Urías,cleanroom_20260729T135332Z,2026-07-29T13:53:53+00:00,Over,190,LOSS,5.00,,,NO_ACTION
2026-07-29,822702,649966,Luis Urías,cleanroom_20260729T135332Z,2026-07-29T13:53:53+00:00,Under,-256,WIN,5.00,,,NO_ACTION
2026-07-29,822702,660688,Keibert Ruiz,cleanroom_20260729T135332Z,2026-07-29T13:53:53+00:00,Over,171,LOSS,5.00,,,NO_ACTION
2026-07-29,822702,660688,Keibert Ruiz,cleanroom_20260729T135332Z,2026-07-29T13:53:53+00:00,Under,-227,WIN,5.00,,,NO_ACTION
2026-07-29,822702,662139,Daulton Varsho,cleanroom_20260729T162627Z,2026-07-29T16:25:51+00:00,Over,122,WIN,5.00,6.1,6.1,SETTLEMENT_CERTIFIED
2026-07-29,822702,662139,Daulton Varsho,cleanroom_20260729T162627Z,2026-07-29T16:25:51+00:00,Under,-159,LOSS,5.00,0,-5.0,SETTLEMENT_CERTIFIED
2026-07-29,822702,664770,Nathan Lukes,cleanroom_20260729T162627Z,2026-07-29T16:25:51+00:00,Over,109,LOSS,5.00,0,-5.0,SETTLEMENT_CERTIFIED
2026-07-29,822702,664770,Nathan Lukes,cleanroom_20260729T162627Z,2026-07-29T16:25:51+00:00,Under,-141,WIN,5.00,3.5460992907801416,3.5460992907801416,SETTLEMENT_CERTIFIED
2026-07-29,822702,665926,Andrés Giménez,cleanroom_20260729T162627Z,2026-07-29T16:25:51+00:00,Over,152,LOSS,5.00,0,-5.0,SETTLEMENT_CERTIFIED
2026-07-29,822702,665926,Andrés Giménez,cleanroom_20260729T162627Z,2026-07-29T16:25:51+00:00,Under,-200,WIN,5.00,2.5,2.5,SETTLEMENT_CERTIFIED
2026-07-29,822702,671277,Luis García Jr.,cleanroom_20260729T162627Z,2026-07-29T16:25:51+00:00,Over,110,LOSS,5.00,0,-5.0,SETTLEMENT_CERTIFIED
2026-07-29,822702,671277,Luis García Jr.,cleanroom_20260729T162627Z,2026-07-29T16:25:51+00:00,Under,-143,WIN,5.00,3.4965034965034967,3.4965034965034967,SETTLEMENT_CERTIFIED
2026-07-29,822702,672386,Alejandro Kirk,cleanroom_20260729T162627Z,2026-07-29T16:25:51+00:00,Over,136,WIN,5.00,6.8,6.8,SETTLEMENT_CERTIFIED
2026-07-29,822702,672386,Alejandro Kirk,cleanroom_20260729T162627Z,2026-07-29T16:25:51+00:00,Under,-179,LOSS,5.00,0,-5.0,SETTLEMENT_CERTIFIED
2026-07-29,822702,672960,Kazuma Okamoto,cleanroom_20260729T162627Z,2026-07-29T16:25:51+00:00,Over,107,WIN,5.00,5.35,5.35,SETTLEMENT_CERTIFIED
2026-07-29,822702,672960,Kazuma Okamoto,cleanroom_20260729T162627Z,2026-07-29T16:25:51+00:00,Under,-139,LOSS,5.00,0,-5.0,SETTLEMENT_CERTIFIED
