slate_date,side,field,stored_value,reconstructed_value,difference,decision
2026-07-29,Over,wagers,218,218,0.0,EXACT_MATCH
2026-07-29,Over,wins,79,79,0.0,EXACT_MATCH
2026-07-29,Over,losses,139,139,0.0,EXACT_MATCH
2026-07-29,Over,no_action,SOURCE_NOT_AVAILABLE,14,,SOURCE_NOT_AVAILABLE
2026-07-29,Over,pending,SOURCE_NOT_AVAILABLE,0,,SOURCE_NOT_AVAILABLE
2026-07-29,Over,technical_unresolved,SOURCE_NOT_AVAILABLE,0,,SOURCE_NOT_AVAILABLE
2026-07-29,Over,win_rate,0.3623853211009174,0.3623853211009174,0.0,EXACT_MATCH
2026-07-29,Over,total_stake,1090,1090,0.0,EXACT_MATCH
2026-07-29,Over,gross_winning_profit,542.7281647155112,542.7281647155112,0.0,EXACT_MATCH
2026-07-29,Over,net_dollars,-152.27183528448882,-152.27183528448873,8.526512829121202e-14,EXACT_MATCH
2026-07-29,Over,roi,-0.13969893145365947,-0.1396989314536594,8.326672684688674e-17,EXACT_MATCH
2026-07-29,Over,average_american_odds,132.3302752293578,132.3302752293578,0.0,EXACT_MATCH
2026-07-29,Under,wagers,218,218,0.0,EXACT_MATCH
2026-07-29,Under,wins,139,139,0.0,EXACT_MATCH
2026-07-29,Under,losses,79,79,0.0,EXACT_MATCH
2026-07-29,Under,no_action,SOURCE_NOT_AVAILABLE,14,,SOURCE_NOT_AVAILABLE
2026-07-29,Under,pending,SOURCE_NOT_AVAILABLE,0,,SOURCE_NOT_AVAILABLE
2026-07-29,Under,technical_unresolved,SOURCE_NOT_AVAILABLE,0,,SOURCE_NOT_AVAILABLE
2026-07-29,Under,win_rate,0.6376146788990825,0.6376146788990825,0.0,EXACT_MATCH
2026-07-29,Under,total_stake,1090,1090,0.0,EXACT_MATCH
2026-07-29,Under,gross_winning_profit,381.86992961984583,381.86992961984583,0.0,EXACT_MATCH
2026-07-29,Under,net_dollars,-13.130070380154166,-13.130070380154393,-2.2737367544323206e-13,EXACT_MATCH
2026-07-29,Under,roi,-0.012045936128581803,-0.012045936128582012,-2.0816681711721685e-16,EXACT_MATCH
2026-07-29,Under,average_american_odds,-185.38073394495413,-185.38073394495413,0.0,EXACT_MATCH
2026-07-30,Over,wagers,SOURCE_NOT_AVAILABLE,126,,SOURCE_NOT_AVAILABLE
2026-07-30,Over,wins,SOURCE_NOT_AVAILABLE,44,,SOURCE_NOT_AVAILABLE
2026-07-30,Over,losses,SOURCE_NOT_AVAILABLE,82,,SOURCE_NOT_AVAILABLE
2026-07-30,Over,no_action,SOURCE_NOT_AVAILABLE,3,,SOURCE_NOT_AVAILABLE
2026-07-30,Over,pending,SOURCE_NOT_AVAILABLE,0,,SOURCE_NOT_AVAILABLE
2026-07-30,Over,technical_unresolved,SOURCE_NOT_AVAILABLE,0,,SOURCE_NOT_AVAILABLE
2026-07-30,Over,win_rate,SOURCE_NOT_AVAILABLE,0.3492063492063492,,SOURCE_NOT_AVAILABLE
2026-07-30,Over,total_stake,SOURCE_NOT_AVAILABLE,630,,SOURCE_NOT_AVAILABLE
2026-07-30,Over,gross_winning_profit,SOURCE_NOT_AVAILABLE,303.4391336881436,,SOURCE_NOT_AVAILABLE
2026-07-30,Over,net_dollars,SOURCE_NOT_AVAILABLE,-106.56086631185642,,SOURCE_NOT_AVAILABLE
2026-07-30,Over,roi,SOURCE_NOT_AVAILABLE,-0.16914423224104194,,SOURCE_NOT_AVAILABLE
2026-07-30,Over,average_american_odds,SOURCE_NOT_AVAILABLE,129.0952380952381,,SOURCE_NOT_AVAILABLE
2026-07-30,Under,wagers,SOURCE_NOT_AVAILABLE,126,,SOURCE_NOT_AVAILABLE
2026-07-30,Under,wins,SOURCE_NOT_AVAILABLE,82,,SOURCE_NOT_AVAILABLE
2026-07-30,Under,losses,SOURCE_NOT_AVAILABLE,44,,SOURCE_NOT_AVAILABLE
2026-07-30,Under,no_action,SOURCE_NOT_AVAILABLE,3,,SOURCE_NOT_AVAILABLE
2026-07-30,Under,pending,SOURCE_NOT_AVAILABLE,0,,SOURCE_NOT_AVAILABLE
2026-07-30,Under,technical_unresolved,SOURCE_NOT_AVAILABLE,0,,SOURCE_NOT_AVAILABLE
2026-07-30,Under,win_rate,SOURCE_NOT_AVAILABLE,0.6507936507936508,,SOURCE_NOT_AVAILABLE
2026-07-30,Under,total_stake,SOURCE_NOT_AVAILABLE,630,,SOURCE_NOT_AVAILABLE
2026-07-30,Under,gross_winning_profit,SOURCE_NOT_AVAILABLE,236.03792682922395,,SOURCE_NOT_AVAILABLE
2026-07-30,Under,net_dollars,SOURCE_NOT_AVAILABLE,16.037926829223924,,SOURCE_NOT_AVAILABLE
2026-07-30,Under,roi,SOURCE_NOT_AVAILABLE,0.025457026713053846,,SOURCE_NOT_AVAILABLE
2026-07-30,Under,average_american_odds,SOURCE_NOT_AVAILABLE,-179.88095238095238,,SOURCE_NOT_AVAILABLE
