slate_date,game_pk,player_mlb_id,player,plate_appearances,at_bats,hits,singles,doubles,triples,home_runs,walks,hit_by_pitch,sacrifice_flies,recomputed_tb_components,recomputed_tb_equivalent,official_total_bases,decision
2026-07-29,822702,543807,George Springer,5,4,1,1,0,0,0,1,0,0,1,1,1,TB_ARITHMETIC_CERTIFIED
2026-07-29,822702,649966,Luis Urías,0,0,0,0,0,0,0,0,0,0,0,0,0,TB_ARITHMETIC_CERTIFIED
2026-07-29,822702,660688,Keibert Ruiz,0,0,0,0,0,0,0,,,,0,0,0,TB_ARITHMETIC_CERTIFIED
2026-07-29,822702,662139,Daulton Varsho,5,5,2,1,1,0,0,0,0,0,3,3,3,TB_ARITHMETIC_CERTIFIED
2026-07-29,822702,664770,Nathan Lukes,5,3,0,0,0,0,0,2,0,0,0,0,0,TB_ARITHMETIC_CERTIFIED
2026-07-29,822702,665926,Andrés Giménez,5,4,0,0,0,0,0,0,1,0,0,0,0,TB_ARITHMETIC_CERTIFIED
2026-07-29,822702,671277,Luis García Jr.,4,4,1,1,0,0,0,0,0,0,1,1,1,TB_ARITHMETIC_CERTIFIED
2026-07-29,822702,672386,Alejandro Kirk,5,5,2,2,0,0,0,0,0,0,2,2,2,TB_ARITHMETIC_CERTIFIED
2026-07-29,822702,672960,Kazuma Okamoto,5,5,3,2,1,0,0,0,0,0,4,4,4,TB_ARITHMETIC_CERTIFIED
2026-07-29,822702,676391,Ernie Clement,5,5,1,0,1,0,0,0,0,0,2,2,2,TB_ARITHMETIC_CERTIFIED
2026-07-29,822702,676914,Davis Schneider,4,3,1,0,1,0,0,1,0,0,2,2,2,TB_ARITHMETIC_CERTIFIED
2026-07-29,822702,677588,José Tena,1,0,0,0,0,0,0,1,0,0,0,0,0,TB_ARITHMETIC_CERTIFIED
2026-07-29,822702,682818,Yohendrick Piñango,5,5,2,2,0,0,0,0,0,0,2,2,2,TB_ARITHMETIC_CERTIFIED
2026-07-29,822702,682928,CJ Abrams,4,3,0,0,0,0,0,1,0,0,0,0,0,TB_ARITHMETIC_CERTIFIED
2026-07-29,822702,686611,Dylan Crews,0,0,0,0,0,0,0,,,,0,0,0,TB_ARITHMETIC_CERTIFIED
2026-07-29,822702,691781,Brady House,3,3,0,0,0,0,0,0,0,0,0,0,0,TB_ARITHMETIC_CERTIFIED
2026-07-29,822702,695578,James Wood,5,4,2,1,1,0,0,1,0,0,3,3,3,TB_ARITHMETIC_CERTIFIED
2026-07-29,822702,695734,Daylen Lile,4,4,1,1,0,0,0,0,0,0,1,1,1,TB_ARITHMETIC_CERTIFIED
2026-07-29,822947,607043,Brandon Nimmo,4,4,1,0,1,0,0,0,0,0,2,2,2,TB_ARITHMETIC_CERTIFIED
2026-07-29,822947,650490,Yandy Díaz,4,3,1,0,0,0,1,1,0,0,4,4,4,TB_ARITHMETIC_CERTIFIED
2026-07-29,822947,666018,Jonathan Aranda,4,4,1,0,1,0,0,0,0,0,2,2,2,TB_ARITHMETIC_CERTIFIED
2026-07-29,822947,668723,Ryan Vilade,3,3,1,0,0,0,1,0,0,0,4,4,4,TB_ARITHMETIC_CERTIFIED
2026-07-29,822947,669394,Jake Burger,4,4,1,0,1,0,0,0,0,0,2,2,2,TB_ARITHMETIC_CERTIFIED
2026-07-29,822947,676356,Jonny DeLuca,3,3,0,0,0,0,0,0,0,0,0,0,0,TB_ARITHMETIC_CERTIFIED
2026-07-29,822947,677649,Ezequiel Duran,4,4,0,0,0,0,0,0,0,0,0,0,0,TB_ARITHMETIC_CERTIFIED
2026-07-29,822947,691406,Junior Caminero,3,3,0,0,0,0,0,0,0,0,0,0,0,TB_ARITHMETIC_CERTIFIED
2026-07-29,822947,694671,Wyatt Langford,4,4,0,0,0,0,0,0,0,0,0,0,0,TB_ARITHMETIC_CERTIFIED
2026-07-29,822947,802415,Chandler Simpson,3,3,0,0,0,0,0,0,0,0,0,0,0,TB_ARITHMETIC_CERTIFIED
2026-07-29,823022,608324,Alex Bregman,4,4,1,0,1,0,0,0,0,0,2,2,2,TB_ARITHMETIC_CERTIFIED
2026-07-29,823022,608348,Carson Kelly,0,0,0,0,0,0,0,0,0,0,0,0,0,TB_ARITHMETIC_CERTIFIED
2026-07-29,823022,621020,Dansby Swanson,4,4,0,0,0,0,0,0,0,0,0,0,0,TB_ARITHMETIC_CERTIFIED
2026-07-29,823022,663538,Nico Hoerner,1,1,0,0,0,0,0,0,0,0,0,0,0,TB_ARITHMETIC_CERTIFIED
2026-07-29,823022,664023,Ian Happ,4,4,0,0,0,0,0,0,0,0,0,0,0,TB_ARITHMETIC_CERTIFIED
2026-07-29,823022,665877,José Fermín,4,3,0,0,0,0,0,1,0,0,0,0,0,TB_ARITHMETIC_CERTIFIED
2026-07-29,823022,671056,Iván Herrera,5,5,3,1,2,0,0,0,0,0,5,5,5,TB_ARITHMETIC_CERTIFIED
2026-07-29,823022,673548,Seiya Suzuki,5,3,1,1,0,0,0,2,0,0,1,1,1,TB_ARITHMETIC_CERTIFIED
2026-07-29,823022,676369,Nelson Velázquez,0,0,0,0,0,0,0,,,,0,0,0,TB_ARITHMETIC_CERTIFIED
2026-07-29,823022,676475,Alec Burleson,4,4,1,1,0,0,0,0,0,0,1,1,1,TB_ARITHMETIC_CERTIFIED
2026-07-29,823022,683737,Michael Busch,5,5,0,0,0,0,0,0,0,0,0,0,0,TB_ARITHMETIC_CERTIFIED
2026-07-29,823022,691023,Jordan Walker,5,5,1,1,0,0,0,0,0,0,1,1,1,TB_ARITHMETIC_CERTIFIED
2026-07-29,823022,691026,Masyn Winn,4,4,0,0,0,0,0,0,0,0,0,0,0,TB_ARITHMETIC_CERTIFIED
2026-07-29,823022,691458,Blaze Jordan,4,4,1,0,1,0,0,0,0,0,2,2,2,TB_ARITHMETIC_CERTIFIED
2026-07-29,823022,691718,Pete Crow-Armstrong,5,5,1,0,0,0,1,0,0,0,4,4,4,TB_ARITHMETIC_CERTIFIED
2026-07-29,823022,699393,Pedro Ramírez,4,2,0,0,0,0,0,2,0,0,0,0,0,TB_ARITHMETIC_CERTIFIED
2026-07-29,823022,802139,JJ Wetherholt,5,4,0,0,0,0,0,1,0,0,0,0,0,TB_ARITHMETIC_CERTIFIED
2026-07-29,823192,592885,Christian Yelich,4,2,1,1,0,0,0,2,0,0,1,1,1,TB_ARITHMETIC_CERTIFIED
2026-07-29,823192,641343,Jake Bauers,5,5,2,1,0,1,0,0,0,0,4,4,4,TB_ARITHMETIC_CERTIFIED
2026-07-29,823192,642715,Willy Adames,5,3,1,1,0,0,0,1,1,0,1,1,1,TB_ARITHMETIC_CERTIFIED
2026-07-29,823192,646240,Rafael Devers,5,4,0,0,0,0,0,1,0,0,0,0,0,TB_ARITHMETIC_CERTIFIED
2026-07-29,823192,650333,Luis Arraez,5,5,4,4,0,0,0,0,0,0,4,4,4,TB_ARITHMETIC_CERTIFIED
2026-07-29,823192,661388,William Contreras,0,0,0,0,0,0,0,,,,0,0,0,TB_ARITHMETIC_CERTIFIED
2026-07-29,823192,668930,Brice Turang,5,5,2,2,0,0,0,0,0,0,2,2,2,TB_ARITHMETIC_CERTIFIED
2026-07-29,823192,669003,Garrett Mitchell,4,4,0,0,0,0,0,0,0,0,0,0,0,TB_ARITHMETIC_CERTIFIED
2026-07-29,823192,671218,Heliot Ramos,6,5,4,4,0,0,0,1,0,0,4,4,4,TB_ARITHMETIC_CERTIFIED
2026-07-29,823192,683734,Andrew Vaughn,2,0,0,0,0,0,0,1,1,0,0,0,0,TB_ARITHMETIC_CERTIFIED
2026-07-29,823192,694192,Jackson Chourio,5,5,0,0,0,0,0,0,0,0,0,0,0,TB_ARITHMETIC_CERTIFIED
2026-07-29,823192,805811,Bryce Eldridge,6,5,0,0,0,0,0,1,0,0,0,0,0,TB_ARITHMETIC_CERTIFIED
2026-07-29,823192,806198,Cooper Pratt,4,3,1,1,0,0,0,1,0,0,1,1,1,TB_ARITHMETIC_CERTIFIED
2026-07-29,823192,808982,Jung Hoo Lee,6,6,2,1,1,0,0,0,0,0,3,3,3,TB_ARITHMETIC_CERTIFIED
2026-07-29,823273,592518,Manny Machado,4,4,1,1,0,0,0,0,0,0,1,1,1,TB_ARITHMETIC_CERTIFIED
2026-07-29,823273,593428,Xander Bogaerts,3,3,0,0,0,0,0,0,0,0,0,0,0,TB_ARITHMETIC_CERTIFIED
2026-07-29,823273,630105,Jake Cronenworth,4,3,1,1,0,0,0,0,0,0,1,1,1,TB_ARITHMETIC_CERTIFIED
2026-07-29,823273,650859,Luis Rengifo,3,3,0,0,0,0,0,0,0,0,0,0,0,TB_ARITHMETIC_CERTIFIED
2026-07-29,823273,657757,Gavin Sheets,3,2,0,0,0,0,0,0,0,1,0,0,0,TB_ARITHMETIC_CERTIFIED
2026-07-29,823273,664034,Ty France,4,3,1,1,0,0,0,0,1,0,1,1,1,TB_ARITHMETIC_CERTIFIED
2026-07-29,823273,664983,Jake McCarthy,4,4,0,0,0,0,0,0,0,0,0,0,0,TB_ARITHMETIC_CERTIFIED
2026-07-29,823273,665487,Fernando Tatis Jr.,4,3,1,0,1,0,0,1,0,0,2,2,2,TB_ARITHMETIC_CERTIFIED
2026-07-29,823273,666160,Mickey Moniak,4,4,1,1,0,0,0,0,0,0,1,1,1,TB_ARITHMETIC_CERTIFIED
2026-07-29,823273,681198,TJ Rumfield,4,4,1,1,0,0,0,0,0,0,1,1,1,TB_ARITHMETIC_CERTIFIED
2026-07-29,823273,694249,Cole Carrigg,4,2,0,0,0,0,0,1,1,0,0,0,0,TB_ARITHMETIC_CERTIFIED
2026-07-29,823273,696100,Hunter Goodman,4,3,0,0,0,0,0,1,0,0,0,0,0,TB_ARITHMETIC_CERTIFIED
2026-07-29,823273,701538,Jackson Merrill,3,3,1,1,0,0,0,0,0,0,1,1,1,TB_ARITHMETIC_CERTIFIED
2026-07-29,823351,545121,Ildemaro Vargas,3,2,1,0,1,0,0,1,0,0,2,2,2,TB_ARITHMETIC_CERTIFIED
2026-07-29,823351,571448,Nolan Arenado,4,4,0,0,0,0,0,0,0,0,0,0,0,TB_ARITHMETIC_CERTIFIED
2026-07-29,823351,596146,Max Kepler,4,4,2,2,0,0,0,0,0,0,2,2,2,TB_ARITHMETIC_CERTIFIED
2026-07-29,823351,606466,Ketel Marte,4,4,1,1,0,0,0,0,0,0,1,1,1,TB_ARITHMETIC_CERTIFIED
2026-07-29,823351,656811,Ryan O'Hearn,4,4,0,0,0,0,0,0,0,0,0,0,0,TB_ARITHMETIC_CERTIFIED
2026-07-29,823351,663968,Jake Mangum,0,0,0,0,0,0,0,,,,0,0,0,TB_ARITHMETIC_CERTIFIED
2026-07-29,823351,664040,Brandon Lowe,4,4,1,1,0,0,0,0,0,0,1,1,1,TB_ARITHMETIC_CERTIFIED
2026-07-29,823351,668804,Bryan Reynolds,4,3,1,1,0,0,0,1,0,0,1,1,1,TB_ARITHMETIC_CERTIFIED
2026-07-29,823351,672515,Gabriel Moreno,4,3,1,0,0,0,1,1,0,0,4,4,4,TB_ARITHMETIC_CERTIFIED
2026-07-29,823351,672695,Geraldo Perdomo,4,4,0,0,0,0,0,0,0,0,0,0,0,TB_ARITHMETIC_CERTIFIED
2026-07-29,823351,682998,Corbin Carroll,4,4,1,0,1,0,0,0,0,0,2,2,2,TB_ARITHMETIC_CERTIFIED
2026-07-29,823351,693304,Nick Gonzales,4,4,1,1,0,0,0,0,0,0,1,1,1,TB_ARITHMETIC_CERTIFIED
2026-07-29,823351,699013,Esmerlyn Valdez,4,3,0,0,0,0,0,1,0,0,0,0,0,TB_ARITHMETIC_CERTIFIED
2026-07-29,823596,593871,Jorge Polanco,4,3,0,0,0,0,0,0,0,0,0,0,0,TB_ARITHMETIC_CERTIFIED
2026-07-29,823596,596019,Francisco Lindor,4,2,0,0,0,0,0,2,0,0,0,0,0,TB_ARITHMETIC_CERTIFIED
2026-07-29,823596,621566,Matt Olson,4,4,1,0,0,0,1,0,0,0,4,4,4,TB_ARITHMETIC_CERTIFIED
2026-07-29,823596,642201,Eli White,2,2,2,2,0,0,0,0,0,0,2,2,2,TB_ARITHMETIC_CERTIFIED
2026-07-29,823596,643289,Mauricio Dubón,4,4,1,1,0,0,0,0,0,0,1,1,1,TB_ARITHMETIC_CERTIFIED
2026-07-29,823596,645277,Ozzie Albies,4,4,0,0,0,0,0,0,0,0,0,0,0,TB_ARITHMETIC_CERTIFIED
2026-07-29,823596,660670,Ronald Acuña Jr.,4,3,0,0,0,0,0,1,0,0,0,0,0,TB_ARITHMETIC_CERTIFIED
2026-07-29,823596,663586,Austin Riley,4,4,0,0,0,0,0,0,0,0,0,0,0,TB_ARITHMETIC_CERTIFIED
2026-07-29,823596,666182,Bo Bichette,4,4,0,0,0,0,0,0,0,0,0,0,0,TB_ARITHMETIC_CERTIFIED
2026-07-29,823596,671739,Michael Harris II,4,3,0,0,0,0,0,1,0,0,0,0,0,TB_ARITHMETIC_CERTIFIED
2026-07-29,823596,673357,Luis Robert Jr.,0,0,0,0,0,0,0,,,,0,0,0,TB_ARITHMETIC_CERTIFIED
2026-07-29,823596,676724,Jared Young,4,2,1,1,0,0,0,1,1,0,1,1,1,TB_ARITHMETIC_CERTIFIED
2026-07-29,823596,682626,Francisco Alvarez,4,4,1,0,1,0,0,0,0,0,2,2,2,TB_ARITHMETIC_CERTIFIED
2026-07-29,823596,686948,Drake Baldwin,4,4,2,1,1,0,0,0,0,0,3,3,3,TB_ARITHMETIC_CERTIFIED
2026-07-29,823596,701807,Carson Benge,4,4,2,1,1,0,0,0,0,0,3,3,3,TB_ARITHMETIC_CERTIFIED
2026-07-29,823596,805999,A.J. Ewing,4,2,1,1,0,0,0,1,0,1,1,1,1,TB_ARITHMETIC_CERTIFIED
2026-07-29,823598,596019,Francisco Lindor,4,4,0,0,0,0,0,0,0,0,0,0,0,TB_ARITHMETIC_CERTIFIED
2026-07-29,823598,621566,Matt Olson,4,4,1,1,0,0,0,0,0,0,1,1,1,TB_ARITHMETIC_CERTIFIED
2026-07-29,823598,645277,Ozzie Albies,4,3,1,1,0,0,0,1,0,0,1,1,1,TB_ARITHMETIC_CERTIFIED
2026-07-29,823598,660670,Ronald Acuña Jr.,4,4,0,0,0,0,0,0,0,0,0,0,0,TB_ARITHMETIC_CERTIFIED
2026-07-29,823598,666182,Bo Bichette,4,4,0,0,0,0,0,0,0,0,0,0,0,TB_ARITHMETIC_CERTIFIED
2026-07-29,823598,671739,Michael Harris II,4,4,0,0,0,0,0,0,0,0,0,0,0,TB_ARITHMETIC_CERTIFIED
2026-07-29,823598,673357,Luis Robert Jr.,4,4,0,0,0,0,0,0,0,0,0,0,0,TB_ARITHMETIC_CERTIFIED
2026-07-29,823598,686948,Drake Baldwin,4,4,2,2,0,0,0,0,0,0,2,2,2,TB_ARITHMETIC_CERTIFIED
2026-07-29,823677,521692,Salvador Perez,5,5,2,1,0,1,0,0,0,0,4,4,4,TB_ARITHMETIC_CERTIFIED
2026-07-29,823677,605137,Josh Bell,4,3,0,0,0,0,0,1,0,0,0,0,0,TB_ARITHMETIC_CERTIFIED
2026-07-29,823677,605170,Victor Caratini,4,4,0,0,0,0,0,0,0,0,0,0,0,TB_ARITHMETIC_CERTIFIED
2026-07-29,823677,657041,Lane Thomas,5,5,1,1,0,0,0,0,0,0,1,1,1,TB_ARITHMETIC_CERTIFIED
2026-07-29,823677,663616,Trevor Larnach,3,3,0,0,0,0,0,0,0,0,0,0,0,TB_ARITHMETIC_CERTIFIED
2026-07-29,823677,665019,Kody Clemens,4,4,1,1,0,0,0,0,0,0,1,1,1,TB_ARITHMETIC_CERTIFIED
2026-07-29,823677,668904,Royce Lewis,4,4,1,1,0,0,0,0,0,0,1,1,1,TB_ARITHMETIC_CERTIFIED
2026-07-29,823677,679845,Nick Loftin,4,3,2,1,1,0,0,0,0,1,3,3,3,TB_ARITHMETIC_CERTIFIED
2026-07-29,823677,680777,Ryan Jeffers,0,0,0,0,0,0,0,,,,0,0,0,TB_ARITHMETIC_CERTIFIED
2026-07-29,823677,686469,Vinnie Pasquantino,0,0,0,0,0,0,0,,,,0,0,0,MISSING_REQUIRED_STAT
2026-07-29,823677,686681,Michael Massey,4,4,1,1,0,0,0,0,0,0,1,1,1,TB_ARITHMETIC_CERTIFIED
2026-07-29,823677,686797,Brooks Lee,4,4,0,0,0,0,0,0,0,0,0,0,0,TB_ARITHMETIC_CERTIFIED
2026-07-29,823677,695506,Jac Caglianone,5,5,2,2,0,0,0,0,0,0,2,2,2,TB_ARITHMETIC_CERTIFIED
2026-07-29,823677,695600,Carter Jensen,5,5,1,0,1,0,0,0,0,0,2,2,2,TB_ARITHMETIC_CERTIFIED
2026-07-29,823677,702176,Alan Roden,3,3,0,0,0,0,0,0,0,0,0,0,0,TB_ARITHMETIC_CERTIFIED
2026-07-29,823677,807712,Luke Keaschall,3,3,1,1,0,0,0,0,0,0,1,1,1,TB_ARITHMETIC_CERTIFIED
2026-07-29,823837,547180,Bryce Harper,4,4,1,0,0,1,0,0,0,0,3,3,3,TB_ARITHMETIC_CERTIFIED
2026-07-29,823837,592663,J.T. Realmuto,4,3,0,0,0,0,0,1,0,0,0,0,0,TB_ARITHMETIC_CERTIFIED
2026-07-29,823837,607208,Trea Turner,5,5,2,1,0,0,1,0,0,0,5,5,5,TB_ARITHMETIC_CERTIFIED
2026-07-29,823837,624641,Edmundo Sosa,4,4,1,1,0,0,0,0,0,0,1,1,1,TB_ARITHMETIC_CERTIFIED
2026-07-29,823837,650559,Bryan De La Cruz,4,3,0,0,0,0,0,0,0,1,0,0,0,TB_ARITHMETIC_CERTIFIED
2026-07-29,823837,656941,Kyle Schwarber,0,0,0,0,0,0,0,,,,0,0,0,TB_ARITHMETIC_CERTIFIED
2026-07-29,823837,664761,Alec Bohm,4,4,1,1,0,0,0,0,0,0,1,1,1,TB_ARITHMETIC_CERTIFIED
2026-07-29,823837,669016,Brandon Marsh,4,4,1,1,0,0,0,0,0,0,1,1,1,TB_ARITHMETIC_CERTIFIED
2026-07-29,823837,669364,Xavier Edwards,4,3,1,1,0,0,0,1,0,0,1,1,1,TB_ARITHMETIC_CERTIFIED
2026-07-29,823837,672640,Otto Lopez,5,5,2,2,0,0,0,0,0,0,2,2,2,TB_ARITHMETIC_CERTIFIED
2026-07-29,823837,681082,Bryson Stott,4,2,1,0,1,0,0,2,0,0,2,2,2,TB_ARITHMETIC_CERTIFIED
2026-07-29,823837,681715,Heriberto Hernández,4,4,1,0,0,0,1,0,0,0,4,4,4,TB_ARITHMETIC_CERTIFIED
2026-07-29,823837,687282,Gabriel Rincones Jr.,0,0,0,0,0,0,0,,,,0,0,0,TB_ARITHMETIC_CERTIFIED
2026-07-29,823837,691594,Javier Sanoja,4,3,1,0,1,0,0,1,0,0,2,2,2,TB_ARITHMETIC_CERTIFIED
2026-07-29,823837,702222,Justin Crawford,4,3,2,2,0,0,0,1,0,0,2,2,2,TB_ARITHMETIC_CERTIFIED
2026-07-29,823924,518692,Freddie Freeman,4,4,2,2,0,0,0,0,0,0,2,2,2,TB_ARITHMETIC_CERTIFIED
2026-07-29,823924,571970,Max Muncy,4,4,1,1,0,0,0,0,0,0,1,1,1,TB_ARITHMETIC_CERTIFIED
2026-07-29,823924,605141,Mookie Betts,4,4,1,1,0,0,0,0,0,0,1,1,1,TB_ARITHMETIC_CERTIFIED
2026-07-29,823924,606192,Teoscar Hernández,4,4,1,0,1,0,0,0,0,0,2,2,2,TB_ARITHMETIC_CERTIFIED
2026-07-29,823924,608701,Rob Refsnyder,3,3,0,0,0,0,0,0,0,0,0,0,0,TB_ARITHMETIC_CERTIFIED
2026-07-29,823924,647304,Josh Naylor,4,4,1,0,1,0,0,0,0,0,2,2,2,TB_ARITHMETIC_CERTIFIED
