slate_date,run_tag,classification,reason
2026-07-29,local_daily_20260729T123005Z,SOURCE_VERIFICATION_ONLY,all preserved pregame artifacts and hashes present; not prospectively frozen
2026-07-29,local_daily_20260729T163005Z,SOURCE_VERIFICATION_ONLY,all preserved pregame artifacts and hashes present; not prospectively frozen
2026-07-29,local_daily_20260729T180004Z,SOURCE_VERIFICATION_ONLY,all preserved pregame artifacts and hashes present; not prospectively frozen
2026-07-29,local_daily_20260729T200005Z,SOURCE_VERIFICATION_ONLY,all preserved pregame artifacts and hashes present; not prospectively frozen
2026-07-29,local_daily_20260729T233005Z,SOURCE_VERIFICATION_ONLY,all preserved pregame artifacts and hashes present; not prospectively frozen
2026-07-30,local_daily_20260730T123001Z,SOURCE_VERIFICATION_ONLY,all preserved pregame artifacts and hashes present; not prospectively frozen
2026-07-30,local_daily_20260730T163001Z,SOURCE_VERIFICATION_ONLY,all preserved pregame artifacts and hashes present; not prospectively frozen
2026-07-30,local_daily_20260730T180004Z,SOURCE_VERIFICATION_ONLY,all preserved pregame artifacts and hashes present; not prospectively frozen
2026-07-30,local_daily_20260730T200004Z,SOURCE_VERIFICATION_ONLY,all preserved pregame artifacts and hashes present; not prospectively frozen
2026-07-30,local_daily_20260730T233002Z,SOURCE_VERIFICATION_ONLY,all preserved pregame artifacts and hashes present; not prospectively frozen
2026-07-31,local_daily_20260731T123005Z,SOURCE_VERIFICATION_ONLY,all preserved pregame artifacts and hashes present; not prospectively frozen
2026-07-31,local_daily_20260731T163005Z,SOURCE_VERIFICATION_ONLY,all preserved pregame artifacts and hashes present; not prospectively frozen
2026-07-31,local_daily_20260731T180004Z,SOURCE_VERIFICATION_ONLY,all preserved pregame artifacts and hashes present; not prospectively frozen
2026-07-31,local_daily_20260731T200003Z,SOURCE_VERIFICATION_ONLY,all preserved pregame artifacts and hashes present; not prospectively frozen
2026-07-31,local_daily_20260731T233004Z,SOURCE_VERIFICATION_ONLY,all preserved pregame artifacts and hashes present; not prospectively frozen
2026-08-01,local_daily_20260801T124205Z,SOURCE_VERIFICATION_ONLY,all preserved pregame artifacts and hashes present; not prospectively frozen
2026-08-01,local_daily_20260801T163003Z,SOURCE_VERIFICATION_ONLY,all preserved pregame artifacts and hashes present; not prospectively frozen
2026-08-01,local_daily_20260801T180001Z,SOURCE_VERIFICATION_ONLY,all preserved pregame artifacts and hashes present; not prospectively frozen
2026-08-01,local_daily_20260801T200001Z,SOURCE_VERIFICATION_ONLY,all preserved pregame artifacts and hashes present; not prospectively frozen
2026-08-01,local_daily_20260801T233001Z,SOURCE_VERIFICATION_ONLY,all preserved pregame artifacts and hashes present; not prospectively frozen
2026-08-02,local_daily_20260802T124202Z,SOURCE_VERIFICATION_ONLY,all preserved pregame artifacts and hashes present; not prospectively frozen
2026-08-02,local_daily_20260802T163004Z,SOURCE_VERIFICATION_ONLY,all preserved pregame artifacts and hashes present; not prospectively frozen
2026-08-02,local_daily_20260802T180003Z,SOURCE_VERIFICATION_ONLY,all preserved pregame artifacts and hashes present; not prospectively frozen
2026-08-02,local_daily_20260802T200004Z,SOURCE_VERIFICATION_ONLY,all preserved pregame artifacts and hashes present; not prospectively frozen
2026-08-02,local_daily_20260802T233001Z,SOURCE_VERIFICATION_ONLY,all preserved pregame artifacts and hashes present; not prospectively frozen
2026-08-03,local_daily_20260803T123004Z,SOURCE_VERIFICATION_ONLY,all preserved pregame artifacts and hashes present; not prospectively frozen
