canonical_row_identity,governed_side,cumulative_parent_state_status,pre_repair_starter_status,source_admission_result,side_certification_result,post_repair_starter_status,pre_repair_full_qualification_state,post_repair_full_qualification_state,movement_classification,remaining_downstream_blocker,hits_line,prop_side,provenance,pa_status_preserved,outcome_status_preserved,bundle_state_preserved,variant_c_state_preserved
2026-07-01|823767|695490|hits|0.5|over,2026-07-01|823767|CIN|MIL,PARENT_NOT_FULLY_QUALIFIED_PRIMARY_STARTER_BLOCKED,STARTER_PARENT_DOMAIN_MISSING_OTHER,ADMITTED_SAVED_VALUE_BYTE_FOR_BYTE,STARTER_LEDGER_REPAIR_SIDE_CERTIFIED,STARTER_QUALIFIED_EXISTING_PARENT_LEDGER_REPAIR,NOT_FULLY_QUALIFIED,FULLY_QUALIFIED,STARTER_LEDGER_REPAIR_TO_FULLY_QUALIFIED,,0.5,over,artifacts/analysis/model_development/mlb_historical_selected_proposition_starter_parent_ledger_repair_governance/2026-07-15/frozen_movement_projections_2026-07-15.csv,PA_JOIN_QUALIFIED_HISTORICAL_STRICT_PRIOR_RECONSTRUCTION,NUMERIC_OUTCOME_CERTIFIED,,EXCLUDED_BY_PROP_LINE_SCOPE
2026-07-01|823767|682829|hits|0.5|over,2026-07-01|823767|CIN|MIL,PARENT_NOT_FULLY_QUALIFIED_PRIMARY_STARTER_BLOCKED,STARTER_PARENT_DOMAIN_MISSING_OTHER,ADMITTED_SAVED_VALUE_BYTE_FOR_BYTE,STARTER_LEDGER_REPAIR_SIDE_CERTIFIED,STARTER_QUALIFIED_EXISTING_PARENT_LEDGER_REPAIR,NOT_FULLY_QUALIFIED,FULLY_QUALIFIED,STARTER_LEDGER_REPAIR_TO_FULLY_QUALIFIED,,0.5,over,artifacts/analysis/model_development/mlb_historical_selected_proposition_starter_parent_ledger_repair_governance/2026-07-15/frozen_movement_projections_2026-07-15.csv,PA_JOIN_QUALIFIED_HISTORICAL_STRICT_PRIOR_RECONSTRUCTION,NUMERIC_OUTCOME_CERTIFIED,,EXCLUDED_BY_PROP_LINE_SCOPE
2026-07-01|823767|553993|hits|0.5|over,2026-07-01|823767|CIN|MIL,PARENT_NOT_FULLY_QUALIFIED_PRIMARY_STARTER_BLOCKED,STARTER_PARENT_DOMAIN_MISSING_OTHER,ADMITTED_SAVED_VALUE_BYTE_FOR_BYTE,STARTER_LEDGER_REPAIR_SIDE_CERTIFIED,STARTER_QUALIFIED_EXISTING_PARENT_LEDGER_REPAIR,NOT_FULLY_QUALIFIED,NOT_FULLY_QUALIFIED,STARTER_LEDGER_REPAIR_TO_PA_BLOCKED,PA_UNRESOLVED_BLOCKED,0.5,over,artifacts/analysis/model_development/mlb_historical_selected_proposition_starter_parent_ledger_repair_governance/2026-07-15/frozen_movement_projections_2026-07-15.csv,PA_UNRESOLVED_BLOCKED,NUMERIC_OUTCOME_CERTIFIED,,EXCLUDED_BY_PROP_LINE_SCOPE
2026-07-01|823767|668709|hits|0.5|over,2026-07-01|823767|CIN|MIL,PARENT_NOT_FULLY_QUALIFIED_PRIMARY_STARTER_BLOCKED,STARTER_PARENT_DOMAIN_MISSING_OTHER,ADMITTED_SAVED_VALUE_BYTE_FOR_BYTE,STARTER_LEDGER_REPAIR_SIDE_CERTIFIED,STARTER_QUALIFIED_EXISTING_PARENT_LEDGER_REPAIR,NOT_FULLY_QUALIFIED,FULLY_QUALIFIED,STARTER_LEDGER_REPAIR_TO_FULLY_QUALIFIED,,0.5,over,artifacts/analysis/model_development/mlb_historical_selected_proposition_starter_parent_ledger_repair_governance/2026-07-15/frozen_movement_projections_2026-07-15.csv,PA_JOIN_QUALIFIED_HISTORICAL_STRICT_PRIOR_RECONSTRUCTION,NUMERIC_OUTCOME_CERTIFIED,,EXCLUDED_BY_PROP_LINE_SCOPE
2026-07-01|823767|680574|hits|0.5|under,2026-07-01|823767|CIN|MIL,PARENT_NOT_FULLY_QUALIFIED_PRIMARY_STARTER_BLOCKED,STARTER_PARENT_DOMAIN_MISSING_OTHER,ADMITTED_SAVED_VALUE_BYTE_FOR_BYTE,STARTER_LEDGER_REPAIR_SIDE_CERTIFIED,STARTER_QUALIFIED_EXISTING_PARENT_LEDGER_REPAIR,NOT_FULLY_QUALIFIED,FULLY_QUALIFIED,STARTER_LEDGER_REPAIR_TO_FULLY_QUALIFIED,,0.5,under,artifacts/analysis/model_development/mlb_historical_selected_proposition_starter_parent_ledger_repair_governance/2026-07-15/frozen_movement_projections_2026-07-15.csv,PA_JOIN_QUALIFIED_HISTORICAL_STRICT_PRIOR_RECONSTRUCTION,NUMERIC_OUTCOME_CERTIFIED,,EXCLUDED_BY_PROP_LINE_SCOPE
2026-07-01|823767|682622|hits|0.5|over,2026-07-01|823767|CIN|MIL,PARENT_NOT_FULLY_QUALIFIED_PRIMARY_STARTER_BLOCKED,STARTER_PARENT_DOMAIN_MISSING_OTHER,ADMITTED_SAVED_VALUE_BYTE_FOR_BYTE,STARTER_LEDGER_REPAIR_SIDE_CERTIFIED,STARTER_QUALIFIED_EXISTING_PARENT_LEDGER_REPAIR,NOT_FULLY_QUALIFIED,FULLY_QUALIFIED,STARTER_LEDGER_REPAIR_TO_FULLY_QUALIFIED,,0.5,over,artifacts/analysis/model_development/mlb_historical_selected_proposition_starter_parent_ledger_repair_governance/2026-07-15/frozen_movement_projections_2026-07-15.csv,PA_JOIN_QUALIFIED_HISTORICAL_STRICT_PRIOR_RECONSTRUCTION,NUMERIC_OUTCOME_CERTIFIED,,EXCLUDED_BY_PROP_LINE_SCOPE
2026-07-01|823767|701398|hits|0.5|over,2026-07-01|823767|CIN|MIL,PARENT_NOT_FULLY_QUALIFIED_PRIMARY_STARTER_BLOCKED,STARTER_PARENT_DOMAIN_MISSING_OTHER,ADMITTED_SAVED_VALUE_BYTE_FOR_BYTE,STARTER_LEDGER_REPAIR_SIDE_CERTIFIED,STARTER_QUALIFIED_EXISTING_PARENT_LEDGER_REPAIR,NOT_FULLY_QUALIFIED,FULLY_QUALIFIED,STARTER_LEDGER_REPAIR_TO_FULLY_QUALIFIED,,0.5,over,artifacts/analysis/model_development/mlb_historical_selected_proposition_starter_parent_ledger_repair_governance/2026-07-15/frozen_movement_projections_2026-07-15.csv,PA_JOIN_QUALIFIED_HISTORICAL_STRICT_PRIOR_RECONSTRUCTION,NUMERIC_OUTCOME_CERTIFIED,,EXCLUDED_BY_PROP_LINE_SCOPE
2026-07-01|823767|668715|hits|0.5|over,2026-07-01|823767|CIN|MIL,PARENT_NOT_FULLY_QUALIFIED_PRIMARY_STARTER_BLOCKED,STARTER_PARENT_DOMAIN_MISSING_OTHER,ADMITTED_SAVED_VALUE_BYTE_FOR_BYTE,STARTER_LEDGER_REPAIR_SIDE_CERTIFIED,STARTER_QUALIFIED_EXISTING_PARENT_LEDGER_REPAIR,NOT_FULLY_QUALIFIED,FULLY_QUALIFIED,STARTER_LEDGER_REPAIR_TO_FULLY_QUALIFIED,,0.5,over,artifacts/analysis/model_development/mlb_historical_selected_proposition_starter_parent_ledger_repair_governance/2026-07-15/frozen_movement_projections_2026-07-15.csv,PA_JOIN_QUALIFIED_HISTORICAL_STRICT_PRIOR_RECONSTRUCTION,NUMERIC_OUTCOME_CERTIFIED,,EXCLUDED_BY_PROP_LINE_SCOPE
2026-07-01|823767|663886|hits|0.5|over,2026-07-01|823767|CIN|MIL,PARENT_NOT_FULLY_QUALIFIED_PRIMARY_STARTER_BLOCKED,STARTER_PARENT_DOMAIN_MISSING_OTHER,ADMITTED_SAVED_VALUE_BYTE_FOR_BYTE,STARTER_LEDGER_REPAIR_SIDE_CERTIFIED,STARTER_QUALIFIED_EXISTING_PARENT_LEDGER_REPAIR,NOT_FULLY_QUALIFIED,FULLY_QUALIFIED,STARTER_LEDGER_REPAIR_TO_FULLY_QUALIFIED,,0.5,over,artifacts/analysis/model_development/mlb_historical_selected_proposition_starter_parent_ledger_repair_governance/2026-07-15/frozen_movement_projections_2026-07-15.csv,PA_JOIN_QUALIFIED_HISTORICAL_STRICT_PRIOR_RECONSTRUCTION,NUMERIC_OUTCOME_CERTIFIED,,EXCLUDED_BY_PROP_LINE_SCOPE
2026-07-03|824904|663586|hits|0.5|over,2026-07-03|824904|ATL|NYM,PARENT_NOT_FULLY_QUALIFIED_PRIMARY_STARTER_BLOCKED,STARTER_PARENT_DOMAIN_MISSING_OTHER,ADMITTED_SAVED_VALUE_BYTE_FOR_BYTE,STARTER_LEDGER_REPAIR_SIDE_CERTIFIED,STARTER_QUALIFIED_EXISTING_PARENT_LEDGER_REPAIR,NOT_FULLY_QUALIFIED,FULLY_QUALIFIED,STARTER_LEDGER_REPAIR_TO_FULLY_QUALIFIED,,0.5,over,artifacts/analysis/model_development/mlb_historical_selected_proposition_starter_parent_ledger_repair_governance/2026-07-15/frozen_movement_projections_2026-07-15.csv,PA_JOIN_QUALIFIED_HISTORICAL_STRICT_PRIOR_RECONSTRUCTION,NUMERIC_OUTCOME_CERTIFIED,,EXCLUDED_BY_PROP_LINE_SCOPE
