band,rows,predicted_probability,observed_rate,calibration_gap,brier
LT35,170,0.3163410114034654,0.32941176470588235,-0.01307075330241697,0.22305792699156338
35_39_99,330,0.3774803292858722,0.396969696969697,-0.019489367683824754,0.23998180609641714
40_44_99,1107,0.4279830838877737,0.4634146341463415,-0.03543155025856781,0.25072509507185464
45_49_99,1562,0.47839786854917027,0.4513444302176697,0.02705343833150059,0.24813043666682966
50_54_99,3060,0.5271438752500073,0.5003267973856209,0.026817077864386363,0.251121589673045
55_59_99,4736,0.5770818031772825,0.5088682432432432,0.06821355993403933,0.2543712422794536
60_64_99,6407,0.6262566171345837,0.5506477290463555,0.07560888808822819,0.2533344393641048
65_69_99,7411,0.6751410565270796,0.5942517878828768,0.08088926864420276,0.2476740444598949
70_74_99,6709,0.7240248959111348,0.6094798032493666,0.11454509266176827,0.2509974641239801
GE75,5590,0.7833099827042134,0.640608228980322,0.14270175372389138,0.2509774122490939
