feature,family,raw_source,construction,prior_cutoff,fallback,historical_recoverability,external_acquisition_needed,validation_status
d7_home_runs,batter_history,MLB StatsAPI game boxscore,prior-date rolling mean or missing indicator,official game date < prediction date,NaN + fit-only median + missing flag,EXACT_FROM_PRIOR_OFFICIAL_BOXSCORES,True,PASS
d7_rbis,batter_history,MLB StatsAPI game boxscore,prior-date rolling mean or missing indicator,official game date < prediction date,NaN + fit-only median + missing flag,EXACT_FROM_PRIOR_OFFICIAL_BOXSCORES,True,PASS
d7_walks,batter_history,MLB StatsAPI game boxscore,prior-date rolling mean or missing indicator,official game date < prediction date,NaN + fit-only median + missing flag,EXACT_FROM_PRIOR_OFFICIAL_BOXSCORES,True,PASS
d15_home_runs,batter_history,MLB StatsAPI game boxscore,prior-date rolling mean or missing indicator,official game date < prediction date,NaN + fit-only median + missing flag,EXACT_FROM_PRIOR_OFFICIAL_BOXSCORES,True,PASS
d15_rbis,batter_history,MLB StatsAPI game boxscore,prior-date rolling mean or missing indicator,official game date < prediction date,NaN + fit-only median + missing flag,EXACT_FROM_PRIOR_OFFICIAL_BOXSCORES,True,PASS
d15_walks,batter_history,MLB StatsAPI game boxscore,prior-date rolling mean or missing indicator,official game date < prediction date,NaN + fit-only median + missing flag,EXACT_FROM_PRIOR_OFFICIAL_BOXSCORES,True,PASS
d30_home_runs,batter_history,MLB StatsAPI game boxscore,prior-date rolling mean or missing indicator,official game date < prediction date,NaN + fit-only median + missing flag,EXACT_FROM_PRIOR_OFFICIAL_BOXSCORES,True,PASS
d30_rbis,batter_history,MLB StatsAPI game boxscore,prior-date rolling mean or missing indicator,official game date < prediction date,NaN + fit-only median + missing flag,EXACT_FROM_PRIOR_OFFICIAL_BOXSCORES,True,PASS
d30_walks,batter_history,MLB StatsAPI game boxscore,prior-date rolling mean or missing indicator,official game date < prediction date,NaN + fit-only median + missing flag,EXACT_FROM_PRIOR_OFFICIAL_BOXSCORES,True,PASS
d7_stolen_bases,batter_history,MLB StatsAPI game boxscore,prior-date rolling mean or missing indicator,official game date < prediction date,NaN + fit-only median + missing flag,EXACT_FROM_PRIOR_OFFICIAL_BOXSCORES,True,PASS
d15_stolen_bases,batter_history,MLB StatsAPI game boxscore,prior-date rolling mean or missing indicator,official game date < prediction date,NaN + fit-only median + missing flag,EXACT_FROM_PRIOR_OFFICIAL_BOXSCORES,True,PASS
d30_stolen_bases,batter_history,MLB StatsAPI game boxscore,prior-date rolling mean or missing indicator,official game date < prediction date,NaN + fit-only median + missing flag,EXACT_FROM_PRIOR_OFFICIAL_BOXSCORES,True,PASS
