identity,date,game_pk,player_id,actual_hits,plate_appearances,appearance_status,game_completion,hit_1plus,outcome_source,outcome_source_sha256
823244:502671,2026-03-25,823244,502671,,,DID_NOT_APPEAR,Final,,artifacts/analysis/model_development/mlb_hits05_2026_first_principles_season_rebuild_v1/2026-08-14/raw/mlb_statsapi/boxscores/boxscore_823244.json,4df6fb3cfdaed13f62c819067572291788a256980049b4f150a38aeb247c622e
823244:519317,2026-03-25,823244,519317,2.0,4.0,RESOLVED_PA_GT_0,Final,1.0,artifacts/analysis/model_development/mlb_hits05_2026_first_principles_season_rebuild_v1/2026-08-14/raw/mlb_statsapi/boxscores/boxscore_823244.json,4df6fb3cfdaed13f62c819067572291788a256980049b4f150a38aeb247c622e
823244:545341,2026-03-25,823244,545341,,,DID_NOT_APPEAR,Final,,artifacts/analysis/model_development/mlb_hits05_2026_first_principles_season_rebuild_v1/2026-08-14/raw/mlb_statsapi/boxscores/boxscore_823244.json,4df6fb3cfdaed13f62c819067572291788a256980049b4f150a38aeb247c622e
823244:592450,2026-03-25,823244,592450,0.0,5.0,RESOLVED_PA_GT_0,Final,0.0,artifacts/analysis/model_development/mlb_hits05_2026_first_principles_season_rebuild_v1/2026-08-14/raw/mlb_statsapi/boxscores/boxscore_823244.json,4df6fb3cfdaed13f62c819067572291788a256980049b4f150a38aeb247c622e
823244:641355,2026-03-25,823244,641355,1.0,5.0,RESOLVED_PA_GT_0,Final,1.0,artifacts/analysis/model_development/mlb_hits05_2026_first_principles_season_rebuild_v1/2026-08-14/raw/mlb_statsapi/boxscores/boxscore_823244.json,4df6fb3cfdaed13f62c819067572291788a256980049b4f150a38aeb247c622e
823244:641555,2026-03-25,823244,641555,,,DID_NOT_APPEAR,Final,,artifacts/analysis/model_development/mlb_hits05_2026_first_principles_season_rebuild_v1/2026-08-14/raw/mlb_statsapi/boxscores/boxscore_823244.json,4df6fb3cfdaed13f62c819067572291788a256980049b4f150a38aeb247c622e
823244:641857,2026-03-25,823244,641857,1.0,4.0,RESOLVED_PA_GT_0,Final,1.0,artifacts/analysis/model_development/mlb_hits05_2026_first_principles_season_rebuild_v1/2026-08-14/raw/mlb_statsapi/boxscores/boxscore_823244.json,4df6fb3cfdaed13f62c819067572291788a256980049b4f150a38aeb247c622e
823244:642708,2026-03-25,823244,642708,,,DID_NOT_APPEAR,Final,,artifacts/analysis/model_development/mlb_hits05_2026_first_principles_season_rebuild_v1/2026-08-14/raw/mlb_statsapi/boxscores/boxscore_823244.json,4df6fb3cfdaed13f62c819067572291788a256980049b4f150a38aeb247c622e
823244:663757,2026-03-25,823244,663757,1.0,5.0,RESOLVED_PA_GT_0,Final,1.0,artifacts/analysis/model_development/mlb_hits05_2026_first_principles_season_rebuild_v1/2026-08-14/raw/mlb_statsapi/boxscores/boxscore_823244.json,4df6fb3cfdaed13f62c819067572291788a256980049b4f150a38aeb247c622e
823244:665862,2026-03-25,823244,665862,1.0,4.0,RESOLVED_PA_GT_0,Final,1.0,artifacts/analysis/model_development/mlb_hits05_2026_first_principles_season_rebuild_v1/2026-08-14/raw/mlb_statsapi/boxscores/boxscore_823244.json,4df6fb3cfdaed13f62c819067572291788a256980049b4f150a38aeb247c622e
823244:669224,2026-03-25,823244,669224,2.0,4.0,RESOLVED_PA_GT_0,Final,1.0,artifacts/analysis/model_development/mlb_hits05_2026_first_principles_season_rebuild_v1/2026-08-14/raw/mlb_statsapi/boxscores/boxscore_823244.json,4df6fb3cfdaed13f62c819067572291788a256980049b4f150a38aeb247c622e
823244:676609,2026-03-25,823244,676609,1.0,4.0,RESOLVED_PA_GT_0,Final,1.0,artifacts/analysis/model_development/mlb_hits05_2026_first_principles_season_rebuild_v1/2026-08-14/raw/mlb_statsapi/boxscores/boxscore_823244.json,4df6fb3cfdaed13f62c819067572291788a256980049b4f150a38aeb247c622e
823244:700250,2026-03-25,823244,700250,1.0,5.0,RESOLVED_PA_GT_0,Final,1.0,artifacts/analysis/model_development/mlb_hits05_2026_first_principles_season_rebuild_v1/2026-08-14/raw/mlb_statsapi/boxscores/boxscore_823244.json,4df6fb3cfdaed13f62c819067572291788a256980049b4f150a38aeb247c622e
