date,games,denominator_hitters,complete_feature_rows,fallback_rows,blocked_rows,predictions,resolved,coverage,blocker_categories
2026-03-25,1,26,26,26,0,26,18,1.0,
2026-03-26,11,286,286,286,0,286,224,1.0,
2026-03-27,8,207,207,207,0,207,157,1.0,
2026-03-28,15,390,390,390,0,390,307,1.0,
2026-03-29,12,312,312,312,0,312,244,1.0,
2026-03-30,15,390,390,390,0,390,300,1.0,
2026-03-31,14,364,364,364,0,364,274,1.0,
2026-04-01,15,390,390,390,0,390,303,1.0,
2026-04-02,3,78,78,78,0,78,62,1.0,
2026-04-03,14,363,363,363,0,363,282,1.0,
2026-04-04,15,387,387,387,0,387,306,1.0,
2026-04-05,16,414,414,414,0,414,330,1.0,
2026-04-06,13,336,336,336,0,336,256,1.0,
2026-04-07,15,388,388,388,0,388,313,1.0,
2026-04-08,15,390,390,390,0,390,294,1.0,
2026-04-09,6,156,156,156,0,156,128,1.0,
2026-04-10,15,389,389,389,0,389,290,1.0,
2026-04-11,15,389,389,389,0,389,305,1.0,
2026-04-12,15,387,387,387,0,387,299,1.0,
2026-04-13,10,259,259,259,0,259,203,1.0,
2026-04-14,15,389,389,389,0,389,308,1.0,
2026-04-15,15,389,389,389,0,389,305,1.0,
2026-04-16,10,255,255,255,0,255,205,1.0,
2026-04-17,15,387,387,387,0,387,305,1.0,
2026-04-18,15,386,386,386,0,386,306,1.0,
2026-04-19,15,386,386,386,0,386,310,1.0,
2026-04-20,10,259,259,259,0,259,198,1.0,
2026-04-21,15,389,389,389,0,389,309,1.0,
2026-04-22,15,388,388,388,0,388,301,1.0,
2026-04-23,9,232,232,232,0,232,185,1.0,
2026-04-24,14,361,361,361,0,361,281,1.0,
2026-04-25,14,362,362,362,0,362,288,1.0,
2026-04-26,16,413,413,413,0,413,320,1.0,
2026-04-27,8,207,207,207,0,207,161,1.0,
2026-04-28,15,388,388,388,0,388,306,1.0,
2026-04-29,13,336,336,336,0,336,265,1.0,
2026-04-30,11,282,282,282,0,282,228,1.0,
2026-05-01,15,387,387,387,0,387,300,1.0,
2026-05-02,15,387,387,387,0,387,303,1.0,
2026-05-03,15,387,387,387,0,387,301,1.0,
2026-05-04,12,310,310,310,0,310,234,1.0,
2026-05-05,13,333,333,333,0,333,255,1.0,
2026-05-06,15,386,386,386,0,386,310,1.0,
2026-05-07,10,257,257,257,0,257,204,1.0,
2026-05-08,15,387,387,387,0,387,303,1.0,
2026-05-09,14,362,362,362,0,362,290,1.0,
2026-05-10,15,387,387,387,0,387,304,1.0,
2026-05-11,6,154,154,154,0,154,118,1.0,
2026-05-12,15,388,388,388,0,388,304,1.0,
2026-05-13,15,389,389,389,0,389,302,1.0,
2026-05-14,11,286,286,286,0,286,218,1.0,
2026-05-15,15,387,387,387,0,387,302,1.0,
2026-05-16,15,385,385,385,0,385,303,1.0,
2026-05-17,15,385,385,385,0,385,303,1.0,
2026-05-18,14,362,362,362,0,362,294,1.0,
2026-05-19,15,387,387,387,0,387,309,1.0,
2026-05-20,15,386,386,386,0,386,310,1.0,
2026-05-21,7,181,181,181,0,181,145,1.0,
2026-05-22,14,363,363,363,0,363,286,1.0,
2026-05-23,14,364,364,364,0,364,277,1.0,
2026-05-24,15,387,387,387,0,387,305,1.0,
2026-05-25,13,337,337,337,0,337,262,1.0,
2026-05-26,15,388,388,388,0,388,317,1.0,
2026-05-27,15,388,388,388,0,388,305,1.0,
2026-05-28,6,156,156,156,0,156,125,1.0,
2026-05-29,15,390,390,390,0,390,299,1.0,
2026-05-30,15,388,388,388,0,388,305,1.0,
2026-05-31,15,386,386,386,0,386,309,1.0,
2026-06-01,9,234,234,234,0,234,186,1.0,
2026-06-02,15,387,387,387,0,387,297,1.0,
2026-06-03,15,387,387,387,0,387,304,1.0,
2026-06-04,9,233,233,233,0,233,188,1.0,
2026-06-05,15,385,385,385,0,385,317,1.0,
2026-06-06,14,361,361,361,0,361,288,1.0,
2026-06-07,15,387,387,387,0,387,306,1.0,
