scope,scope_value,confidence_ordering,quantile,rows,mean_probability,observed_rate,brier
STRICT_SEASON,ALL,MONOTONIC,bottom20,3663,0.466639973829995,0.49303849303849306,0.24962699674601144
STRICT_SEASON,ALL,MONOTONIC,second20,3664,0.540764896958273,0.5616812227074236,0.24647130363798964
STRICT_SEASON,ALL,MONOTONIC,middle20,3664,0.5902411203697787,0.587882096069869,0.24234635872957028
STRICT_SEASON,ALL,MONOTONIC,fourth20,3664,0.638059855357766,0.6072598253275109,0.23958277590917554
STRICT_SEASON,ALL,MONOTONIC,top20,3664,0.7078457043297907,0.6274563318777293,0.24090669084568223
STRICT_SEASON,ALL,MONOTONIC,top10,1832,0.7353689411621431,0.6320960698689956,0.2433060163248409
MONTH,2026-05,NEAR_MONOTONIC,bottom20,643,0.4337842799377915,0.4447900466562986,0.24816947140321308
MONTH,2026-05,NEAR_MONOTONIC,second20,643,0.5196117169517885,0.5303265940902022,0.24905522800847904
MONTH,2026-05,NEAR_MONOTONIC,middle20,644,0.5803233804347826,0.6149068322981367,0.2380519443731382
MONTH,2026-05,NEAR_MONOTONIC,fourth20,643,0.639942936236392,0.5692068429237948,0.2504213079709114
MONTH,2026-05,NEAR_MONOTONIC,top20,644,0.7200116816770186,0.6304347826086957,0.24171378073441457
MONTH,2026-05,NEAR_MONOTONIC,top10,322,0.750209701863354,0.6521739130434783,0.23822820669219252
MONTH,2026-06,NEAR_MONOTONIC,bottom20,1194,0.4944662537688442,0.5117252931323283,0.2490318779362856
MONTH,2026-06,NEAR_MONOTONIC,second20,1194,0.5652606356783919,0.5678391959798995,0.24518414153020857
MONTH,2026-06,NEAR_MONOTONIC,middle20,1194,0.6119889606365159,0.5938023450586265,0.24101262231120346
MONTH,2026-06,NEAR_MONOTONIC,fourth20,1194,0.6584196298157453,0.6256281407035176,0.23535045207863484
MONTH,2026-06,NEAR_MONOTONIC,top20,1194,0.7253967772194304,0.6206030150753769,0.24630382393266498
MONTH,2026-06,NEAR_MONOTONIC,top10,597,0.7516566515912897,0.644891122278057,0.24114238416294975
MONTH,2026-07,MONOTONIC,bottom20,1224,0.4739534264705882,0.49836601307189543,0.24874203396046732
MONTH,2026-07,MONOTONIC,second20,1224,0.5406776813725489,0.5645424836601307,0.24595053211475162
MONTH,2026-07,MONOTONIC,middle20,1224,0.5891809477124184,0.5955882352941176,0.24099470781108337
MONTH,2026-07,MONOTONIC,fourth20,1224,0.6339449787581699,0.5980392156862745,0.2418250813721699
MONTH,2026-07,MONOTONIC,top20,1225,0.6966022897959183,0.6285714285714286,0.23891613244352733
MONTH,2026-07,MONOTONIC,top10,613,0.7212714257748777,0.6247960848287113,0.24345015963486136
MONTH,2026-08,MONOTONIC,bottom20,602,0.4520629750729377,0.5116279069767442,0.2535596099136981
MONTH,2026-08,MONOTONIC,second20,602,0.5168838456636174,0.5548172757475083,0.24781101003759284
MONTH,2026-08,MONOTONIC,middle20,602,0.5603877540139892,0.574750830564784,0.24503397521643985
MONTH,2026-08,MONOTONIC,fourth20,602,0.6026093791021274,0.5930232558139535,0.24072238760537662
MONTH,2026-08,MONOTONIC,top20,603,0.6611697149339181,0.6368159203980099,0.23194604961813547
MONTH,2026-08,MONOTONIC,top10,302,0.6830839295332608,0.6423841059602649,0.23102530987048298
MODEL_GENERATION,GEN_20260426,NEAR_MONOTONIC,bottom20,380,0.4098440368421052,0.44473684210526315,0.24941417246574737
MODEL_GENERATION,GEN_20260426,NEAR_MONOTONIC,second20,381,0.48767668503937006,0.5170603674540682,0.2489866924425643
MODEL_GENERATION,GEN_20260426,NEAR_MONOTONIC,middle20,381,0.5434201391076116,0.5905511811023622,0.24304160434461156
MODEL_GENERATION,GEN_20260426,NEAR_MONOTONIC,fourth20,381,0.6010711811023621,0.5800524934383202,0.24430342350396322
MODEL_GENERATION,GEN_20260426,NEAR_MONOTONIC,top20,381,0.6756054908136484,0.6167979002624672,0.23805468011186348
MODEL_GENERATION,GEN_20260426,NEAR_MONOTONIC,top10,191,0.7032784816753926,0.6596858638743456,0.2254640154868796
MODEL_GENERATION,GEN_20260521,PARTIAL,bottom20,182,0.4926101538461538,0.4340659340659341,0.24608993293017584
MODEL_GENERATION,GEN_20260521,PARTIAL,second20,183,0.5570480327868852,0.5573770491803278,0.24625241295787978
MODEL_GENERATION,GEN_20260521,PARTIAL,middle20,183,0.6061311256830602,0.6502732240437158,0.23142787562586883
MODEL_GENERATION,GEN_20260521,PARTIAL,fourth20,183,0.6550210218579234,0.5519125683060109,0.25812676089391806
MODEL_GENERATION,GEN_20260521,PARTIAL,top20,183,0.7193051584699454,0.5846994535519126,0.2607292027342623
MODEL_GENERATION,GEN_20260521,PARTIAL,top10,92,0.7460339673913043,0.6195652173913043,0.2536099905490761
MODEL_GENERATION,GEN_20260528,MONOTONIC,bottom20,194,0.5466589793814433,0.5257731958762887,0.24189067576685572
MODEL_GENERATION,GEN_20260528,MONOTONIC,second20,195,0.6575778153846152,0.5897435897435898,0.24699586299386664
MODEL_GENERATION,GEN_20260528,MONOTONIC,middle20,194,0.7036193969072164,0.6134020618556701,0.2443288952378093
MODEL_GENERATION,GEN_20260528,MONOTONIC,fourth20,195,0.7400201692307692,0.6358974358974359,0.2421606287840359
MODEL_GENERATION,GEN_20260528,MONOTONIC,top20,195,0.7839439794871794,0.6358974358974359,0.25338106510881026
MODEL_GENERATION,GEN_20260528,MONOTONIC,top10,98,0.8000162040816325,0.6632653061224489,0.24383057456189797
MODEL_GENERATION,GEN_20260604,MONOTONIC,bottom20,182,0.4826590164835165,0.521978021978022,0.25252226863306043
MODEL_GENERATION,GEN_20260604,MONOTONIC,second20,183,0.5515662459016394,0.5683060109289617,0.24421171830178687
MODEL_GENERATION,GEN_20260604,MONOTONIC,middle20,182,0.597171054945055,0.5824175824175825,0.24361947737152748
MODEL_GENERATION,GEN_20260604,MONOTONIC,fourth20,183,0.6416416010928961,0.6284153005464481,0.2352038052927596
MODEL_GENERATION,GEN_20260604,MONOTONIC,top20,183,0.7036249508196722,0.644808743169399,0.23202677154241533
MODEL_GENERATION,GEN_20260604,MONOTONIC,top10,92,0.7229775434782609,0.6521739130434783,0.22975828039115215
MODEL_GENERATION,GEN_20260611,NEAR_MONOTONIC,bottom20,1253,0.4953517398244213,0.5195530726256983,0.24844130769894648
