scope,scope_value,threshold,rows,mean_probability,observed_rate,calibration_gap,brier,upper_tail_classification
STRICT_SEASON,ALL,>=65%,4566,0.6977751245552004,0.6241787122207622,0.07359641233443825,0.24069158011078182,PERSISTENT_STRUCTURAL
STRICT_SEASON,ALL,>=70%,1788,0.7362526793453638,0.6331096196868009,0.10314305965856285,0.24305356279246676,PERSISTENT_STRUCTURAL
STRICT_SEASON,ALL,>=75%,507,0.7753969819901801,0.6370808678500987,0.1383161141400815,0.2500875984963558,PERSISTENT_STRUCTURAL
MONTH,2026-05,>=65%,849,0.7055406725559482,0.6183745583038869,0.08716611425206133,0.24370381236533217,PERSISTENT_STRUCTURAL
MONTH,2026-05,>=70%,385,0.7429803558441557,0.6441558441558441,0.09882451168831152,0.2401623671292286,PERSISTENT_STRUCTURAL
MONTH,2026-05,>=75%,143,0.7763392797202797,0.6573426573426573,0.11899662237762243,0.2410905852691958,PERSISTENT_STRUCTURAL
MONTH,2026-06,>=65%,1986,0.7019649773413897,0.621852970795569,0.08011200654582074,0.2422872600439965,PERSISTENT_STRUCTURAL
MONTH,2026-06,>=70%,862,0.7382230104408353,0.6252900232018561,0.11293298723897915,0.24675665480105918,PERSISTENT_STRUCTURAL
MONTH,2026-06,>=75%,269,0.776665468401487,0.620817843866171,0.15584762453531598,0.25831602265949816,PERSISTENT_STRUCTURAL
MONTH,2026-07,>=65%,1429,0.690443244226732,0.6270118964310707,0.06343134779566129,0.2387271351010497,PERSISTENT_STRUCTURAL
MONTH,2026-07,>=70%,479,0.7286912484342379,0.6388308977035491,0.08986035073068888,0.23909966661443843,PERSISTENT_STRUCTURAL
MONTH,2026-07,>=75%,82,0.770474268292683,0.6341463414634146,0.1363279268292683,0.2501574280718293,PERSISTENT_STRUCTURAL
MONTH,2026-08,>=65%,302,0.6830839295332608,0.6423841059602649,0.04069982357299595,0.23102530987048298,PERSISTENT_STRUCTURAL
MONTH,2026-08,>=70%,62,0.7255001720888768,0.6290322580645161,0.09646791402436072,0.24006906744110557,PERSISTENT_STRUCTURAL
MONTH,2026-08,>=75%,13,0.7698347591554847,0.7692307692307693,0.0006039899247154423,0.1783491959124914,PERSISTENT_STRUCTURAL
MODEL_GENERATION,GEN_20260426,>=65%,274,0.6893756751824818,0.6277372262773723,0.0616384489051095,0.23513648891382113,PERSISTENT_STRUCTURAL
MODEL_GENERATION,GEN_20260426,>=70%,75,0.73423916,0.68,0.05423915999999995,0.21797322434684,PERSISTENT_STRUCTURAL
MODEL_GENERATION,GEN_20260426,>=75%,19,0.7667453684210527,0.8421052631578947,-0.07535989473684201,0.1374339578990526,PERSISTENT_STRUCTURAL
MODEL_GENERATION,GEN_20260521,>=65%,292,0.6990588150684931,0.5787671232876712,0.12029169178082189,0.2588480400265342,PERSISTENT_STRUCTURAL
MODEL_GENERATION,GEN_20260521,>=70%,110,0.7391124454545454,0.6090909090909091,0.13002153636363623,0.25608002930597273,PERSISTENT_STRUCTURAL
MODEL_GENERATION,GEN_20260521,>=75%,38,0.7772623684210526,0.6052631578947368,0.17199921052631573,0.26806286785657896,PERSISTENT_STRUCTURAL
MODEL_GENERATION,GEN_20260528,>=65%,707,0.7295984611032531,0.620933521923621,0.10866493917963216,0.24714110239158982,PERSISTENT_STRUCTURAL
MODEL_GENERATION,GEN_20260528,>=70%,505,0.7505117821782179,0.6396039603960396,0.11090782178217828,0.24371423868854258,PERSISTENT_STRUCTURAL
MODEL_GENERATION,GEN_20260528,>=75%,239,0.7784461841004183,0.6401673640167364,0.13827882008368197,0.24981319473637656,PERSISTENT_STRUCTURAL
MODEL_GENERATION,GEN_20260604,>=65%,232,0.6945906896551723,0.6293103448275862,0.06528034482758616,0.23614959447745687,PERSISTENT_STRUCTURAL
MODEL_GENERATION,GEN_20260604,>=70%,82,0.7259330365853658,0.6341463414634146,0.09178669512195115,0.23701287329984141,PERSISTENT_STRUCTURAL
MODEL_GENERATION,GEN_20260604,>=75%,13,0.7825433846153848,0.7692307692307693,0.013312615384615478,0.17138554955107696,PERSISTENT_STRUCTURAL
MODEL_GENERATION,GEN_20260611,>=65%,1849,0.6930118328826392,0.625743645213629,0.06726818766901022,0.24010627058068199,PERSISTENT_STRUCTURAL
MODEL_GENERATION,GEN_20260611,>=70%,643,0.7304131944012441,0.614307931570762,0.11610526283048206,0.2505158865752691,PERSISTENT_STRUCTURAL
MODEL_GENERATION,GEN_20260611,>=75%,124,0.772781548387097,0.5725806451612904,0.20020090322580664,0.2840202745745322,PERSISTENT_STRUCTURAL
MODEL_GENERATION,GEN_20260709_CURRENT_BYTE_IDENTICAL,>=65%,1212,0.6886774576889807,0.6328382838283828,0.05583917386059789,0.23557324218018968,PERSISTENT_STRUCTURAL
MODEL_GENERATION,GEN_20260709_CURRENT_BYTE_IDENTICAL,>=70%,373,0.7288440795429232,0.6541554959785523,0.07468858356437091,0.23182443433528566,PERSISTENT_STRUCTURAL
MODEL_GENERATION,GEN_20260709_CURRENT_BYTE_IDENTICAL,>=75%,74,0.7699395117435311,0.6756756756756757,0.09426383606785549,0.22763376385973497,PERSISTENT_STRUCTURAL
