grain,period,n,brier,log_loss,accuracy_50,mean_predicted,observed_rate,probability_sd,calibration_gap,ece
overall,ALL,2483,0.2447600700601806,0.6826697435205488,0.5666532420459122,0.5549920017416274,0.5739025372533226,0.0723662632336114,-0.018910535511695192,0.03127318550391064
date,2026-08-03,94,0.25194207284215053,0.6970790543992498,0.5,0.5790273489225888,0.6063829787234043,0.08386676778292576,-0.027355629800815517,0.09813301801734665
date,2026-08-04,256,0.2404190621465493,0.6736213837852736,0.58984375,0.5573546777176862,0.57421875,0.07363594021774808,-0.01686407228231379,0.03137875757346188
date,2026-08-05,266,0.25012093396487445,0.6939397881216676,0.5601503759398496,0.5548431680136362,0.5112781954887218,0.07411545143811464,0.043564972524914425,0.06457764540739899
date,2026-08-06,199,0.23753986021271006,0.6682445626657417,0.6130653266331658,0.54980932540709,0.6231155778894473,0.07169074495800988,-0.07330625248235723,0.09543147319322981
date,2026-08-07,268,0.2515323024789118,0.6962947844365849,0.5223880597014925,0.5496001140495411,0.5746268656716418,0.0735172696791518,-0.025026751622100663,0.07332655492864237
date,2026-08-08,262,0.23965720876948104,0.6721198890987257,0.5763358778625954,0.557545335837305,0.6068702290076335,0.07089095591718308,-0.04932489317032851,0.04932489317032857
date,2026-08-09,261,0.2543868188738048,0.7024171105424059,0.5363984674329502,0.5499833133001056,0.5708812260536399,0.07236638265057276,-0.020897912753534253,0.08547283665472566
date,2026-08-10,179,0.23806620583575983,0.6685199195246984,0.553072625698324,0.5518546167146238,0.553072625698324,0.07675299785697828,-0.0012180089837002805,0.05112122885513644
date,2026-08-11,260,0.24238014084254517,0.6781024140582511,0.5884615384615385,0.5576111576139673,0.5538461538461539,0.06967186193957312,0.003765003767813413,0.019073359774017248
date,2026-08-12,270,0.23867790872742925,0.6701200921258234,0.5925925925925926,0.5579753525265424,0.6111111111111112,0.06729179162048511,-0.05313575858456876,0.05313575858456865
date,2026-08-13,168,0.25021006117666406,0.6939905895216631,0.5654761904761905,0.5512134387064143,0.5416666666666666,0.06516013311207114,0.00954677203974763,0.04202161602271352
week,2026-08-03/2026-08-09,1606,0.24634386105957667,0.6859118530497162,0.5603985056039851,0.5548113699053971,0.5765877957658779,0.07378013825709752,-0.021776425860480786,0.04452988004066834
week,2026-08-10/2026-08-16,877,0.2418597640795305,0.676732653550374,0.5781071835803877,0.5553227825044393,0.5689851767388826,0.06970159355336213,-0.013662394234443265,0.013662394234443317
month,2026-08,2483,0.2447600700601806,0.6826697435205488,0.5666532420459122,0.5549920017416274,0.5739025372533226,0.0723662632336114,-0.018910535511695192,0.03127318550391064
