band,n,gap,brier,log_loss,accuracy_50,mean_predicted,observed_rate,probability_sd,calibration_gap
LT35,0,,,,,,,,
35_39_99,54,-0.18371229052174748,0.27940962014066933,0.7532783028272961,0.42592592592592593,0.3903617835523266,0.5740740740740741,0.012120292857696877,-0.18371229052174748
40_44_99,156,-0.04764425577520848,0.2509360078411231,0.6950485594493774,0.5192307692307693,0.4331249749940223,0.4807692307692308,0.010107433635675732,-0.04764425577520848
45_49_99,380,-0.04588084185545488,0.25154655712441026,0.6962451505211733,0.4789473684210526,0.47517178972349244,0.5210526315789473,0.014081551333801278,-0.04588084185545488
50_54_99,521,-0.05053700044341458,0.24636085917618222,0.6858578131045371,0.5758157389635317,0.5252787385201171,0.5758157389635317,0.012864296635588773,-0.05053700044341458
55_59_99,507,-0.0023385106818064605,0.2452423191356439,0.683605465519769,0.5700197238658777,0.5676812131840713,0.5700197238658777,0.011033928103317183,-0.0023385106818064605
60_64_99,667,-0.0009584359126074693,0.2344084451044121,0.6615497544859226,0.6206896551724138,0.6197312192598063,0.6206896551724138,0.018253500236549203,-0.0009584359126074693
65_69_99,171,0.0806660470733006,0.248008480864955,0.6902333598794986,0.5906432748538012,0.6713093219271018,0.5906432748538012,0.010728618116340696,0.0806660470733006
70_74_99,26,0.09361849232650221,0.24645592593123686,0.6889491119965464,0.6153846153846154,0.7090031077111176,0.6153846153846154,0.01132752079620976,0.09361849232650221
GE75,1,-0.24046813097869701,0.05782492201638778,0.27505299729825,1.0,0.759531869021303,1.0,0.0,-0.24046813097869701
GE65_CUMULATIVE,198,0.08074498342951897,0.24684408699058513,0.6879678507505188,0.5959595959595959,0.6767045793891149,0.5959595959595959,0.01769263665194275,0.08074498342951897
GE70_CUMULATIVE,27,0.08124491368556885,0.23946959245290914,0.6736196262669799,0.6296296296296297,0.7108745433151985,0.6296296296296297,0.014649896104673151,0.08124491368556885
GE75_CUMULATIVE,1,-0.24046813097869701,0.05782492201638778,0.27505299729825,1.0,0.759531869021303,1.0,0.0,-0.24046813097869701
