direction,fold,train_dates,train_n,test_n,brier_base,brier_added,brier_improvement,log_loss_base,log_loss_added,log_loss_improvement,fraction_folds_brier_favor_added,fraction_folds_log_favor_added
BOL_PLUS_PROP,2026-08-06,3.0,104.0,8,0.282734667777358,0.31318471459930586,-0.03045004682194785,0.7616759074214088,0.8277584466219791,-0.06608253920057028,,
PROP_PLUS_BOL,2026-08-06,3.0,104.0,8,0.25648221393017484,0.3131847145993074,-0.05670250066913257,0.7061661784203382,0.8277584466219831,-0.12159226820164482,,
BOL_PLUS_PROP,2026-08-07,4.0,112.0,18,0.2613817418778707,0.2601033290794222,0.001278412798448536,0.7159502268011074,0.7133919168164213,0.0025583099846860913,,
PROP_PLUS_BOL,2026-08-07,4.0,112.0,18,0.26595984285690094,0.26010332907942246,0.005856513777478478,0.7251444785416586,0.7133919168164218,0.011752561725236865,,
BOL_PLUS_PROP,2026-08-08,5.0,130.0,81,0.24967504780019462,0.25471710626592003,-0.005042058465725419,0.6924595726798465,0.7025901095630082,-0.010130536883161678,,
PROP_PLUS_BOL,2026-08-08,5.0,130.0,81,0.254526027741933,0.2547171062659199,-0.0001910785239869206,0.7022113939643005,0.7025901095630078,-0.0003787155987072799,,
BOL_PLUS_PROP,2026-08-09,6.0,211.0,64,0.26495428939598165,0.26464272294356506,0.00031156645241658953,0.7234680098444599,0.7228339730903797,0.0006340367540802472,,
PROP_PLUS_BOL,2026-08-09,6.0,211.0,64,0.25651553376788594,0.26464272294356483,-0.008127189175678895,0.7062395112352569,0.7228339730903792,-0.016594461855122367,,
BOL_PLUS_PROP,2026-08-10,7.0,275.0,9,0.24098013453951317,0.24625305749602466,-0.005272922956511494,0.6750853738599473,0.6856878994012149,-0.010602525541267616,,
PROP_PLUS_BOL,2026-08-10,7.0,275.0,9,0.24589884719093,0.24625305749602427,-0.00035421030509427687,0.6849583234097906,0.6856878994012141,-0.0007295759914235367,,
BOL_PLUS_PROP,2026-08-11,8.0,284.0,136,0.24773582897599694,0.2477563896014212,-2.056062542427073e-05,0.6886119584972832,0.6886532430146889,-4.128451740570416e-05,,
PROP_PLUS_BOL,2026-08-11,8.0,284.0,136,0.24808995265362094,0.2477563896014211,0.00033356305219983673,0.6893226801848191,0.6886532430146888,0.0006694371701303492,,
BOL_PLUS_PROP,2026-08-12,9.0,420.0,23,0.22497941065756513,0.21910597564661258,0.005873435010952555,0.6430237345165036,0.6311788555991711,0.011844878917332546,,
PROP_PLUS_BOL,2026-08-12,9.0,420.0,23,0.21595735082473855,0.21910597564661102,-0.0031486248218724755,0.6248269128452323,0.631178855599168,-0.006351942753935691,,
BOL_PLUS_PROP,2026-08-13,10.0,443.0,11,0.24282228956944107,0.23617953388248755,0.006642755686953522,0.6786668423336052,0.6653444258531356,0.013322416480469612,,
PROP_PLUS_BOL,2026-08-13,10.0,443.0,11,0.23663657643000455,0.23617953388248764,0.00045704254751691153,0.6662625782971634,0.6653444258531357,0.0009181524440277089,,
BOL_PLUS_PROP,AGGREGATE_WEIGHTED,,,350,0.2510113362033091,0.2523003323771105,-0.001288996173801466,0.6952959006823528,0.6979949421023812,-0.0026990414200284076,0.5,0.5
PROP_PLUS_BOL,AGGREGATE_WEIGHTED,,,350,0.24970309110404781,0.2523003323771104,-0.002597241273062541,0.6925508526966001,0.697994942102381,-0.005444089405780905,0.375,0.375
