probability_bin,rows,mean_predicted_probability,observed_hit_rate,calibration_gap_predicted_minus_observed,brier
<35%,0,,,,
35-39.99%,90,0.39336675239181446,0.5333333333333333,-0.13996658094151898,0.269593262738249
40-44.99%,272,0.4326808951153061,0.5073529411764706,-0.07467204606116455,0.25479286099753107
45-49.99%,732,0.4755059248938895,0.5478142076502732,-0.07230828275638373,0.25318645446009685
50-54.99%,988,0.5249139945884821,0.555668016194332,-0.030754021605849783,0.24784392896401256
55-59.99%,1012,0.5666444857854652,0.5701581027667985,-0.0035136169813333377,0.2453216230237153
60-64.99%,1215,0.6205752753640298,0.6148148148148148,0.005760460549214882,0.23612595419860738
65-69.99%,321,0.6719441475348088,0.6261682242990654,0.04577592323574343,0.2360696506982052
70-74.99%,56,0.7072717176750934,0.75,-0.0427282823249065,0.18959877854615967
>=75%,1,0.759531869021303,1.0,-0.24046813097869701,0.05782492201638778
