date,month,hitter_game_opportunities,starting_hitter_game_opportunities,betonline_hits05_player_games,coverage_vs_hitter_games,coverage_vs_starting_hitters,monthly_daily_median,monthly_daily_min,monthly_daily_max
2026-03-25,2026-03,17,,0,0.0,,,,
2026-03-26,2026-03,199,,213,1.07035175879397,,,,
2026-03-27,2026-03,132,,147,1.1136363636363635,,,,
2026-03-28,2026-03,211,,120,0.5687203791469194,,,,
2026-03-29,2026-03,194,,209,1.077319587628866,,,,
2026-03-30,2026-03,253,,271,1.0711462450592886,,,,
2026-03-31,2026-03,163,,0,0.0,,,,
2026-04-01,2026-04,100,,76,0.76,,,,
2026-04-02,2026-04,35,,37,1.0571428571428572,,,,
2026-04-03,2026-04,127,,96,0.7559055118110236,,,,
2026-04-04,2026-04,173,,148,0.8554913294797688,,,,
2026-04-05,2026-04,66,,20,0.30303030303030304,,,,
2026-04-06,2026-04,198,,219,1.106060606060606,,,,
2026-04-07,2026-04,218,,221,1.0137614678899083,,,,
2026-04-08,2026-04,73,,77,1.0547945205479452,,,,
2026-04-09,2026-04,55,,56,1.018181818181818,,,,
2026-04-10,2026-04,239,,263,1.100418410041841,,,,
2026-04-11,2026-04,166,,154,0.927710843373494,,,,
2026-04-12,2026-04,36,,20,0.5555555555555556,,,,
2026-04-13,2026-04,150,,163,1.0866666666666667,,,,
2026-04-14,2026-04,269,,298,1.1078066914498141,,,,
2026-04-15,2026-04,201,,245,1.2189054726368158,,,,
2026-04-16,2026-04,50,,188,3.76,,,,
2026-04-17,2026-04,227,,297,1.3083700440528634,,,,
2026-04-18,2026-04,115,,304,2.643478260869565,,,,
2026-04-19,2026-04,110,,291,2.6454545454545455,,,,
2026-04-20,2026-04,147,,190,1.2925170068027212,,,,
2026-04-21,2026-04,227,,268,1.1806167400881058,,,,
2026-04-22,2026-04,210,,285,1.3571428571428572,,,,
2026-04-23,2026-04,54,,179,3.314814814814815,,,,
2026-04-24,2026-04,229,,273,1.1921397379912664,,,,
2026-04-25,2026-04,15,,292,19.466666666666665,,,,
2026-04-26,2026-04,250,,310,1.24,,,,
2026-04-27,2026-04,136,,156,1.1470588235294117,,,,
2026-04-28,2026-04,256,,281,1.09765625,,,,
2026-04-29,2026-04,196,,284,1.4489795918367347,,,,
2026-04-30,2026-04,197,,224,1.1370558375634519,,,,
2026-05-01,2026-05,276,,291,1.0543478260869565,,,,
2026-05-02,2026-05,285,,299,1.0491228070175438,,,,
2026-05-03,2026-05,292,,308,1.0547945205479452,,,,
2026-05-04,2026-05,230,,241,1.0478260869565217,,,,
2026-05-05,2026-05,285,,298,1.0456140350877192,,,,
2026-05-06,2026-05,291,,305,1.0481099656357389,,,,
2026-05-07,2026-05,200,,207,1.035,,,,
2026-05-08,2026-05,274,,287,1.0474452554744527,,,,
2026-05-09,2026-05,281,,292,1.0391459074733096,,,,
2026-05-10,2026-05,281,,296,1.0533807829181494,,,,
2026-05-11,2026-05,108,,116,1.0740740740740742,,,,
2026-05-12,2026-05,282,,295,1.0460992907801419,,,,
2026-05-13,2026-05,287,,304,1.0592334494773519,,,,
2026-05-14,2026-05,215,,226,1.0511627906976744,,,,
2026-05-15,2026-05,282,,303,1.074468085106383,,,,
2026-05-16,2026-05,296,,304,1.027027027027027,,,,
2026-05-17,2026-05,293,,308,1.0511945392491469,,,,
2026-05-18,2026-05,271,,284,1.047970479704797,,,,
2026-05-19,2026-05,281,,301,1.0711743772241993,,,,
2026-05-20,2026-05,302,,316,1.0463576158940397,,,,
2026-05-21,2026-05,127,,137,1.078740157480315,,,,
2026-05-22,2026-05,276,,294,1.065217391304348,,,,
2026-05-23,2026-05,305,,278,0.9114754098360656,,,,
2026-05-24,2026-05,301,,0,0.0,,,,
2026-05-25,2026-05,248,,0,0.0,,,,
2026-05-26,2026-05,280,,0,0.0,,,,
2026-05-27,2026-05,284,,0,0.0,,,,
2026-05-28,2026-05,117,,0,0.0,,,,
2026-05-29,2026-05,278,,0,0.0,,,,
2026-05-30,2026-05,280,,0,0.0,,,,
2026-05-31,2026-05,289,,0,0.0,,,,
2026-06-01,2026-06,171,,0,0.0,,,,
2026-06-02,2026-06,282,,0,0.0,,,,
2026-06-03,2026-06,268,,0,0.0,,,,
2026-06-04,2026-06,167,,0,0.0,,,,
2026-06-05,2026-06,283,,0,0.0,,,,
2026-06-06,2026-06,281,,0,0.0,,,,
2026-06-07,2026-06,285,,0,0.0,,,,
2026-06-08,2026-06,153,,0,0.0,,,,
2026-06-09,2026-06,285,,0,0.0,,,,
2026-06-10,2026-06,288,,0,0.0,,,,
2026-06-11,2026-06,157,,0,0.0,,,,
2026-06-12,2026-06,285,,0,0.0,,,,
2026-06-13,2026-06,287,,0,0.0,,,,
2026-06-14,2026-06,292,,0,0.0,,,,
2026-06-15,2026-06,190,,0,0.0,,,,
2026-06-16,2026-06,308,,0,0.0,,,,
2026-06-17,2026-06,275,,0,0.0,,,,
2026-06-18,2026-06,178,,0,0.0,,,,
2026-06-19,2026-06,284,,253,0.8908450704225352,,,,
2026-06-20,2026-06,284,,255,0.897887323943662,,,,
2026-06-21,2026-06,313,,247,0.7891373801916933,,,,
2026-06-22,2026-06,265,,234,0.8830188679245283,,,,
2026-06-23,2026-06,325,,279,0.8584615384615385,,,,
2026-06-24,2026-06,337,,283,0.8397626112759644,,,,
2026-06-25,2026-06,189,,159,0.8412698412698413,,,,
2026-06-26,2026-06,301,,273,0.9069767441860465,,,,
2026-06-27,2026-06,313,,281,0.8977635782747604,,,,
2026-06-28,2026-06,330,,293,0.8878787878787879,,,,
2026-06-29,2026-06,260,,225,0.8653846153846154,,,,
2026-06-30,2026-06,311,,265,0.8520900321543409,,,,
2026-07-01,2026-07,289,,243,0.8408304498269896,,,,
2026-07-02,2026-07,174,,150,0.8620689655172413,,,,
2026-07-03,2026-07,265,,218,0.8226415094339623,,,,
2026-07-04,2026-07,311,,265,0.8520900321543409,,,,
2026-07-05,2026-07,307,,273,0.8892508143322475,,,,
2026-07-06,2026-07,165,,145,0.8787878787878788,,,,
2026-07-07,2026-07,326,,285,0.8742331288343558,,,,
2026-07-08,2026-07,308,,286,0.9285714285714286,,,,
2026-07-09,2026-07,265,,230,0.8679245283018868,,,,
2026-07-10,2026-07,311,,279,0.8971061093247589,,,,
2026-07-11,2026-07,333,,265,0.7957957957957958,,,,
2026-07-12,2026-07,308,,285,0.9253246753246753,,,,
2026-07-13,2026-07,0,,0,,,,,
2026-07-14,2026-07,0,,0,,,,,
2026-07-15,2026-07,0,,0,,,,,
2026-07-16,2026-07,18,,0,0.0,,,,
2026-07-17,2026-07,285,,0,0.0,,,,
2026-07-18,2026-07,312,,0,0.0,,,,
2026-07-19,2026-07,339,,279,0.8230088495575221,,,,
2026-07-20,2026-07,305,105,265,0.8688524590163934,2.5238095238095237,,,
2026-07-21,2026-07,318,117,274,0.8616352201257862,2.341880341880342,,,
2026-07-22,2026-07,350,130,287,0.82,2.207692307692308,,,
2026-07-23,2026-07,104,50,84,0.8076923076923077,1.68,,,
2026-07-24,2026-07,310,132,281,0.9064516129032258,2.128787878787879,,,
2026-07-25,2026-07,314,149,296,0.9426751592356688,1.9865771812080537,,,
2026-07-26,2026-07,316,114,278,0.879746835443038,2.43859649122807,,,
2026-07-27,2026-07,254,95,217,0.8543307086614174,2.2842105263157895,,,
2026-07-28,2026-07,325,105,272,0.8369230769230769,2.5904761904761906,,,
2026-07-29,2026-07,334,133,299,0.8952095808383234,2.2481203007518795,,,
2026-07-30,2026-07,201,63,177,0.8805970149253731,2.8095238095238093,,,
2026-07-31,2026-07,311,116,271,0.8713826366559485,2.336206896551724,,,
2026-08-01,2026-08,317,118,272,0.8580441640378549,2.305084745762712,,,
2026-08-02,2026-08,319,125,281,0.8808777429467085,2.248,,,
2026-08-03,2026-08,171,64,150,0.8771929824561403,2.34375,,,
2026-08-04,2026-08,0,,131,,,,,
2026-08-05,2026-08,0,,36,,,,,
2026-08-06,2026-08,0,,205,,,,,
2026-08-07,2026-08,0,,276,,,,,
2026-08-08,2026-08,0,,267,,,,,
2026-08-09,2026-08,0,,260,,,,,
