date,official_local_schedule_games,official_schedule_status,repository_denominator_games,repository_denominator_status,games_with_betonline_player_prop_capture,games_with_any_hits_market,games_with_hits05_market,games_with_proppadia_hits05,games_in_recovered_sync_hits05
2026-03-25,,LOCAL_OFFICIAL_SCHEDULE_UNAVAILABLE,1,RETAINED_SLATE_ARTIFACT_ONLY_INCOMPLETE_OFFICIAL_DENOMINATOR,0,0,0,1,0
2026-03-26,,LOCAL_OFFICIAL_SCHEDULE_UNAVAILABLE,11,RETAINED_SLATE_ARTIFACT_ONLY_INCOMPLETE_OFFICIAL_DENOMINATOR,11,11,11,11,0
2026-03-27,,LOCAL_OFFICIAL_SCHEDULE_UNAVAILABLE,8,RETAINED_SLATE_ARTIFACT_ONLY_INCOMPLETE_OFFICIAL_DENOMINATOR,8,8,8,8,0
2026-03-28,,LOCAL_OFFICIAL_SCHEDULE_UNAVAILABLE,15,RETAINED_SLATE_ARTIFACT_ONLY_INCOMPLETE_OFFICIAL_DENOMINATOR,7,7,7,14,0
2026-03-29,,LOCAL_OFFICIAL_SCHEDULE_UNAVAILABLE,12,RETAINED_SLATE_ARTIFACT_ONLY_INCOMPLETE_OFFICIAL_DENOMINATOR,12,12,12,12,0
2026-03-30,,LOCAL_OFFICIAL_SCHEDULE_UNAVAILABLE,15,RETAINED_SLATE_ARTIFACT_ONLY_INCOMPLETE_OFFICIAL_DENOMINATOR,15,15,15,15,0
2026-03-31,,LOCAL_OFFICIAL_SCHEDULE_UNAVAILABLE,12,RETAINED_SLATE_ARTIFACT_ONLY_INCOMPLETE_OFFICIAL_DENOMINATOR,0,0,0,12,0
2026-04-01,,LOCAL_OFFICIAL_SCHEDULE_UNAVAILABLE,7,RETAINED_SLATE_ARTIFACT_ONLY_INCOMPLETE_OFFICIAL_DENOMINATOR,4,4,4,7,0
2026-04-02,,LOCAL_OFFICIAL_SCHEDULE_UNAVAILABLE,2,RETAINED_SLATE_ARTIFACT_ONLY_INCOMPLETE_OFFICIAL_DENOMINATOR,2,2,2,2,0
2026-04-03,,LOCAL_OFFICIAL_SCHEDULE_UNAVAILABLE,8,RETAINED_SLATE_ARTIFACT_ONLY_INCOMPLETE_OFFICIAL_DENOMINATOR,5,5,5,7,0
2026-04-04,,LOCAL_OFFICIAL_SCHEDULE_UNAVAILABLE,11,RETAINED_SLATE_ARTIFACT_ONLY_INCOMPLETE_OFFICIAL_DENOMINATOR,8,8,8,10,0
2026-04-05,,LOCAL_OFFICIAL_SCHEDULE_UNAVAILABLE,4,RETAINED_SLATE_ARTIFACT_ONLY_INCOMPLETE_OFFICIAL_DENOMINATOR,1,1,1,4,0
2026-04-06,,LOCAL_OFFICIAL_SCHEDULE_UNAVAILABLE,12,RETAINED_SLATE_ARTIFACT_ONLY_INCOMPLETE_OFFICIAL_DENOMINATOR,12,12,12,12,0
2026-04-07,,LOCAL_OFFICIAL_SCHEDULE_UNAVAILABLE,13,RETAINED_SLATE_ARTIFACT_ONLY_INCOMPLETE_OFFICIAL_DENOMINATOR,12,12,12,13,0
2026-04-08,,LOCAL_OFFICIAL_SCHEDULE_UNAVAILABLE,5,RETAINED_SLATE_ARTIFACT_ONLY_INCOMPLETE_OFFICIAL_DENOMINATOR,4,4,4,5,0
2026-04-09,,LOCAL_OFFICIAL_SCHEDULE_UNAVAILABLE,3,RETAINED_SLATE_ARTIFACT_ONLY_INCOMPLETE_OFFICIAL_DENOMINATOR,3,3,3,3,0
2026-04-10,,LOCAL_OFFICIAL_SCHEDULE_UNAVAILABLE,14,RETAINED_SLATE_ARTIFACT_ONLY_INCOMPLETE_OFFICIAL_DENOMINATOR,14,14,14,14,0
2026-04-11,,LOCAL_OFFICIAL_SCHEDULE_UNAVAILABLE,10,RETAINED_SLATE_ARTIFACT_ONLY_INCOMPLETE_OFFICIAL_DENOMINATOR,8,8,8,10,0
2026-04-12,,LOCAL_OFFICIAL_SCHEDULE_UNAVAILABLE,4,RETAINED_SLATE_ARTIFACT_ONLY_INCOMPLETE_OFFICIAL_DENOMINATOR,1,1,1,4,0
2026-04-13,,LOCAL_OFFICIAL_SCHEDULE_UNAVAILABLE,9,RETAINED_SLATE_ARTIFACT_ONLY_INCOMPLETE_OFFICIAL_DENOMINATOR,9,9,9,9,0
2026-04-14,,LOCAL_OFFICIAL_SCHEDULE_UNAVAILABLE,15,RETAINED_SLATE_ARTIFACT_ONLY_INCOMPLETE_OFFICIAL_DENOMINATOR,15,15,15,15,0
2026-04-15,,LOCAL_OFFICIAL_SCHEDULE_UNAVAILABLE,12,RETAINED_SLATE_ARTIFACT_ONLY_INCOMPLETE_OFFICIAL_DENOMINATOR,12,12,12,12,0
2026-04-16,,LOCAL_OFFICIAL_SCHEDULE_UNAVAILABLE,3,RETAINED_SLATE_ARTIFACT_ONLY_INCOMPLETE_OFFICIAL_DENOMINATOR,10,10,10,3,0
2026-04-17,,LOCAL_OFFICIAL_SCHEDULE_UNAVAILABLE,14,RETAINED_SLATE_ARTIFACT_ONLY_INCOMPLETE_OFFICIAL_DENOMINATOR,15,15,15,14,0
2026-04-18,,LOCAL_OFFICIAL_SCHEDULE_UNAVAILABLE,7,RETAINED_SLATE_ARTIFACT_ONLY_INCOMPLETE_OFFICIAL_DENOMINATOR,15,15,15,7,0
2026-04-19,,LOCAL_OFFICIAL_SCHEDULE_UNAVAILABLE,7,RETAINED_SLATE_ARTIFACT_ONLY_INCOMPLETE_OFFICIAL_DENOMINATOR,15,15,15,7,0
2026-04-20,,LOCAL_OFFICIAL_SCHEDULE_UNAVAILABLE,9,RETAINED_SLATE_ARTIFACT_ONLY_INCOMPLETE_OFFICIAL_DENOMINATOR,10,10,10,9,0
2026-04-21,,LOCAL_OFFICIAL_SCHEDULE_UNAVAILABLE,14,RETAINED_SLATE_ARTIFACT_ONLY_INCOMPLETE_OFFICIAL_DENOMINATOR,15,14,14,14,0
2026-04-22,,LOCAL_OFFICIAL_SCHEDULE_UNAVAILABLE,12,RETAINED_SLATE_ARTIFACT_ONLY_INCOMPLETE_OFFICIAL_DENOMINATOR,15,15,15,12,0
2026-04-23,,LOCAL_OFFICIAL_SCHEDULE_UNAVAILABLE,3,RETAINED_SLATE_ARTIFACT_ONLY_INCOMPLETE_OFFICIAL_DENOMINATOR,9,9,9,3,0
2026-04-24,,LOCAL_OFFICIAL_SCHEDULE_UNAVAILABLE,14,RETAINED_SLATE_ARTIFACT_ONLY_INCOMPLETE_OFFICIAL_DENOMINATOR,14,14,14,14,0
2026-04-25,,LOCAL_OFFICIAL_SCHEDULE_UNAVAILABLE,1,RETAINED_SLATE_ARTIFACT_ONLY_INCOMPLETE_OFFICIAL_DENOMINATOR,15,15,15,1,0
2026-04-26,,LOCAL_OFFICIAL_SCHEDULE_UNAVAILABLE,15,RETAINED_SLATE_ARTIFACT_ONLY_INCOMPLETE_OFFICIAL_DENOMINATOR,16,16,16,15,0
2026-04-27,,LOCAL_OFFICIAL_SCHEDULE_UNAVAILABLE,8,RETAINED_SLATE_ARTIFACT_ONLY_INCOMPLETE_OFFICIAL_DENOMINATOR,8,8,8,8,0
2026-04-28,,LOCAL_OFFICIAL_SCHEDULE_UNAVAILABLE,15,RETAINED_SLATE_ARTIFACT_ONLY_INCOMPLETE_OFFICIAL_DENOMINATOR,15,15,15,15,0
2026-04-29,,LOCAL_OFFICIAL_SCHEDULE_UNAVAILABLE,12,RETAINED_SLATE_ARTIFACT_ONLY_INCOMPLETE_OFFICIAL_DENOMINATOR,15,15,15,12,0
2026-04-30,,LOCAL_OFFICIAL_SCHEDULE_UNAVAILABLE,11,RETAINED_SLATE_ARTIFACT_ONLY_INCOMPLETE_OFFICIAL_DENOMINATOR,11,11,11,11,0
2026-05-01,,LOCAL_OFFICIAL_SCHEDULE_UNAVAILABLE,15,RETAINED_SLATE_ARTIFACT_ONLY_INCOMPLETE_OFFICIAL_DENOMINATOR,15,15,15,15,0
