date,outcome_denominator,hitter_games,total_hits_recorded,unique_hitters_with_ge1_hit,hitter_games_0_hits,hitter_games_1_hit,hitter_games_2plus_hits
2026-04-09,retained reconciled hitter-games only; not the full official batting universe,55,38.0,29,26,20,9
2026-04-10,retained reconciled hitter-games only; not the full official batting universe,231,187.0,138,93,100,38
2026-04-11,retained reconciled hitter-games only; not the full official batting universe,159,131.0,91,68,62,29
2026-04-12,retained reconciled hitter-games only; not the full official batting universe,33,31.0,18,15,9,9
2026-04-13,retained reconciled hitter-games only; not the full official batting universe,145,158.0,106,39,64,42
2026-04-14,retained reconciled hitter-games only; not the full official batting universe,253,214.0,149,104,97,52
2026-04-15,retained reconciled hitter-games only; not the full official batting universe,195,149.0,109,86,77,32
2026-04-16,retained reconciled hitter-games only; not the full official batting universe,49,39.0,28,21,18,10
2026-04-17,retained reconciled hitter-games only; not the full official batting universe,225,194.0,131,94,83,48
2026-04-18,retained reconciled hitter-games only; not the full official batting universe,109,93.0,63,46,40,23
2026-04-19,retained reconciled hitter-games only; not the full official batting universe,107,87.0,65,42,48,17
2026-04-20,retained reconciled hitter-games only; not the full official batting universe,142,133.0,91,51,63,28
2026-04-21,retained reconciled hitter-games only; not the full official batting universe,218,189.0,136,82,89,47
2026-04-22,retained reconciled hitter-games only; not the full official batting universe,197,201.0,134,63,79,55
2026-04-23,retained reconciled hitter-games only; not the full official batting universe,48,41.0,27,21,16,11
2026-04-24,retained reconciled hitter-games only; not the full official batting universe,222,223.0,150,72,92,58
2026-04-25,retained reconciled hitter-games only; not the full official batting universe,15,18.0,11,4,5,6
2026-04-26,retained reconciled hitter-games only; not the full official batting universe,229,179.0,128,101,91,37
2026-04-27,retained reconciled hitter-games only; not the full official batting universe,129,107.0,76,53,50,26
2026-04-28,retained reconciled hitter-games only; not the full official batting universe,246,203.0,143,103,94,49
2026-04-29,retained reconciled hitter-games only; not the full official batting universe,174,154.0,107,67,69,38
2026-04-30,retained reconciled hitter-games only; not the full official batting universe,149,141.0,87,62,46,41
2026-05-01,retained reconciled hitter-games only; not the full official batting universe,244,214.0,150,94,101,49
2026-05-02,retained reconciled hitter-games only; not the full official batting universe,247,219.0,157,90,107,50
2026-05-03,retained reconciled hitter-games only; not the full official batting universe,248,221.0,153,95,93,60
2026-05-04,retained reconciled hitter-games only; not the full official batting universe,184,150.0,108,76,76,32
2026-05-05,retained reconciled hitter-games only; not the full official batting universe,206,168.0,113,93,73,40
2026-05-06,retained reconciled hitter-games only; not the full official batting universe,241,176.0,126,115,84,42
2026-05-07,retained reconciled hitter-games only; not the full official batting universe,167,150.0,111,56,80,31
2026-05-08,retained reconciled hitter-games only; not the full official batting universe,248,181.0,133,115,96,37
2026-05-10,retained reconciled hitter-games only; not the full official batting universe,231,165.0,122,109,90,32
2026-05-11,retained reconciled hitter-games only; not the full official batting universe,98,76.0,51,47,30,21
2026-05-12,retained reconciled hitter-games only; not the full official batting universe,237,197.0,137,100,87,50
2026-05-13,retained reconciled hitter-games only; not the full official batting universe,231,198.0,133,98,79,54
2026-05-14,retained reconciled hitter-games only; not the full official batting universe,177,149.0,104,73,65,39
2026-05-15,retained reconciled hitter-games only; not the full official batting universe,238,205.0,136,102,83,53
2026-05-16,retained reconciled hitter-games only; not the full official batting universe,219,197.0,138,81,86,52
2026-05-17,retained reconciled hitter-games only; not the full official batting universe,225,210.0,144,81,88,56
2026-05-18,retained reconciled hitter-games only; not the full official batting universe,222,195.0,134,88,83,51
2026-05-19,retained reconciled hitter-games only; not the full official batting universe,233,196.0,134,99,86,48
