date,hitter_game_opportunities,starting_hitter_game_opportunities,starting_denominator_status,betonline_any_hits_player_games,betonline_hits05_player_games,proppadia_hits05_player_games,synchronized_hits05_player_games,betonline_hits05_proposition_sides,proppadia_hits05_prediction_sides,synchronized_hits05_rows
2026-03-25,17,,UNAVAILABLE_NOT_APPROXIMATED,0,0,16,0,0,16,0
2026-03-26,199,,UNAVAILABLE_NOT_APPROXIMATED,213,213,199,0,413,199,0
2026-03-27,132,,UNAVAILABLE_NOT_APPROXIMATED,147,147,132,0,283,132,0
2026-03-28,211,,UNAVAILABLE_NOT_APPROXIMATED,120,120,195,0,224,195,0
2026-03-29,194,,UNAVAILABLE_NOT_APPROXIMATED,209,209,194,0,398,194,0
2026-03-30,253,,UNAVAILABLE_NOT_APPROXIMATED,271,271,253,0,510,253,0
2026-03-31,163,,UNAVAILABLE_NOT_APPROXIMATED,0,0,137,0,0,137,0
2026-04-01,100,,UNAVAILABLE_NOT_APPROXIMATED,76,76,89,0,149,89,0
2026-04-02,35,,UNAVAILABLE_NOT_APPROXIMATED,37,37,35,0,70,35,0
2026-04-03,127,,UNAVAILABLE_NOT_APPROXIMATED,96,96,110,0,177,110,0
2026-04-04,173,,UNAVAILABLE_NOT_APPROXIMATED,148,148,158,0,274,158,0
2026-04-05,66,,UNAVAILABLE_NOT_APPROXIMATED,20,20,40,0,40,40,0
2026-04-06,198,,UNAVAILABLE_NOT_APPROXIMATED,219,219,198,0,413,198,0
2026-04-07,218,,UNAVAILABLE_NOT_APPROXIMATED,221,221,209,0,424,209,0
2026-04-08,73,,UNAVAILABLE_NOT_APPROXIMATED,77,77,73,0,150,73,0
2026-04-09,55,,UNAVAILABLE_NOT_APPROXIMATED,56,56,55,0,108,55,0
2026-04-10,239,,UNAVAILABLE_NOT_APPROXIMATED,263,263,239,0,500,239,0
2026-04-11,166,,UNAVAILABLE_NOT_APPROXIMATED,154,154,147,0,296,147,0
2026-04-12,36,,UNAVAILABLE_NOT_APPROXIMATED,20,20,30,0,40,30,0
2026-04-13,150,,UNAVAILABLE_NOT_APPROXIMATED,163,163,150,0,316,150,0
2026-04-14,269,,UNAVAILABLE_NOT_APPROXIMATED,298,298,269,0,567,269,0
2026-04-15,201,,UNAVAILABLE_NOT_APPROXIMATED,245,245,173,0,467,173,0
2026-04-16,50,,UNAVAILABLE_NOT_APPROXIMATED,188,188,49,0,365,49,0
2026-04-17,227,,UNAVAILABLE_NOT_APPROXIMATED,297,297,203,0,570,203,0
2026-04-18,115,,UNAVAILABLE_NOT_APPROXIMATED,304,304,95,0,578,95,0
2026-04-19,110,,UNAVAILABLE_NOT_APPROXIMATED,291,291,99,0,557,99,0
2026-04-20,147,,UNAVAILABLE_NOT_APPROXIMATED,190,190,128,0,358,128,0
2026-04-21,227,,UNAVAILABLE_NOT_APPROXIMATED,268,268,206,0,515,206,0
2026-04-22,210,,UNAVAILABLE_NOT_APPROXIMATED,285,285,182,0,535,182,0
2026-04-23,54,,UNAVAILABLE_NOT_APPROXIMATED,179,179,53,0,343,53,0
2026-04-24,229,,UNAVAILABLE_NOT_APPROXIMATED,273,273,208,0,525,208,0
2026-04-25,15,,UNAVAILABLE_NOT_APPROXIMATED,292,292,13,0,551,13,0
2026-04-26,250,,UNAVAILABLE_NOT_APPROXIMATED,310,310,214,0,586,214,0
2026-04-27,136,,UNAVAILABLE_NOT_APPROXIMATED,156,156,128,0,306,128,0
2026-04-28,256,,UNAVAILABLE_NOT_APPROXIMATED,281,281,248,0,547,248,0
2026-04-29,196,,UNAVAILABLE_NOT_APPROXIMATED,284,284,172,0,547,172,0
2026-04-30,197,,UNAVAILABLE_NOT_APPROXIMATED,224,224,186,0,428,186,0
2026-05-01,276,,UNAVAILABLE_NOT_APPROXIMATED,291,291,268,0,558,268,0
2026-05-02,285,,UNAVAILABLE_NOT_APPROXIMATED,299,299,275,0,572,275,0
2026-05-03,292,,UNAVAILABLE_NOT_APPROXIMATED,308,308,280,0,581,280,0
2026-05-04,230,,UNAVAILABLE_NOT_APPROXIMATED,241,241,217,0,452,217,0
2026-05-05,285,,UNAVAILABLE_NOT_APPROXIMATED,298,298,275,0,572,275,0
