date,betonline_o05,betonline_u05,betonline_paired_player_games,proppadia_o05,proppadia_u05,proppadia_both_side_player_games,proppadia_one_side_player_games,synchronized_o05,synchronized_u05,synchronized_paired_player_games
2026-03-25,0,0,0,15,1,0,16,0,0,0
2026-03-26,213,200,200,158,41,0,199,0,0,0
2026-03-27,147,136,136,20,112,0,132,0,0,0
2026-03-28,120,104,104,12,183,0,195,0,0,0
2026-03-29,209,189,189,13,181,0,194,0,0,0
2026-03-30,271,239,239,8,245,0,253,0,0,0
2026-03-31,0,0,0,16,121,0,137,0,0,0
2026-04-01,76,73,73,5,84,0,89,0,0,0
2026-04-02,37,33,33,2,33,0,35,0,0,0
2026-04-03,96,81,81,16,94,0,110,0,0,0
2026-04-04,148,126,126,19,139,0,158,0,0,0
2026-04-05,20,20,20,5,35,0,40,0,0,0
2026-04-06,219,194,194,69,129,0,198,0,0,0
2026-04-07,221,203,203,84,125,0,209,0,0,0
2026-04-08,77,73,73,20,53,0,73,0,0,0
2026-04-09,56,52,52,20,35,0,55,0,0,0
2026-04-10,263,237,237,86,153,0,239,0,0,0
2026-04-11,154,142,142,57,90,0,147,0,0,0
2026-04-12,20,20,20,9,21,0,30,0,0,0
2026-04-13,163,153,153,58,92,0,150,0,0,0
2026-04-14,298,269,269,108,161,0,269,0,0,0
2026-04-15,245,222,222,58,115,0,173,0,0,0
2026-04-16,188,177,177,21,28,0,49,0,0,0
2026-04-17,297,273,273,80,123,0,203,0,0,0
2026-04-18,304,274,274,85,10,0,95,0,0,0
2026-04-19,291,266,266,92,7,0,99,0,0,0
2026-04-20,190,168,168,119,9,0,128,0,0,0
2026-04-21,268,247,247,181,25,0,206,0,0,0
2026-04-22,285,250,250,172,10,0,182,0,0,0
2026-04-23,179,164,164,28,25,0,53,0,0,0
2026-04-24,273,252,252,140,68,0,208,0,0,0
2026-04-25,292,259,259,6,7,0,13,0,0,0
2026-04-26,310,276,276,149,65,0,214,0,0,0
2026-04-27,156,150,150,93,35,0,128,0,0,0
2026-04-28,281,266,266,204,44,0,248,0,0,0
2026-04-29,284,263,263,118,54,0,172,0,0,0
2026-04-30,224,204,204,123,63,0,186,0,0,0
2026-05-01,291,267,267,196,72,0,268,0,0,0
2026-05-02,299,273,273,196,79,0,275,0,0,0
2026-05-03,308,273,273,190,90,0,280,0,0,0
2026-05-04,241,211,211,153,64,0,217,0,0,0
2026-05-05,298,274,274,186,89,0,275,0,0,0
2026-05-06,305,283,283,199,86,0,285,0,0,0
2026-05-07,207,186,186,133,61,0,194,0,0,0
2026-05-08,287,273,273,177,90,0,267,163,74,0
2026-05-09,292,272,272,186,88,0,274,0,0,0
2026-05-10,296,272,272,188,86,0,274,54,13,0
2026-05-11,116,109,109,66,39,0,105,59,32,0
2026-05-12,295,262,262,183,89,0,272,142,61,0
2026-05-13,304,283,283,184,98,0,282,132,55,0
2026-05-14,226,209,209,135,71,0,206,65,18,0
2026-05-15,303,266,266,163,102,0,265,128,75,0
2026-05-16,304,264,264,172,115,0,287,102,39,0
2026-05-17,308,274,274,164,114,0,278,42,21,0
2026-05-18,284,249,249,157,102,0,259,116,66,0
2026-05-19,301,277,277,177,97,0,274,137,63,0
2026-05-20,316,292,292,177,119,0,296,99,53,0
2026-05-21,137,130,130,104,20,0,124,62,8,0
2026-05-22,294,277,277,244,26,0,270,175,16,0
2026-05-23,278,251,251,263,34,0,297,97,8,0
2026-05-24,0,0,0,256,40,0,296,0,0,0
2026-05-25,0,0,0,213,28,0,241,0,0,0
2026-05-26,0,0,0,242,32,0,274,0,0,0
2026-05-27,0,0,0,255,26,0,281,0,0,0
2026-05-28,0,0,0,112,5,0,117,0,0,0
2026-05-29,0,0,0,260,8,0,268,0,0,0
2026-05-30,0,0,0,252,19,0,271,0,0,0
2026-05-31,0,0,0,265,16,0,281,0,0,0
2026-06-01,0,0,0,160,8,0,168,0,0,0
2026-06-02,0,0,0,261,18,0,279,0,0,0
2026-06-03,0,0,0,252,10,0,262,0,0,0
2026-06-04,0,0,0,139,18,0,157,0,0,0
2026-06-05,0,0,0,236,31,0,267,0,0,0
2026-06-06,0,0,0,236,30,0,266,0,0,0
2026-06-07,0,0,0,231,41,0,272,0,0,0
2026-06-08,0,0,0,121,24,0,145,0,0,0
2026-06-09,0,0,0,224,33,0,257,0,0,0
2026-06-10,0,0,0,231,37,0,268,0,0,0
2026-06-11,0,0,0,132,16,0,148,0,0,0
2026-06-12,0,0,0,243,23,0,266,0,0,0
2026-06-13,0,0,0,237,32,0,269,0,0,0
2026-06-14,0,0,0,246,29,0,275,0,0,0
2026-06-15,0,0,0,168,18,0,186,0,0,0
2026-06-16,0,0,0,272,25,0,297,0,0,0
2026-06-17,0,0,0,231,30,0,261,0,0,0
2026-06-18,0,0,0,166,7,0,173,0,0,0
2026-06-19,253,253,253,250,19,0,269,204,17,0
2026-06-20,255,255,255,241,29,0,270,195,22,0
2026-06-21,247,247,247,269,29,0,298,190,23,0
2026-06-22,234,234,234,219,27,0,246,160,17,0
2026-06-23,279,279,279,275,35,0,310,193,27,0
2026-06-24,283,283,283,280,42,0,322,195,23,0
2026-06-25,159,159,159,160,23,0,183,109,14,0
2026-06-26,273,273,273,264,29,0,293,221,21,0
2026-06-27,281,281,281,274,30,0,304,216,22,0
2026-06-28,293,293,293,287,36,0,323,220,28,0
2026-06-29,225,225,225,214,24,0,238,168,21,0
2026-06-30,265,265,265,256,30,0,286,192,20,0
2026-07-01,243,243,243,237,29,0,266,181,23,0
