path,model_family,created_or_trained_at,training_population,sha256,parameter_hash,input_feature_count,decision_threshold,compatibility,recovery_status
models_out/archive/hits/hits-20260218T162207Z.joblib,sklearn logistic-regression/random-forest probability blend,20260218T162207Z,days_back=undocumented;limit=undocumented;exact_row_ids=not_retained,a2aeb2d2fd7245361c0cce219ea7ccd39cc5231377baea900caad5f1b96183c8,a2aeb2d2fd7245361c0cce219ea7ccd39cc5231377baea900caad5f1b96183c8,not_loaded,not_loaded,CANDIDATE_PRE_BENCHMARK,FITTED_ARTIFACT_EXACTLY_RECOVERED
models_out/archive/hits/hits-20260218T162300Z.joblib,sklearn logistic-regression/random-forest probability blend,20260218T162300Z,days_back=undocumented;limit=undocumented;exact_row_ids=not_retained,dc679dddaf2d53f766d9c56e171176fa0687a21f0cca148fb1013f6190da8efa,dc679dddaf2d53f766d9c56e171176fa0687a21f0cca148fb1013f6190da8efa,not_loaded,not_loaded,CANDIDATE_PRE_BENCHMARK,FITTED_ARTIFACT_EXACTLY_RECOVERED
models_out/archive/hits/hits-20260218T203433Z.joblib,sklearn logistic-regression/random-forest probability blend,20260218T203433Z,days_back=undocumented;limit=undocumented;exact_row_ids=not_retained,168a653978f23c1e1c8f32b99f573960d9a813a1ec35cea30b11f2e9233d5d14,168a653978f23c1e1c8f32b99f573960d9a813a1ec35cea30b11f2e9233d5d14,not_loaded,not_loaded,CANDIDATE_PRE_BENCHMARK,FITTED_ARTIFACT_EXACTLY_RECOVERED
models_out/archive/hits/hits-20260329T045055Z.joblib,sklearn logistic-regression/random-forest probability blend,20260329T045055Z,days_back=undocumented;limit=undocumented;exact_row_ids=not_retained,01fdf25ae7e8ec675ec783ffdb9a64f4ca0348af9a90e12436d5550582956c52,01fdf25ae7e8ec675ec783ffdb9a64f4ca0348af9a90e12436d5550582956c52,not_loaded,not_loaded,CANDIDATE_PRE_BENCHMARK,FITTED_ARTIFACT_EXACTLY_RECOVERED
models_out/archive/hits/hits-20260329T053941Z.joblib,sklearn logistic-regression/random-forest probability blend,20260329T053941Z,days_back=undocumented;limit=undocumented;exact_row_ids=not_retained,96667a2d3f64b96f8b4b2f916fdf1a7f49d3d58e07ae49785be682df10e002af,96667a2d3f64b96f8b4b2f916fdf1a7f49d3d58e07ae49785be682df10e002af,not_loaded,not_loaded,CANDIDATE_PRE_BENCHMARK,FITTED_ARTIFACT_EXACTLY_RECOVERED
models_out/archive/hits/hits-20260329T055320Z.joblib,sklearn logistic-regression/random-forest probability blend,20260329T055320Z,days_back=undocumented;limit=undocumented;exact_row_ids=not_retained,6094dd64859aaf775d952e3d8995e382b5a06081c6b55c35b08e23efd1096576,6094dd64859aaf775d952e3d8995e382b5a06081c6b55c35b08e23efd1096576,not_loaded,not_loaded,CANDIDATE_PRE_BENCHMARK,FITTED_ARTIFACT_EXACTLY_RECOVERED
models_out/archive/hits/hits-20260329T150150Z.joblib,sklearn logistic-regression/random-forest probability blend,20260329T150150Z,days_back=undocumented;limit=undocumented;exact_row_ids=not_retained,859b8468595f1e129f1a0575dda36243cc3605eac23243cc528f3f4c86460e40,859b8468595f1e129f1a0575dda36243cc3605eac23243cc528f3f4c86460e40,not_loaded,not_loaded,CANDIDATE_PRE_BENCHMARK,FITTED_ARTIFACT_EXACTLY_RECOVERED
models_out/archive/hits/hits-20260329T174613Z.joblib,sklearn logistic-regression/random-forest probability blend,20260329T174613Z,days_back=undocumented;limit=undocumented;exact_row_ids=not_retained,24deaaba6683e7ca4e6f26b4d5ee23acc1bb5bdc8da2a486f9a51faf680d23e4,24deaaba6683e7ca4e6f26b4d5ee23acc1bb5bdc8da2a486f9a51faf680d23e4,not_loaded,not_loaded,CANDIDATE_PRE_BENCHMARK,FITTED_ARTIFACT_EXACTLY_RECOVERED
models_out/archive/hits/hits-20260329T184148Z.joblib,sklearn logistic-regression/random-forest probability blend,20260329T184148Z,days_back=undocumented;limit=undocumented;exact_row_ids=not_retained,a0660d3f4f7602fbd5001fa863589843e696d9a04fe1b59d5a8ce80df8a14bb7,a0660d3f4f7602fbd5001fa863589843e696d9a04fe1b59d5a8ce80df8a14bb7,not_loaded,not_loaded,CANDIDATE_PRE_BENCHMARK,FITTED_ARTIFACT_EXACTLY_RECOVERED
models_out/archive/hits/hits-20260329T194859Z.joblib,sklearn logistic-regression/random-forest probability blend,20260329T194859Z,days_back=undocumented;limit=undocumented;exact_row_ids=not_retained,10ee828ccc966c5e72e6ed46039e26f48acb218839af78258b08951f3b1f4b73,10ee828ccc966c5e72e6ed46039e26f48acb218839af78258b08951f3b1f4b73,not_loaded,not_loaded,CANDIDATE_PRE_BENCHMARK,FITTED_ARTIFACT_EXACTLY_RECOVERED
models_out/archive/hits/hits-20260329T232327Z.joblib,sklearn logistic-regression/random-forest probability blend,20260329T232327Z,days_back=undocumented;limit=undocumented;exact_row_ids=not_retained,0e95086a15dc4c08dacb72b2c6d7ad4d734bb99733442f626542fb32ab8b3764,0e95086a15dc4c08dacb72b2c6d7ad4d734bb99733442f626542fb32ab8b3764,not_loaded,not_loaded,CANDIDATE_PRE_BENCHMARK,FITTED_ARTIFACT_EXACTLY_RECOVERED
models_out/archive/hits/hits-20260329T233506Z.joblib,sklearn logistic-regression/random-forest probability blend,20260329T233506Z,days_back=undocumented;limit=undocumented;exact_row_ids=not_retained,547e394845d6eacee66bbf8829a712dc00618b1a340cbcf80ca5bdd5d202738d,547e394845d6eacee66bbf8829a712dc00618b1a340cbcf80ca5bdd5d202738d,not_loaded,not_loaded,CANDIDATE_PRE_BENCHMARK,FITTED_ARTIFACT_EXACTLY_RECOVERED
models_out/archive/hits/hits-20260330T015619Z.joblib,sklearn logistic-regression/random-forest probability blend,20260330T015619Z,days_back=undocumented;limit=undocumented;exact_row_ids=not_retained,7067c491fa104962b7152d4c9188024836e6ab9879d18352960ea86d13a85ddd,7067c491fa104962b7152d4c9188024836e6ab9879d18352960ea86d13a85ddd,not_loaded,not_loaded,CANDIDATE_PRE_BENCHMARK,FITTED_ARTIFACT_EXACTLY_RECOVERED
models_out/archive/hits/hits-20260330T134002Z.joblib,sklearn logistic-regression/random-forest probability blend,20260330T134002Z,days_back=undocumented;limit=undocumented;exact_row_ids=not_retained,00f565f42515e5628d8a16c9343372e5f23a0f71661029978028e47c3b7d4b13,00f565f42515e5628d8a16c9343372e5f23a0f71661029978028e47c3b7d4b13,not_loaded,not_loaded,CANDIDATE_PRE_BENCHMARK,FITTED_ARTIFACT_EXACTLY_RECOVERED
