probability_band,player_games,mean_predicted_probability,observed_hit_rate,calibration_gap,brier,sample_status
<35%,19,0.33061863157894733,0.3157894736842105,-0.014829157894736822,0.21302195446199998,SMALL_SAMPLE
35-39.99%,131,0.3807322977099237,0.4122137404580153,0.031481442748091615,0.24255650277454202,ADEQUATE_DESCRIPTIVE_SAMPLE
40-44.99%,389,0.4296870874035989,0.4473007712082262,0.0176136838046273,0.24832720409167353,ADEQUATE_DESCRIPTIVE_SAMPLE
45-49.99%,1067,0.4785121593252109,0.49953139643861294,0.021019237113402034,0.2500265758256739,ADEQUATE_DESCRIPTIVE_SAMPLE
50-54.99%,1691,0.5267094228267297,0.5623891188645772,0.035679696037847486,0.24759550527864577,ADEQUATE_DESCRIPTIVE_SAMPLE
55-59.99%,2061,0.5754502775351772,0.589034449296458,0.013584171761280794,0.24228505589559535,ADEQUATE_DESCRIPTIVE_SAMPLE
60-64.99%,2091,0.6246852941176471,0.5911047345767575,-0.033580559540889565,0.24319084291995313,ADEQUATE_DESCRIPTIVE_SAMPLE
65-69.99%,1549,0.6720163602324079,0.6197546804389928,-0.052261679793415006,0.23871734799904196,ADEQUATE_DESCRIPTIVE_SAMPLE
70-74.99%,619,0.7197851243941843,0.617124394184168,-0.10266073021001632,0.24656154790848467,ADEQUATE_DESCRIPTIVE_SAMPLE
>=75%,147,0.771134993197279,0.6326530612244898,-0.13848193197278913,0.2515967612628299,ADEQUATE_DESCRIPTIVE_SAMPLE
