date,lane,no_original_probability,fitted_current_artifact,exact_feature_order,feature_values,missing_fallback_state,exact_state_timestamp,postgame_contamination_excluded,feasibility,replay_performed
2026-08-03,HITS05,0,RETAINED,RETAINED_IN_MANIFEST,RETAINED,DERIVABLE_FROM_VALUES,ABSENT,NOT_CRYPTOGRAPHICALLY_PROVEN,NOT_APPLICABLE_ORIGINAL_RETAINED,NO
2026-08-03,HITS15_UNDER,0,RETAINED,RETAINED_IN_MANIFEST,RETAINED,DERIVABLE_FROM_VALUES,ABSENT,NOT_CRYPTOGRAPHICALLY_PROVEN,NOT_APPLICABLE_ORIGINAL_RETAINED,NO
2026-08-04,HITS05,226,RETAINED,RETAINED_IN_MANIFEST,RETAINED,DERIVABLE_FROM_VALUES,ABSENT,NOT_CRYPTOGRAPHICALLY_PROVEN,PARTIAL_REPLAY_ONLY,NO
2026-08-04,HITS15_UNDER,39,RETAINED,RETAINED_IN_MANIFEST,RETAINED,DERIVABLE_FROM_VALUES,ABSENT,NOT_CRYPTOGRAPHICALLY_PROVEN,PARTIAL_REPLAY_ONLY,NO
2026-08-05,HITS05,47,RETAINED,RETAINED_IN_MANIFEST,RETAINED,DERIVABLE_FROM_VALUES,ABSENT,NOT_CRYPTOGRAPHICALLY_PROVEN,PARTIAL_REPLAY_ONLY,NO
2026-08-05,HITS15_UNDER,10,RETAINED,RETAINED_IN_MANIFEST,RETAINED,DERIVABLE_FROM_VALUES,ABSENT,NOT_CRYPTOGRAPHICALLY_PROVEN,PARTIAL_REPLAY_ONLY,NO
2026-08-06,HITS05,72,RETAINED,RETAINED_IN_MANIFEST,RETAINED,DERIVABLE_FROM_VALUES,ABSENT,NOT_CRYPTOGRAPHICALLY_PROVEN,PARTIAL_REPLAY_ONLY,NO
2026-08-06,HITS15_UNDER,15,RETAINED,RETAINED_IN_MANIFEST,RETAINED,DERIVABLE_FROM_VALUES,ABSENT,NOT_CRYPTOGRAPHICALLY_PROVEN,PARTIAL_REPLAY_ONLY,NO
2026-08-07,HITS05,245,RETAINED,RETAINED_IN_MANIFEST,RETAINED,DERIVABLE_FROM_VALUES,ABSENT,NOT_CRYPTOGRAPHICALLY_PROVEN,PARTIAL_REPLAY_ONLY,NO
2026-08-07,HITS15_UNDER,25,RETAINED,RETAINED_IN_MANIFEST,RETAINED,DERIVABLE_FROM_VALUES,ABSENT,NOT_CRYPTOGRAPHICALLY_PROVEN,PARTIAL_REPLAY_ONLY,NO
2026-08-08,HITS05,181,RETAINED,RETAINED_IN_MANIFEST,RETAINED,DERIVABLE_FROM_VALUES,ABSENT,NOT_CRYPTOGRAPHICALLY_PROVEN,PARTIAL_REPLAY_ONLY,NO
2026-08-08,HITS15_UNDER,29,RETAINED,RETAINED_IN_MANIFEST,RETAINED,DERIVABLE_FROM_VALUES,ABSENT,NOT_CRYPTOGRAPHICALLY_PROVEN,PARTIAL_REPLAY_ONLY,NO
2026-08-09,HITS05,17,RETAINED,RETAINED_IN_MANIFEST,RETAINED,DERIVABLE_FROM_VALUES,ABSENT,NOT_CRYPTOGRAPHICALLY_PROVEN,PARTIAL_REPLAY_ONLY,NO
2026-08-09,HITS15_UNDER,2,RETAINED,RETAINED_IN_MANIFEST,RETAINED,DERIVABLE_FROM_VALUES,ABSENT,NOT_CRYPTOGRAPHICALLY_PROVEN,PARTIAL_REPLAY_ONLY,NO
2026-08-10,HITS05,163,RETAINED,RETAINED_IN_MANIFEST,RETAINED,DERIVABLE_FROM_VALUES,ABSENT,NOT_CRYPTOGRAPHICALLY_PROVEN,PARTIAL_REPLAY_ONLY,NO
2026-08-10,HITS15_UNDER,21,RETAINED,RETAINED_IN_MANIFEST,RETAINED,DERIVABLE_FROM_VALUES,ABSENT,NOT_CRYPTOGRAPHICALLY_PROVEN,PARTIAL_REPLAY_ONLY,NO
2026-08-11,HITS05,225,RETAINED,RETAINED_IN_MANIFEST,RETAINED,DERIVABLE_FROM_VALUES,ABSENT,NOT_CRYPTOGRAPHICALLY_PROVEN,PARTIAL_REPLAY_ONLY,NO
2026-08-11,HITS15_UNDER,39,RETAINED,RETAINED_IN_MANIFEST,RETAINED,DERIVABLE_FROM_VALUES,ABSENT,NOT_CRYPTOGRAPHICALLY_PROVEN,PARTIAL_REPLAY_ONLY,NO
2026-08-12,HITS05,132,RETAINED,RETAINED_IN_MANIFEST,RETAINED,DERIVABLE_FROM_VALUES,ABSENT,NOT_CRYPTOGRAPHICALLY_PROVEN,PARTIAL_REPLAY_ONLY,NO
2026-08-12,HITS15_UNDER,28,RETAINED,RETAINED_IN_MANIFEST,RETAINED,DERIVABLE_FROM_VALUES,ABSENT,NOT_CRYPTOGRAPHICALLY_PROVEN,PARTIAL_REPLAY_ONLY,NO
2026-08-13,HITS05,55,RETAINED,RETAINED_IN_MANIFEST,RETAINED,DERIVABLE_FROM_VALUES,ABSENT,NOT_CRYPTOGRAPHICALLY_PROVEN,PARTIAL_REPLAY_ONLY,NO
2026-08-13,HITS15_UNDER,2,RETAINED,RETAINED_IN_MANIFEST,RETAINED,DERIVABLE_FROM_VALUES,ABSENT,NOT_CRYPTOGRAPHICALLY_PROVEN,PARTIAL_REPLAY_ONLY,NO
