date,lane,retained_prediction_candidates,prediction_timestamp,latest_prediction_timestamp,scheduled_start_present,strict_pregame_rows,timing_class,proof
2026-08-03,HITS05,158,2026-08-03T12:41:34.447462+00:00,2026-08-03T23:39:52.021126+00:00,True,158,STRICT_PREGAME_PROVEN,generated_at_utc < game_time row-by-row
2026-08-03,HITS15_UNDER,20,2026-08-03T12:41:34.447462+00:00,2026-08-03T23:39:52.021126+00:00,True,20,STRICT_PREGAME_PROVEN,generated_at_utc < game_time row-by-row
2026-08-04,HITS05,0,,,False,0,TIMING_UNRESOLVED,feature artifact has date and run contract but no exact state timestamp
2026-08-04,HITS15_UNDER,0,,,False,0,TIMING_UNRESOLVED,feature artifact has date and run contract but no exact state timestamp
2026-08-05,HITS05,0,,,False,0,TIMING_UNRESOLVED,feature artifact has date and run contract but no exact state timestamp
2026-08-05,HITS15_UNDER,0,,,False,0,TIMING_UNRESOLVED,feature artifact has date and run contract but no exact state timestamp
2026-08-06,HITS05,0,,,False,0,TIMING_UNRESOLVED,feature artifact has date and run contract but no exact state timestamp
2026-08-06,HITS15_UNDER,0,,,False,0,TIMING_UNRESOLVED,feature artifact has date and run contract but no exact state timestamp
2026-08-07,HITS05,0,,,False,0,TIMING_UNRESOLVED,feature artifact has date and run contract but no exact state timestamp
2026-08-07,HITS15_UNDER,0,,,False,0,TIMING_UNRESOLVED,feature artifact has date and run contract but no exact state timestamp
2026-08-08,HITS05,0,,,False,0,TIMING_UNRESOLVED,feature artifact has date and run contract but no exact state timestamp
2026-08-08,HITS15_UNDER,0,,,False,0,TIMING_UNRESOLVED,feature artifact has date and run contract but no exact state timestamp
2026-08-09,HITS05,0,,,False,0,TIMING_UNRESOLVED,feature artifact has date and run contract but no exact state timestamp
2026-08-09,HITS15_UNDER,0,,,False,0,TIMING_UNRESOLVED,feature artifact has date and run contract but no exact state timestamp
2026-08-10,HITS05,0,,,False,0,TIMING_UNRESOLVED,feature artifact has date and run contract but no exact state timestamp
2026-08-10,HITS15_UNDER,0,,,False,0,TIMING_UNRESOLVED,feature artifact has date and run contract but no exact state timestamp
2026-08-11,HITS05,0,,,False,0,TIMING_UNRESOLVED,feature artifact has date and run contract but no exact state timestamp
2026-08-11,HITS15_UNDER,0,,,False,0,TIMING_UNRESOLVED,feature artifact has date and run contract but no exact state timestamp
2026-08-12,HITS05,0,,,False,0,TIMING_UNRESOLVED,feature artifact has date and run contract but no exact state timestamp
2026-08-12,HITS15_UNDER,0,,,False,0,TIMING_UNRESOLVED,feature artifact has date and run contract but no exact state timestamp
2026-08-13,HITS05,0,,,False,0,TIMING_UNRESOLVED,feature artifact has date and run contract but no exact state timestamp
2026-08-13,HITS15_UNDER,0,,,False,0,TIMING_UNRESOLVED,feature artifact has date and run contract but no exact state timestamp
