probability_bin,rows,mean_predicted_probability,observed_1plus_hit_rate,calibration_gap_predicted_minus_observed,brier
<35%,0,,,,
35-39.99%,54,0.3903617835523265,0.5740740740740741,-0.1837122905217476,0.27940962014066933
40-44.99%,156,0.4331249749940223,0.4807692307692308,-0.04764425577520848,0.25093600784112313
45-49.99%,380,0.47517178972349233,0.5210526315789473,-0.04588084185545499,0.25154655712441026
50-54.99%,521,0.525278738520117,0.5758157389635317,-0.05053700044341469,0.24636085917618222
55-59.99%,507,0.5676812131840714,0.5700197238658777,-0.0023385106818063495,0.24524231913564387
60-64.99%,667,0.6197312192598063,0.6206896551724138,-0.0009584359126074693,0.2344084451044121
65-69.99%,171,0.6713093219271018,0.5906432748538012,0.0806660470733006,0.24800848086495497
70-74.99%,26,0.7090031077111176,0.6153846153846154,0.09361849232650221,0.24645592593123686
>=75%,1,0.759531869021303,1.0,-0.24046813097869701,0.05782492201638778
