date,lane,source_path,source_sha256,run_observations,unique_identities,run_tags,first_prediction_timestamp,last_prediction_timestamp,tier_a_rows,tier_b_rows,semantic_model_id,model_sha256,feature_contract_sha256,original_probability_source
2026-08-03,HITS_0_5,backend/mlb/exports/prospective_lineage/2026-08-03/prediction_lineage_ledger.csv,30cb74db99d6240ed987b3e3d7f877919436d8221e518c385ab80c25d300dfa8,103,103,local_daily_20260803T233005Z,2026-08-03T23:30:26.031962+00:00,2026-08-03T23:30:26.031962+00:00,103,0,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,2b5cadbae4c7d1d34bae90822730200f48992514551461e793de06e17dfe8d76,PROSPECTIVE_LINEAGE
2026-08-03,HITS_1_5_UNDER,backend/mlb/exports/prospective_lineage/2026-08-03/prediction_lineage_ledger.csv,30cb74db99d6240ed987b3e3d7f877919436d8221e518c385ab80c25d300dfa8,19,19,local_daily_20260803T233005Z,2026-08-03T23:30:26.031962+00:00,2026-08-03T23:30:26.031962+00:00,19,0,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,2b5cadbae4c7d1d34bae90822730200f48992514551461e793de06e17dfe8d76,PROSPECTIVE_LINEAGE
2026-08-04,HITS_0_5,backend/mlb/exports/prospective_lineage/2026-08-04/prediction_lineage_ledger.csv,9393e6b308ea4ca3534309c76ef7453d9814736deda385d7e1f1598c4e7587e6,1391,276,local_daily_20260804T103133Z|local_daily_20260804T123001Z|local_daily_20260804T163002Z|local_daily_20260804T180005Z|local_daily_20260804T200002Z|local_daily_20260804T233004Z,2026-08-04T10:31:33.873293+00:00,2026-08-04T23:30:24.751574+00:00,1391,0,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,2b5cadbae4c7d1d34bae90822730200f48992514551461e793de06e17dfe8d76,PROSPECTIVE_LINEAGE
2026-08-04,HITS_1_5_UNDER,backend/mlb/exports/prospective_lineage/2026-08-04/prediction_lineage_ledger.csv,9393e6b308ea4ca3534309c76ef7453d9814736deda385d7e1f1598c4e7587e6,181,42,local_daily_20260804T103133Z|local_daily_20260804T123001Z|local_daily_20260804T163002Z|local_daily_20260804T180005Z|local_daily_20260804T200002Z|local_daily_20260804T233004Z,2026-08-04T10:31:33.873293+00:00,2026-08-04T23:30:24.751574+00:00,181,0,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,2b5cadbae4c7d1d34bae90822730200f48992514551461e793de06e17dfe8d76,PROSPECTIVE_LINEAGE
2026-08-05,HITS_0_5,backend/mlb/exports/prospective_lineage/2026-08-05/prediction_lineage_ledger.csv,1e538783b71b0f72bf2169ce1ec6adf7cfa1522d05b8f806ffa5e763728fdef1,1413,288,local_daily_20260805T103116Z|local_daily_20260805T123001Z|local_daily_20260805T163003Z|local_daily_20260805T180004Z|local_daily_20260805T200004Z|local_daily_20260805T233004Z|local_daily_20260806T000504Z|local_daily_20260806T004504Z|local_daily_20260806T012000Z,2026-08-05T10:31:16.888672+00:00,2026-08-06T01:20:24.111041+00:00,1413,0,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,2b5cadbae4c7d1d34bae90822730200f48992514551461e793de06e17dfe8d76,PROSPECTIVE_LINEAGE
2026-08-05,HITS_1_5_UNDER,backend/mlb/exports/prospective_lineage/2026-08-05/prediction_lineage_ledger.csv,1e538783b71b0f72bf2169ce1ec6adf7cfa1522d05b8f806ffa5e763728fdef1,152,38,local_daily_20260805T103116Z|local_daily_20260805T123001Z|local_daily_20260805T163003Z|local_daily_20260805T180004Z|local_daily_20260805T200004Z|local_daily_20260805T233004Z|local_daily_20260806T000504Z|local_daily_20260806T004504Z|local_daily_20260806T012000Z,2026-08-05T10:31:16.888672+00:00,2026-08-06T01:20:24.111041+00:00,152,0,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,2b5cadbae4c7d1d34bae90822730200f48992514551461e793de06e17dfe8d76,PROSPECTIVE_LINEAGE
2026-08-06,HITS_0_5,backend/mlb/exports/prospective_lineage/2026-08-06/prediction_lineage_ledger.csv,b8914783625894cb370665a53a05f909596ecfc7917f2b37f49e715bda34c2d6,846,216,local_daily_20260806T103051Z|local_daily_20260806T123003Z|local_daily_20260806T163005Z|local_daily_20260806T180004Z|local_daily_20260806T200004Z|local_daily_20260806T233005Z,2026-08-06T10:30:51.948527+00:00,2026-08-06T23:30:34.161119+00:00,846,0,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,2b5cadbae4c7d1d34bae90822730200f48992514551461e793de06e17dfe8d76,PROSPECTIVE_LINEAGE
2026-08-06,HITS_1_5_UNDER,backend/mlb/exports/prospective_lineage/2026-08-06/prediction_lineage_ledger.csv,b8914783625894cb370665a53a05f909596ecfc7917f2b37f49e715bda34c2d6,132,34,local_daily_20260806T103051Z|local_daily_20260806T123003Z|local_daily_20260806T163005Z|local_daily_20260806T180004Z|local_daily_20260806T200004Z|local_daily_20260806T233005Z,2026-08-06T10:30:51.948527+00:00,2026-08-06T23:30:34.161119+00:00,132,0,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,2b5cadbae4c7d1d34bae90822730200f48992514551461e793de06e17dfe8d76,PROSPECTIVE_LINEAGE
2026-08-07,HITS_0_5,backend/mlb/exports/prospective_lineage/2026-08-07/prediction_lineage_ledger.csv,bcac35aee86067bb5e9d6a6aa17759c3e2822f6e96b88bcb9bad0f283c8951ed,1441,288,local_daily_20260807T103113Z|local_daily_20260807T123001Z|local_daily_20260807T153001Z|local_daily_20260807T180004Z|local_daily_20260807T200001Z|local_daily_20260807T233003Z,2026-08-07T10:31:13.307210+00:00,2026-08-07T23:30:34.392384+00:00,1441,0,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,2b5cadbae4c7d1d34bae90822730200f48992514551461e793de06e17dfe8d76,PROSPECTIVE_LINEAGE
2026-08-07,HITS_1_5_UNDER,backend/mlb/exports/prospective_lineage/2026-08-07/prediction_lineage_ledger.csv,bcac35aee86067bb5e9d6a6aa17759c3e2822f6e96b88bcb9bad0f283c8951ed,163,35,local_daily_20260807T103113Z|local_daily_20260807T123001Z|local_daily_20260807T153001Z|local_daily_20260807T180004Z|local_daily_20260807T200001Z|local_daily_20260807T233003Z,2026-08-07T10:31:13.307210+00:00,2026-08-07T23:30:34.392384+00:00,163,0,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,2b5cadbae4c7d1d34bae90822730200f48992514551461e793de06e17dfe8d76,PROSPECTIVE_LINEAGE
2026-08-08,HITS_0_5,backend/mlb/exports/prospective_lineage/2026-08-08/prediction_lineage_ledger.csv,eaf6503d66dc49e0a3d315595eabafb45c6474d41de95bb71a3e481a7f95709b,1319,281,local_daily_20260808T103119Z|local_daily_20260808T123001Z|local_daily_20260808T153001Z|local_daily_20260808T180004Z|local_daily_20260808T200002Z|local_daily_20260808T233002Z,2026-08-08T10:31:19.400134+00:00,2026-08-08T23:30:37.769038+00:00,1319,0,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,2b5cadbae4c7d1d34bae90822730200f48992514551461e793de06e17dfe8d76,PROSPECTIVE_LINEAGE
2026-08-08,HITS_1_5_UNDER,backend/mlb/exports/prospective_lineage/2026-08-08/prediction_lineage_ledger.csv,eaf6503d66dc49e0a3d315595eabafb45c6474d41de95bb71a3e481a7f95709b,148,34,local_daily_20260808T103119Z|local_daily_20260808T123001Z|local_daily_20260808T153001Z|local_daily_20260808T180004Z|local_daily_20260808T200002Z|local_daily_20260808T233002Z,2026-08-08T10:31:19.400134+00:00,2026-08-08T23:30:37.769038+00:00,148,0,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,2b5cadbae4c7d1d34bae90822730200f48992514551461e793de06e17dfe8d76,PROSPECTIVE_LINEAGE
