lane,game_date,game_pk,player_id,player_name,line,retained_original_p_over,retained_original_selected_side,replayed_p_over,replayed_selected_side,absolute_difference,exact_match,numerically_equivalent,selected_side_agreement,source_feature_artifact,feature_state_status,anchor_classification
HITS05,2026-08-03,822867,691740,Daniel Susac,0.5,0.517089,over,0.5159148773480081,over,0.0011741226519919046,False,False,True,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-03/hits_features.csv,PARTIAL_STATE_ONLY,REPLAY_MISMATCH
HITS05,2026-08-03,823757,664040,Brandon Lowe,0.5,0.74013,over,0.7400942900156793,over,3.57099843206754e-05,False,False,True,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-03/hits_features.csv,PARTIAL_STATE_ONLY,REPLAY_MISMATCH
HITS05,2026-08-03,823520,663757,Trent Grisham,0.5,0.497978,under,0.49934243928116323,under,0.0013644392811632544,False,False,True,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-03/hits_features.csv,PARTIAL_STATE_ONLY,REPLAY_MISMATCH
HITS05,2026-08-03,823520,682987,Spencer Jones,0.5,0.554306,over,0.5537289025610415,over,0.0005770974389585071,False,False,True,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-03/hits_features.csv,PARTIAL_STATE_ONLY,REPLAY_MISMATCH
HITS05,2026-08-03,823520,641857,Ryan McMahon,0.5,0.450816,under,0.45409147097624686,under,0.0032754709762468637,False,False,True,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-03/hits_features.csv,PARTIAL_STATE_ONLY,REPLAY_MISMATCH
HITS05,2026-08-03,823520,502671,Paul Goldschmidt,0.5,0.519711,over,,,,False,False,False,,STATE_UNAVAILABLE,REPLAY_MISMATCH
HITS05,2026-08-03,823520,701675,Nathan Church,0.5,0.510376,over,0.5106869938079893,over,0.00031099380798926823,False,False,True,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-03/hits_features.csv,PARTIAL_STATE_ONLY,REPLAY_MISMATCH
HITS05,2026-08-03,823520,691026,Masyn Winn,0.5,0.608833,over,0.6108210016961972,over,0.0019880016961972835,False,False,True,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-03/hits_features.csv,PARTIAL_STATE_ONLY,REPLAY_MISMATCH
HITS05,2026-08-03,823757,668930,Brice Turang,0.5,0.68606,over,0.6882104954199195,over,0.002150495419919518,False,False,True,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-03/hits_features.csv,PARTIAL_STATE_ONLY,REPLAY_MISMATCH
HITS05,2026-08-03,823520,663457,Lars Nootbaar,0.5,0.545284,over,,,,False,False,False,,STATE_UNAVAILABLE,REPLAY_MISMATCH
HITS05,2026-08-03,823520,676609,José Caballero,0.5,0.559734,over,0.5611684351391316,over,0.0014344351391316623,False,False,True,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-03/hits_features.csv,PARTIAL_STATE_ONLY,REPLAY_MISMATCH
HITS05,2026-08-03,823520,691023,Jordan Walker,0.5,0.633,over,0.6408701271251658,over,0.007870127125165771,False,False,True,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-03/hits_features.csv,PARTIAL_STATE_ONLY,REPLAY_MISMATCH
HITS05,2026-08-03,823520,699625,Jimmy Crooks,0.5,0.460605,under,0.46152402463005526,under,0.0009190246300552762,False,False,True,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-03/hits_features.csv,PARTIAL_STATE_ONLY,REPLAY_MISMATCH
HITS05,2026-08-03,823520,665862,Jazz Chisholm Jr.,0.5,0.539102,over,0.5487663451741024,over,0.009664345174102418,False,False,True,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-03/hits_features.csv,PARTIAL_STATE_ONLY,REPLAY_MISMATCH
HITS05,2026-08-03,823520,691176,Jasson Domínguez,0.5,0.613611,over,0.6183110312447523,over,0.004700031244752267,False,False,True,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-03/hits_features.csv,PARTIAL_STATE_ONLY,REPLAY_MISMATCH
HITS05,2026-08-03,823520,802139,JJ Wetherholt,0.5,0.546817,over,0.54655259869422,over,0.0002644013057799821,False,False,True,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-03/hits_features.csv,PARTIAL_STATE_ONLY,REPLAY_MISMATCH
HITS05,2026-08-03,823520,671056,Iván Herrera,0.5,0.569055,over,0.5684070674012134,over,0.0006479325987865936,False,False,True,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-03/hits_features.csv,PARTIAL_STATE_ONLY,REPLAY_MISMATCH
HITS05,2026-08-03,823520,665877,José Fermín,0.5,0.500226,over,0.5033576427007742,over,0.003131642700774262,False,False,True,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-03/hits_features.csv,PARTIAL_STATE_ONLY,REPLAY_MISMATCH
HITS05,2026-08-03,823757,668804,Bryan Reynolds,0.5,0.633626,over,0.6390869776936058,over,0.005460977693605762,False,False,True,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-03/hits_features.csv,PARTIAL_STATE_ONLY,REPLAY_MISMATCH
HITS05,2026-08-03,823757,592885,Christian Yelich,0.5,0.589007,over,0.5919231876439155,over,0.0029161876439155465,False,False,True,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-03/hits_features.csv,PARTIAL_STATE_ONLY,REPLAY_MISMATCH
HITS05,2026-08-03,823757,806198,Cooper Pratt,0.5,0.663863,over,,,,False,False,False,,STATE_UNAVAILABLE,REPLAY_MISMATCH
HITS05,2026-08-03,824160,672386,Alejandro Kirk,0.5,0.642536,over,0.6439102133803902,over,0.0013742133803902323,False,False,True,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-03/hits_features.csv,PARTIAL_STATE_ONLY,REPLAY_MISMATCH
HITS05,2026-08-03,823757,661388,William Contreras,0.5,0.592424,over,0.5970960109502387,over,0.004672010950238725,False,False,True,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-03/hits_features.csv,PARTIAL_STATE_ONLY,REPLAY_MISMATCH
HITS05,2026-08-03,823757,687462,Spencer Horwitz,0.5,0.638357,over,0.6436680526541125,over,0.00531105265411258,False,False,True,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-03/hits_features.csv,PARTIAL_STATE_ONLY,REPLAY_MISMATCH
HITS05,2026-08-03,823757,693304,Nick Gonzales,0.5,0.707866,over,0.7109483858783833,over,0.003082385878383276,False,False,True,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-03/hits_features.csv,PARTIAL_STATE_ONLY,REPLAY_MISMATCH
HITS05,2026-08-03,823757,542303,Marcell Ozuna,0.5,0.544288,over,0.5496130565529241,over,0.005325056552924146,False,False,True,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-03/hits_features.csv,PARTIAL_STATE_ONLY,REPLAY_MISMATCH
HITS05,2026-08-03,823757,800325,Luis Lara,0.5,0.566251,over,,,,False,False,False,,STATE_UNAVAILABLE,REPLAY_MISMATCH
HITS05,2026-08-03,823757,691373,Jhostynxon Garcia,0.5,0.480442,under,0.49155952545566806,under,0.011117525455668076,False,False,True,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-03/hits_features.csv,PARTIAL_STATE_ONLY,REPLAY_MISMATCH
HITS15_UNDER,2026-08-03,823757,663968,Jake Mangum,1.5,0.413551,under,0.4145888396460055,under,0.0010378396460055117,False,False,True,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-03/hits_features.csv,PARTIAL_STATE_ONLY,REPLAY_MISMATCH
HITS05,2026-08-03,823757,663968,Jake Mangum,0.5,0.669628,over,,,,False,False,False,,STATE_UNAVAILABLE,REPLAY_MISMATCH
HITS05,2026-08-03,823757,641343,Jake Bauers,0.5,0.699979,over,0.700730537583298,over,0.0007515375832979343,False,False,True,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-03/hits_features.csv,PARTIAL_STATE_ONLY,REPLAY_MISMATCH
HITS05,2026-08-03,823757,694378,Jacob Gonzalez,0.5,0.490152,under,0.4892192130917324,under,0.000932786908267591,False,False,True,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-03/hits_features.csv,PARTIAL_STATE_ONLY,REPLAY_MISMATCH
HITS05,2026-08-03,823757,694192,Jackson Chourio,0.5,0.662551,over,0.6668526172039405,over,0.004301617203940511,False,False,True,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-03/hits_features.csv,PARTIAL_STATE_ONLY,REPLAY_MISMATCH
HITS05,2026-08-03,823757,680779,Henry Davis,0.5,0.56042,over,0.5637618374366588,over,0.0033418374366587233,False,False,True,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-03/hits_features.csv,PARTIAL_STATE_ONLY,REPLAY_MISMATCH
HITS05,2026-08-03,823757,669003,Garrett Mitchell,0.5,0.538094,over,0.5428087144786846,over,0.004714714478684656,False,False,True,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-03/hits_features.csv,PARTIAL_STATE_ONLY,REPLAY_MISMATCH
HITS05,2026-08-03,823757,699013,Esmerlyn Valdez,0.5,0.52798,over,0.5295417076217631,over,0.0015617076217631087,False,False,True,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-03/hits_features.csv,PARTIAL_STATE_ONLY,REPLAY_MISMATCH
HITS05,2026-08-03,823757,682848,Endy Rodríguez,0.5,0.56867,over,0.5755534023142708,over,0.006883402314270759,False,False,True,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-03/hits_features.csv,PARTIAL_STATE_ONLY,REPLAY_MISMATCH
HITS05,2026-08-03,823757,666152,David Hamilton,0.5,0.571316,over,0.5792733786195597,over,0.007957378619559696,False,False,True,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-03/hits_features.csv,PARTIAL_STATE_ONLY,REPLAY_MISMATCH
HITS05,2026-08-03,823520,691458,Blaze Jordan,0.5,0.552609,over,,,,False,False,False,,STATE_UNAVAILABLE,REPLAY_MISMATCH
HITS05,2026-08-03,823520,700250,Ben Rice,0.5,0.570379,over,,,,False,False,False,,STATE_UNAVAILABLE,REPLAY_MISMATCH
HITS05,2026-08-03,823520,669224,Austin Wells,0.5,0.472998,under,0.4780832639522388,under,0.00508526395223885,False,False,True,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-03/hits_features.csv,PARTIAL_STATE_ONLY,REPLAY_MISMATCH
HITS05,2026-08-03,823520,676475,Alec Burleson,0.5,0.634308,over,,,,False,False,False,,STATE_UNAVAILABLE,REPLAY_MISMATCH
HITS05,2026-08-03,822867,642715,Willy Adames,0.5,0.565492,over,0.5814059539400012,over,0.01591395394000117,False,False,True,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-03/hits_features.csv,PARTIAL_STATE_ONLY,REPLAY_MISMATCH
HITS05,2026-08-03,822867,646240,Rafael Devers,0.5,0.659349,over,0.6623756681066064,over,0.003026668106606456,False,False,True,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-03/hits_features.csv,PARTIAL_STATE_ONLY,REPLAY_MISMATCH
HITS05,2026-08-03,822867,678545,Osleivis Basabe,0.5,0.567995,over,0.5624076400097016,over,0.005587359990298468,False,False,True,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-03/hits_features.csv,PARTIAL_STATE_ONLY,REPLAY_MISMATCH
HITS05,2026-08-03,822867,670032,Nicky Lopez,0.5,0.447093,under,0.44709282425607993,under,1.7574392008334883e-07,False,True,True,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-03/hits_features.csv,PARTIAL_STATE_ONLY,REPLAY_MISMATCH
HITS05,2026-08-03,822867,808982,Jung Hoo Lee,0.5,0.65348,over,0.6541344503090498,over,0.0006544503090498699,False,False,True,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-03/hits_features.csv,PARTIAL_STATE_ONLY,REPLAY_MISMATCH
HITS05,2026-08-03,822867,592626,Joc Pederson,0.5,0.603688,over,0.6063604956965287,over,0.0026724956965287205,False,False,True,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-03/hits_features.csv,PARTIAL_STATE_ONLY,REPLAY_MISMATCH
HITS05,2026-08-03,822867,669394,Jake Burger,0.5,0.57587,over,0.5790914496447486,over,0.003221449644748575,False,False,True,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-03/hits_features.csv,PARTIAL_STATE_ONLY,REPLAY_MISMATCH
HITS05,2026-08-03,822867,671218,Heliot Ramos,0.5,0.626597,over,,,,False,False,False,,STATE_UNAVAILABLE,REPLAY_MISMATCH
HITS05,2026-08-03,822867,687529,Grant McCray,0.5,0.441937,under,0.44262088607929756,under,0.0006838860792975354,False,False,True,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-03/hits_features.csv,PARTIAL_STATE_ONLY,REPLAY_MISMATCH
HITS05,2026-08-03,822867,642851,Austin Wynns,0.5,0.422443,under,0.42965219057249887,under,0.007209190572498858,False,False,True,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-03/hits_features.csv,PARTIAL_STATE_ONLY,REPLAY_MISMATCH
HITS05,2026-08-03,822867,607043,Brandon Nimmo,0.5,0.643565,over,0.6523667150916995,over,0.008801715091699469,False,False,True,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-03/hits_features.csv,PARTIAL_STATE_ONLY,REPLAY_MISMATCH
HITS05,2026-08-03,822867,805811,Bryce Eldridge,0.5,0.58242,over,,,,False,False,False,,STATE_UNAVAILABLE,REPLAY_MISMATCH
HITS05,2026-08-03,822867,683766,Christian Koss,0.5,0.440584,under,0.4407572605464502,under,0.00017326054645022682,False,False,True,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-03/hits_features.csv,PARTIAL_STATE_ONLY,REPLAY_MISMATCH
HITS05,2026-08-03,822867,608369,Corey Seager,0.5,0.538102,over,0.5533191052454961,over,0.015217105245496132,False,False,True,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-03/hits_features.csv,PARTIAL_STATE_ONLY,REPLAY_MISMATCH
HITS05,2026-08-03,822867,677649,Ezequiel Duran,0.5,0.569522,over,0.5666876779096749,over,0.002834322090325081,False,False,True,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-03/hits_features.csv,PARTIAL_STATE_ONLY,REPLAY_MISMATCH
HITS05,2026-08-03,822867,701852,Drew Cavanaugh,0.5,0.50709,over,0.5077888786992478,over,0.0006988786992477847,False,False,True,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-03/hits_features.csv,PARTIAL_STATE_ONLY,REPLAY_MISMATCH
HITS05,2026-08-03,822867,687551,Drew Gilbert,0.5,0.565287,over,0.5719133657586217,over,0.006626365758621744,False,False,True,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-03/hits_features.csv,PARTIAL_STATE_ONLY,REPLAY_MISMATCH
HITS05,2026-08-03,822867,694671,Wyatt Langford,0.5,0.576156,over,0.589515278966841,over,0.01335927896684097,False,False,True,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-03/hits_features.csv,PARTIAL_STATE_ONLY,REPLAY_MISMATCH
HITS05,2026-08-03,824160,665926,Andrés Giménez,0.5,0.548667,over,0.5434651553453524,over,0.005201844654647569,False,False,True,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-03/hits_features.csv,PARTIAL_STATE_ONLY,REPLAY_MISMATCH
HITS05,2026-08-03,823431,664761,Alec Bohm,0.5,0.620236,over,,,,False,False,False,,STATE_UNAVAILABLE,REPLAY_MISMATCH
HITS05,2026-08-03,823431,691781,Brady House,0.5,0.565605,over,,,,False,False,False,,STATE_UNAVAILABLE,REPLAY_MISMATCH
HITS15_UNDER,2026-08-03,823431,607208,Trea Turner,1.5,0.491254,under,,,,False,False,False,,STATE_UNAVAILABLE,REPLAY_MISMATCH
HITS05,2026-08-03,823431,683083,Nasim Nuñez,0.5,0.533957,over,0.5424789456280683,over,0.008521945628068295,False,False,True,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-03/hits_features.csv,PARTIAL_STATE_ONLY,REPLAY_MISMATCH
HITS05,2026-08-03,823431,656941,Kyle Schwarber,0.5,0.610161,over,0.5925784751191998,over,0.017582524880800143,False,False,True,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-03/hits_features.csv,PARTIAL_STATE_ONLY,REPLAY_MISMATCH
HITS05,2026-08-03,823431,660688,Keibert Ruiz,0.5,0.492668,under,,,,False,False,False,,STATE_UNAVAILABLE,REPLAY_MISMATCH
