date,lane,candidate_rows,exact_state_rows,replayed_rows,tier_c_accepted,excluded,exclusion_reason
2026-08-04,HITS05,226,0,0,0,226,AUG3_ANCHOR_REPLAY_MISMATCH_GATE_FAILED; timing unresolved
2026-08-04,HITS15_UNDER,39,0,0,0,39,AUG3_ANCHOR_REPLAY_MISMATCH_GATE_FAILED; timing unresolved
2026-08-05,HITS05,47,0,0,0,47,AUG3_ANCHOR_REPLAY_MISMATCH_GATE_FAILED; timing unresolved
2026-08-05,HITS15_UNDER,10,0,0,0,10,AUG3_ANCHOR_REPLAY_MISMATCH_GATE_FAILED; timing unresolved
2026-08-06,HITS05,72,0,0,0,72,AUG3_ANCHOR_REPLAY_MISMATCH_GATE_FAILED; timing unresolved
2026-08-06,HITS15_UNDER,15,0,0,0,15,AUG3_ANCHOR_REPLAY_MISMATCH_GATE_FAILED; timing unresolved
2026-08-07,HITS05,245,0,0,0,245,AUG3_ANCHOR_REPLAY_MISMATCH_GATE_FAILED; timing unresolved
2026-08-07,HITS15_UNDER,25,0,0,0,25,AUG3_ANCHOR_REPLAY_MISMATCH_GATE_FAILED; timing unresolved
2026-08-08,HITS05,181,0,0,0,181,AUG3_ANCHOR_REPLAY_MISMATCH_GATE_FAILED; timing unresolved
2026-08-08,HITS15_UNDER,29,0,0,0,29,AUG3_ANCHOR_REPLAY_MISMATCH_GATE_FAILED; timing unresolved
2026-08-09,HITS05,17,0,0,0,17,AUG3_ANCHOR_REPLAY_MISMATCH_GATE_FAILED; timing unresolved
2026-08-09,HITS15_UNDER,2,0,0,0,2,AUG3_ANCHOR_REPLAY_MISMATCH_GATE_FAILED; timing unresolved
2026-08-10,HITS05,163,0,0,0,163,AUG3_ANCHOR_REPLAY_MISMATCH_GATE_FAILED; timing unresolved
2026-08-10,HITS15_UNDER,21,0,0,0,21,AUG3_ANCHOR_REPLAY_MISMATCH_GATE_FAILED; timing unresolved
2026-08-11,HITS05,225,0,0,0,225,AUG3_ANCHOR_REPLAY_MISMATCH_GATE_FAILED; timing unresolved
2026-08-11,HITS15_UNDER,39,0,0,0,39,AUG3_ANCHOR_REPLAY_MISMATCH_GATE_FAILED; timing unresolved
2026-08-12,HITS05,132,0,0,0,132,AUG3_ANCHOR_REPLAY_MISMATCH_GATE_FAILED; timing unresolved
2026-08-12,HITS15_UNDER,28,0,0,0,28,AUG3_ANCHOR_REPLAY_MISMATCH_GATE_FAILED; timing unresolved
2026-08-13,HITS05,55,0,0,0,55,AUG3_ANCHOR_REPLAY_MISMATCH_GATE_FAILED; timing unresolved
2026-08-13,HITS15_UNDER,2,0,0,0,2,AUG3_ANCHOR_REPLAY_MISMATCH_GATE_FAILED; timing unresolved
