date,lane,source_run_tag,source_artifact,source_sha256,generated_timestamp,scheduled_game_start_data,candidate_player_identities,required_feature_columns,missing_required_columns,fallback_state,source_before_first_pitch,state_classification
2026-08-04,HITS05,UNRESOLVED_OVERWRITTEN_DAILY_DIAGNOSTIC,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-04/hits_features.csv,70572dbebaa53abdd0d4e3559d067a809b13518f1a80024665b2d4bd892460f4,ABSENT,ABSENT_IN_FEATURE_ARTIFACT,226,73,6,DERIVABLE_FROM_VALUES_BUT_NOT_TIMESTAMP_BOUND,UNRESOLVED,PARTIAL_STATE_ONLY
2026-08-04,HITS15_UNDER,UNRESOLVED_OVERWRITTEN_DAILY_DIAGNOSTIC,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-04/hits_features.csv,70572dbebaa53abdd0d4e3559d067a809b13518f1a80024665b2d4bd892460f4,ABSENT,ABSENT_IN_FEATURE_ARTIFACT,39,73,6,DERIVABLE_FROM_VALUES_BUT_NOT_TIMESTAMP_BOUND,UNRESOLVED,PARTIAL_STATE_ONLY
2026-08-05,HITS05,UNRESOLVED_OVERWRITTEN_DAILY_DIAGNOSTIC,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-05/hits_features.csv,f5a05251d59cc99c04daf6a8b913a8c4e3c5799e01d34e1ac7fdd03113405dc6,ABSENT,ABSENT_IN_FEATURE_ARTIFACT,47,73,6,DERIVABLE_FROM_VALUES_BUT_NOT_TIMESTAMP_BOUND,UNRESOLVED,PARTIAL_STATE_ONLY
2026-08-05,HITS15_UNDER,UNRESOLVED_OVERWRITTEN_DAILY_DIAGNOSTIC,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-05/hits_features.csv,f5a05251d59cc99c04daf6a8b913a8c4e3c5799e01d34e1ac7fdd03113405dc6,ABSENT,ABSENT_IN_FEATURE_ARTIFACT,10,73,6,DERIVABLE_FROM_VALUES_BUT_NOT_TIMESTAMP_BOUND,UNRESOLVED,PARTIAL_STATE_ONLY
2026-08-06,HITS05,UNRESOLVED_OVERWRITTEN_DAILY_DIAGNOSTIC,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-06/hits_features.csv,7c728fe7cd1d0fcdf9c253f45b6b63105af782a2b33867361f5e912a014d61ff,ABSENT,ABSENT_IN_FEATURE_ARTIFACT,72,73,6,DERIVABLE_FROM_VALUES_BUT_NOT_TIMESTAMP_BOUND,UNRESOLVED,PARTIAL_STATE_ONLY
2026-08-06,HITS15_UNDER,UNRESOLVED_OVERWRITTEN_DAILY_DIAGNOSTIC,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-06/hits_features.csv,7c728fe7cd1d0fcdf9c253f45b6b63105af782a2b33867361f5e912a014d61ff,ABSENT,ABSENT_IN_FEATURE_ARTIFACT,15,73,6,DERIVABLE_FROM_VALUES_BUT_NOT_TIMESTAMP_BOUND,UNRESOLVED,PARTIAL_STATE_ONLY
2026-08-07,HITS05,UNRESOLVED_OVERWRITTEN_DAILY_DIAGNOSTIC,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-07/hits_features.csv,7e15b1cf8ba98ca5c62c63a3fc905cfcfaf652275fc0c76a6538dce5523a8471,ABSENT,ABSENT_IN_FEATURE_ARTIFACT,245,73,6,DERIVABLE_FROM_VALUES_BUT_NOT_TIMESTAMP_BOUND,UNRESOLVED,PARTIAL_STATE_ONLY
2026-08-07,HITS15_UNDER,UNRESOLVED_OVERWRITTEN_DAILY_DIAGNOSTIC,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-07/hits_features.csv,7e15b1cf8ba98ca5c62c63a3fc905cfcfaf652275fc0c76a6538dce5523a8471,ABSENT,ABSENT_IN_FEATURE_ARTIFACT,25,73,6,DERIVABLE_FROM_VALUES_BUT_NOT_TIMESTAMP_BOUND,UNRESOLVED,PARTIAL_STATE_ONLY
2026-08-08,HITS05,UNRESOLVED_OVERWRITTEN_DAILY_DIAGNOSTIC,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-08/hits_features.csv,f21c8e562a97a11930cff67b3f5bc0bdb40f5be6fe65459620c57ef6c0fd28de,ABSENT,ABSENT_IN_FEATURE_ARTIFACT,181,73,6,DERIVABLE_FROM_VALUES_BUT_NOT_TIMESTAMP_BOUND,UNRESOLVED,PARTIAL_STATE_ONLY
2026-08-08,HITS15_UNDER,UNRESOLVED_OVERWRITTEN_DAILY_DIAGNOSTIC,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-08/hits_features.csv,f21c8e562a97a11930cff67b3f5bc0bdb40f5be6fe65459620c57ef6c0fd28de,ABSENT,ABSENT_IN_FEATURE_ARTIFACT,29,73,6,DERIVABLE_FROM_VALUES_BUT_NOT_TIMESTAMP_BOUND,UNRESOLVED,PARTIAL_STATE_ONLY
