lane,stage,input_rows,retained,lost,retention_pct,cumulative_retention_pct
HITS_05_OVER,A_model_eligible_opportunities,18247,18247,0,1.0,1.0
HITS_05_OVER,B_betonline_hits_exists,18247,6241,12006,0.3420288266564367,0.3420288266564367
HITS_05_OVER,C_model_prediction_exists,6241,6241,0,1.0,0.3420288266564367
HITS_05_OVER,D_exact_identity_match,6241,6241,0,1.0,0.3420288266564367
HITS_05_OVER,E_valid_pregame,6241,5635,606,0.9029001762538055,0.30881788787197895
HITS_05_OVER,F_paired_price,5635,5635,0,1.0,0.30881788787197895
HITS_05_OVER,G_novig_constructible,5635,5635,0,1.0,0.30881788787197895
HITS_05_OVER,H_certified_outcome,5635,5132,503,0.9107364685004437,0.2812517126102921
HITS_05_OVER,I_final_synchronized,5132,5132,0,1.0,0.2812517126102921
HITS_05_UNDER,A_model_eligible_opportunities,4683,4683,0,1.0,1.0
HITS_05_UNDER,B_betonline_hits_exists,4683,2048,2635,0.43732650010676916,0.43732650010676916
HITS_05_UNDER,C_model_prediction_exists,2048,2048,0,1.0,0.43732650010676916
HITS_05_UNDER,D_exact_identity_match,2048,2048,0,1.0,0.43732650010676916
HITS_05_UNDER,E_valid_pregame,2048,1817,231,0.88720703125,0.3879991458466795
HITS_05_UNDER,F_paired_price,1817,1817,0,1.0,0.3879991458466795
HITS_05_UNDER,G_novig_constructible,1817,1817,0,1.0,0.3879991458466795
HITS_05_UNDER,H_certified_outcome,1817,1618,199,0.8904788112272978,0.34550501815075807
HITS_05_UNDER,I_final_synchronized,1618,1618,0,1.0,0.34550501815075807
HITS_15_OVER,A_model_eligible_opportunities,501,501,0,1.0,1.0
HITS_15_OVER,B_betonline_hits_exists,501,109,392,0.21756487025948104,0.21756487025948104
HITS_15_OVER,C_model_prediction_exists,109,109,0,1.0,0.21756487025948104
HITS_15_OVER,D_exact_identity_match,109,109,0,1.0,0.21756487025948104
HITS_15_OVER,E_valid_pregame,109,102,7,0.9357798165137615,0.20359281437125748
HITS_15_OVER,F_paired_price,102,102,0,1.0,0.20359281437125748
HITS_15_OVER,G_novig_constructible,102,102,0,1.0,0.20359281437125748
HITS_15_OVER,H_certified_outcome,102,97,5,0.9509803921568627,0.1936127744510978
HITS_15_OVER,I_final_synchronized,97,97,0,1.0,0.1936127744510978
HITS_15_UNDER,A_model_eligible_opportunities,4156,4156,0,1.0,1.0
HITS_15_UNDER,B_betonline_hits_exists,4156,855,3301,0.2057266602502406,0.2057266602502406
HITS_15_UNDER,C_model_prediction_exists,855,855,0,1.0,0.2057266602502406
HITS_15_UNDER,D_exact_identity_match,855,855,0,1.0,0.2057266602502406
HITS_15_UNDER,E_valid_pregame,855,756,99,0.8842105263157894,0.18190567853705486
HITS_15_UNDER,F_paired_price,756,756,0,1.0,0.18190567853705486
HITS_15_UNDER,G_novig_constructible,756,756,0,1.0,0.18190567853705486
HITS_15_UNDER,H_certified_outcome,756,717,39,0.9484126984126984,0.17252165543792108
HITS_15_UNDER,I_final_synchronized,717,717,0,1.0,0.17252165543792108
