date,scheduled_completed_games_retained_denominator,games_with_betonline_capture,games_with_hits_capture,games_in_synchronized,synchronized_game_coverage_pct
2026-05-08,15,15,15,15,1.0
2026-05-09,15,15,15,0,0.0
2026-05-10,15,15,15,1,0.06666666666666667
2026-05-11,6,6,6,6,1.0
2026-05-12,15,15,15,15,1.0
2026-05-13,15,15,15,13,0.8666666666666667
2026-05-14,11,11,11,4,0.36363636363636365
2026-05-15,15,15,15,15,1.0
2026-05-16,15,15,15,9,0.6
2026-05-17,15,15,15,1,0.06666666666666667
2026-05-18,14,14,14,14,1.0
2026-05-19,15,15,15,14,0.9333333333333333
2026-05-20,15,15,15,8,0.5333333333333333
2026-05-21,7,7,7,3,0.42857142857142855
2026-05-22,15,15,15,13,0.8666666666666667
2026-05-23,16,15,15,7,0.4375
2026-05-24,16,0,0,0,0.0
2026-05-25,13,0,0,0,0.0
2026-05-26,15,0,0,0,0.0
2026-05-27,15,0,0,0,0.0
2026-05-28,6,0,0,0,0.0
2026-05-29,15,0,0,0,0.0
2026-05-30,15,0,0,0,0.0
2026-05-31,15,0,0,0,0.0
2026-06-01,9,0,0,0,0.0
2026-06-02,15,0,0,0,0.0
2026-06-03,15,0,0,0,0.0
2026-06-04,9,0,0,0,0.0
2026-06-05,15,0,0,0,0.0
2026-06-06,15,0,0,0,0.0
2026-06-07,15,0,0,0,0.0
2026-06-08,8,0,0,0,0.0
2026-06-09,15,0,0,0,0.0
2026-06-10,15,0,0,0,0.0
2026-06-11,8,0,0,0,0.0
2026-06-12,15,0,0,0,0.0
2026-06-13,15,0,0,0,0.0
2026-06-14,15,0,0,0,0.0
2026-06-15,10,0,0,0,0.0
2026-06-16,15,0,0,0,0.0
2026-06-17,14,0,0,0,0.0
2026-06-18,9,0,0,0,0.0
2026-06-19,14,14,14,14,1.0
2026-06-20,14,14,14,14,1.0
2026-06-21,15,14,14,14,0.9333333333333333
2026-06-22,13,13,13,12,0.9230769230769231
2026-06-23,15,15,15,15,1.0
2026-06-24,16,16,16,16,1.0
2026-06-25,9,9,9,8,0.8888888888888888
2026-06-26,15,15,15,15,1.0
2026-06-27,15,15,15,15,1.0
2026-06-28,15,15,15,15,1.0
2026-06-29,13,13,13,13,1.0
2026-06-30,15,15,15,15,1.0
2026-07-01,14,14,14,14,1.0
2026-07-02,9,9,9,9,1.0
2026-07-03,13,13,13,13,1.0
2026-07-04,15,15,15,15,1.0
2026-07-05,15,15,15,14,0.9333333333333333
2026-07-06,8,8,8,8,1.0
2026-07-07,16,15,15,15,0.9375
2026-07-08,15,15,15,15,1.0
2026-07-09,13,13,13,13,1.0
2026-07-10,15,15,15,13,0.8666666666666667
2026-07-11,16,15,15,15,0.9375
2026-07-12,15,15,15,0,0.0
2026-07-16,1,0,0,0,0.0
2026-07-17,15,0,0,0,0.0
2026-07-18,16,0,0,0,0.0
2026-07-19,16,16,16,15,0.9375
2026-07-20,15,15,15,15,1.0
2026-07-21,15,15,15,13,0.8666666666666667
2026-07-22,17,16,16,16,0.9411764705882353
2026-07-23,5,5,5,5,1.0
2026-07-24,15,15,15,15,1.0
2026-07-25,15,15,15,15,1.0
2026-07-26,15,15,15,15,1.0
2026-07-27,12,12,12,11,0.9166666666666666
2026-07-28,16,15,15,14,0.875
2026-07-29,16,16,16,15,0.9375
2026-07-30,10,10,10,10,1.0
2026-07-31,15,15,15,15,1.0
2026-08-01,15,15,15,15,1.0
2026-08-02,15,15,15,14,0.9333333333333333
