date,provider_event_id,away_team,home_team,scheduled_start,game_pk,normalization_method,confidence_class,supporting_fields,failure_reason
2026-05-08,40150285b21b0e818a39c0940eca75d7,Houston Astros,Cincinnati Reds,2026-05-08T22:11:00Z,824522,team_date_unique,EXACT_DETERMINISTIC_RECONSTRUCTION,away=HOU;home=CIN;date=2026-05-08;start=2026-05-08T22:11:00Z;candidates=824522,
2026-05-08,0f65cc2fecae3661933682f1525e806d,Colorado Rockies,Philadelphia Phillies,2026-05-08T22:41:00Z,823466,team_date_unique,EXACT_DETERMINISTIC_RECONSTRUCTION,away=COL;home=PHI;date=2026-05-08;start=2026-05-08T22:41:00Z;candidates=823466,
2026-05-08,76929aa734500b152f347bbddf390165,Athletics,Baltimore Orioles,2026-05-08T23:06:00Z,824846,team_date_unique,EXACT_DETERMINISTIC_RECONSTRUCTION,away=OAK;home=BAL;date=2026-05-08;start=2026-05-08T23:06:00Z;candidates=824846,
2026-05-08,92c3e303601373eee3d37fbb858409af,Los Angeles Angels,Toronto Blue Jays,2026-05-08T23:08:00Z,822822,team_date_unique,EXACT_DETERMINISTIC_RECONSTRUCTION,away=LAA;home=TOR;date=2026-05-08;start=2026-05-08T23:08:00Z;candidates=822822,
2026-05-08,739421696ed76f3cffaf12c7db22c763,Tampa Bay Rays,Boston Red Sox,2026-05-08T23:11:00Z,824768,team_date_unique,EXACT_DETERMINISTIC_RECONSTRUCTION,away=TB;home=BOS;date=2026-05-08;start=2026-05-08T23:11:00Z;candidates=824768,
2026-05-08,ad17b69505e6a7e7c4c06dc7f6b91ac6,Washington Nationals,Miami Marlins,2026-05-08T23:11:00Z,823871,team_date_unique,EXACT_DETERMINISTIC_RECONSTRUCTION,away=WSH;home=MIA;date=2026-05-08;start=2026-05-08T23:11:00Z;candidates=823871,
2026-05-08,d0f880a5482c5178286681a63048600f,Minnesota Twins,Cleveland Guardians,2026-05-08T23:16:00Z,824443,team_date_unique,EXACT_DETERMINISTIC_RECONSTRUCTION,away=MIN;home=CLE;date=2026-05-08;start=2026-05-08T23:16:00Z;candidates=824443,
2026-05-08,79db8c5227deae699a7b9c123aaf6d3f,Seattle Mariners,Chicago White Sox,2026-05-08T23:41:00Z,824607,team_date_unique,EXACT_DETERMINISTIC_RECONSTRUCTION,away=SEA;home=CWS;date=2026-05-08;start=2026-05-08T23:41:00Z;candidates=824607,
2026-05-08,6aa50c59681975bb7beff37ab4f46bb5,Detroit Tigers,Kansas City Royals,2026-05-08T23:41:00Z,824116,team_date_unique,EXACT_DETERMINISTIC_RECONSTRUCTION,away=DET;home=KC;date=2026-05-08;start=2026-05-08T23:41:00Z;candidates=824116,
2026-05-08,3d859a4947ba1d62e82366cdebc59d78,New York Yankees,Milwaukee Brewers,2026-05-08T23:41:00Z,823794,team_date_unique,EXACT_DETERMINISTIC_RECONSTRUCTION,away=NYY;home=MIL;date=2026-05-08;start=2026-05-08T23:41:00Z;candidates=823794,
2026-05-08,d03f5e26dab4993281752b81c816fe4b,Chicago Cubs,Texas Rangers,2026-05-09T00:06:00Z,822904,team_date_unique,EXACT_DETERMINISTIC_RECONSTRUCTION,away=CHC;home=TEX;date=2026-05-08;start=2026-05-09T00:06:00Z;candidates=822904,
2026-05-08,bb96582815dabc42936e794a19c74217,New York Mets,Arizona Diamondbacks,2026-05-09T01:41:00Z,825088,team_date_unique,EXACT_DETERMINISTIC_RECONSTRUCTION,away=NYM;home=ARI;date=2026-05-08;start=2026-05-09T01:41:00Z;candidates=825088,
2026-05-08,24892453777c4e3f95360ff530e09902,St. Louis Cardinals,San Diego Padres,2026-05-09T01:46:00Z,823303,team_date_unique,EXACT_DETERMINISTIC_RECONSTRUCTION,away=STL;home=SD;date=2026-05-08;start=2026-05-09T01:46:00Z;candidates=823303,
2026-05-08,9faf187505c47b0f5009cb7d7da5200c,Atlanta Braves,Los Angeles Dodgers,2026-05-09T02:11:00Z,823957,team_date_unique,EXACT_DETERMINISTIC_RECONSTRUCTION,away=ATL;home=LAD;date=2026-05-08;start=2026-05-09T02:11:00Z;candidates=823957,
2026-05-08,41bf6d60c7067923fe9afa91c708aaa6,Pittsburgh Pirates,San Francisco Giants,2026-05-09T02:16:00Z,823225,team_date_unique,EXACT_DETERMINISTIC_RECONSTRUCTION,away=PIT;home=SF;date=2026-05-08;start=2026-05-09T02:16:00Z;candidates=823225,
2026-05-09,6dce302dd60dfcdf0b0f75b0c7526958,Los Angeles Angels,Toronto Blue Jays,2026-05-09T19:08:00Z,822820,team_date_unique,EXACT_DETERMINISTIC_RECONSTRUCTION,away=LAA;home=TOR;date=2026-05-09;start=2026-05-09T19:08:00Z;candidates=822820,
2026-05-09,177cdddf981aae461d064d643293c5f4,Athletics,Baltimore Orioles,2026-05-09T20:06:00Z,824847,team_date_unique,EXACT_DETERMINISTIC_RECONSTRUCTION,away=OAK;home=BAL;date=2026-05-09;start=2026-05-09T20:06:00Z;candidates=824847,
2026-05-09,a1e4d36a83b260dbab61a4f965b6abea,Tampa Bay Rays,Boston Red Sox,2026-05-09T20:11:00Z,824766,team_date_unique,EXACT_DETERMINISTIC_RECONSTRUCTION,away=TB;home=BOS;date=2026-05-09;start=2026-05-09T20:11:00Z;candidates=824766,
2026-05-09,4cb11bc70bb01deb01ccc535f614ba59,Houston Astros,Cincinnati Reds,2026-05-09T20:11:00Z,824523,team_date_unique,EXACT_DETERMINISTIC_RECONSTRUCTION,away=HOU;home=CIN;date=2026-05-09;start=2026-05-09T20:11:00Z;candidates=824523,
2026-05-09,07fcb9aa4b08eff491227a6d817d08a7,Washington Nationals,Miami Marlins,2026-05-09T20:11:00Z,823869,team_date_unique,EXACT_DETERMINISTIC_RECONSTRUCTION,away=WSH;home=MIA;date=2026-05-09;start=2026-05-09T20:11:00Z;candidates=823869,
2026-05-09,3d093f3fea09b2f77b6ccf058d9061ea,Colorado Rockies,Philadelphia Phillies,2026-05-09T22:06:00Z,823468,team_date_unique,EXACT_DETERMINISTIC_RECONSTRUCTION,away=COL;home=PHI;date=2026-05-09;start=2026-05-09T22:06:00Z;candidates=823468,
2026-05-09,9fd60ef171dd7d6b753c07fe32aa37f6,Minnesota Twins,Cleveland Guardians,2026-05-09T22:11:00Z,824444,team_date_unique,EXACT_DETERMINISTIC_RECONSTRUCTION,away=MIN;home=CLE;date=2026-05-09;start=2026-05-09T22:11:00Z;candidates=824444,
2026-05-09,0d5568f7e3f7c4adba722775d2895494,Chicago Cubs,Texas Rangers,2026-05-09T23:06:00Z,822905,team_date_unique,EXACT_DETERMINISTIC_RECONSTRUCTION,away=CHC;home=TEX;date=2026-05-09;start=2026-05-09T23:06:00Z;candidates=822905,
2026-05-09,6c26284a3ba72def6e7e0c9db9893fc8,Seattle Mariners,Chicago White Sox,2026-05-09T23:11:00Z,824606,team_date_unique,EXACT_DETERMINISTIC_RECONSTRUCTION,away=SEA;home=CWS;date=2026-05-09;start=2026-05-09T23:11:00Z;candidates=824606,
2026-05-09,dd95987c051582f99dbe07d5424b2a03,Detroit Tigers,Kansas City Royals,2026-05-09T23:11:00Z,824115,team_date_unique,EXACT_DETERMINISTIC_RECONSTRUCTION,away=DET;home=KC;date=2026-05-09;start=2026-05-09T23:11:00Z;candidates=824115,
2026-05-09,bf49c6516b601ce34a25f268cb202250,New York Yankees,Milwaukee Brewers,2026-05-09T23:11:00Z,823792,team_date_unique,EXACT_DETERMINISTIC_RECONSTRUCTION,away=NYY;home=MIL;date=2026-05-09;start=2026-05-09T23:11:00Z;candidates=823792,
2026-05-09,5e7a25171efa4aba6c2670c7d93dbde3,New York Mets,Arizona Diamondbacks,2026-05-09T23:16:00Z,825089,team_date_unique,EXACT_DETERMINISTIC_RECONSTRUCTION,away=NYM;home=ARI;date=2026-05-09;start=2026-05-09T23:16:00Z;candidates=825089,
2026-05-09,863ff6f33ea468e7a6bac4be2626648a,St. Louis Cardinals,San Diego Padres,2026-05-09T23:16:00Z,823304,team_date_unique,EXACT_DETERMINISTIC_RECONSTRUCTION,away=STL;home=SD;date=2026-05-09;start=2026-05-09T23:16:00Z;candidates=823304,
2026-05-09,54ac0c67d3a1921cfede4e125572526e,Pittsburgh Pirates,San Francisco Giants,2026-05-10T01:06:00Z,823224,team_date_unique,EXACT_DETERMINISTIC_RECONSTRUCTION,away=PIT;home=SF;date=2026-05-09;start=2026-05-10T01:06:00Z;candidates=823224,
2026-05-09,4e0f5d6412cdfd2b0ade4fee11642753,Atlanta Braves,Los Angeles Dodgers,2026-05-10T01:11:00Z,823955,team_date_unique,EXACT_DETERMINISTIC_RECONSTRUCTION,away=ATL;home=LAD;date=2026-05-09;start=2026-05-10T01:11:00Z;candidates=823955,
2026-05-10,2f41717fcce350329e8ac46662be3d88,Washington Nationals,Miami Marlins,2026-05-10T16:16:00Z,823868,team_date_unique,EXACT_DETERMINISTIC_RECONSTRUCTION,away=WSH;home=MIA;date=2026-05-10;start=2026-05-10T16:16:00Z;candidates=823868,
