lane,separation_band,rows,model_brier,betonline_brier,model_log_loss,betonline_log_loss,model_closer,betonline_closer,mean_signed_separation,observed_win_rate
HITS_05_OVER,<2.5pp,2152,0.24107088888358272,0.24060618199769895,0.6751972953844539,0.6742107571180016,1056,1096,-0.0008407359850467995,0.5868959107806692
HITS_05_OVER,2.5-4.99pp,2002,0.24432332560174028,0.24345909286037284,0.6820728619986062,0.6802024539909695,976,1026,-0.004711607947058901,0.5784215784215784
HITS_05_OVER,5.0-7.49pp,1559,0.24067589000866582,0.2385167656407802,0.674488995735998,0.669853624404826,738,821,-0.011368023252826728,0.5952533675432969
HITS_05_OVER,7.5-9.99pp,1137,0.24557863123429025,0.238311179132887,0.6849971371284209,0.6695833276881258,504,633,-0.023005337944240707,0.592788038698329
HITS_05_OVER,10.0-14.99pp,1256,0.2522089676650884,0.24383384246655085,0.6993574468483826,0.6814991478236321,543,713,-0.05103554536505224,0.5947452229299363
HITS_05_OVER,>=15pp,370,0.25496592302561083,0.2243056340286618,0.7063403085103848,0.6416467752225942,133,237,-0.0834942717011046,0.6405405405405405
HITS_05_UNDER,<2.5pp,236,0.2489098441651229,0.24914321869639983,0.69093332006335,0.6914110829220518,123,113,0.005664669150581087,0.5296610169491526
HITS_05_UNDER,2.5-4.99pp,258,0.24947309325174036,0.24825968397522202,0.6921276264540142,0.6896417026823973,128,130,0.027974354355466212,0.5232558139534884
HITS_05_UNDER,5.0-7.49pp,379,0.24694632449384168,0.2474800441100248,0.6869569160623895,0.6880611658859925,191,188,0.05792880232362876,0.5197889182058048
HITS_05_UNDER,7.5-9.99pp,417,0.251357239488506,0.24896324309842005,0.6958954275178174,0.6911185684792401,196,221,0.08609106301798496,0.46522781774580335
HITS_05_UNDER,10.0-14.99pp,781,0.2500086974131011,0.24641166603948478,0.6931057976425747,0.6859043327718599,357,424,0.12463790648779152,0.45710627400768244
HITS_05_UNDER,>=15pp,525,0.2569666233911296,0.24111518371578428,0.7071874761246045,0.6751898604311366,222,303,0.1768723296119961,0.4228571428571429
HITS_15_OVER,<2.5pp,0,,,,,0,0,,
HITS_15_OVER,2.5-4.99pp,1,0.253307870209,0.22785628753946852,0.6997630170239757,0.6488297573753827,0,1,0.025954054582904174,0.0
HITS_15_OVER,5.0-7.49pp,1,0.24263308608399997,0.30200470741011287,0.6784122744596979,0.7975071958841882,1,0,0.05697154954954964,1.0
HITS_15_OVER,7.5-9.99pp,7,0.26846760337328573,0.20836337102788752,0.7301531971959844,0.6093741585016235,1,6,0.08898768773220603,0.14285714285714285
HITS_15_OVER,10.0-14.99pp,24,0.25097855339683334,0.28457467301029993,0.6951159810878478,0.764062407998867,14,10,0.13268653230894642,0.5833333333333334
HITS_15_OVER,>=15pp,131,0.2741014100679314,0.19407032560043644,0.7417907595020642,0.5781099301524003,32,99,0.20073372243309284,0.24427480916030533
HITS_15_UNDER,<2.5pp,195,0.21233317048569234,0.2111179658782785,0.6160024520343282,0.6131204706781979,91,104,-0.00016344642120877712,0.6923076923076923
HITS_15_UNDER,2.5-4.99pp,236,0.20832072115838138,0.2077367383689137,0.607488518505142,0.6064840741791098,100,136,-0.018582653860873072,0.711864406779661
HITS_15_UNDER,5.0-7.49pp,213,0.22413057868343664,0.21986554968779548,0.6408839654787977,0.6312917640216921,83,130,-0.03633513444159959,0.6666666666666666
HITS_15_UNDER,7.5-9.99pp,198,0.20989611385150003,0.1985978131896068,0.6114880534957327,0.5875628137782375,64,134,-0.07087787110285154,0.7424242424242424
HITS_15_UNDER,10.0-14.99pp,352,0.2301973012490767,0.2152953071456002,0.6537730344737299,0.6229409785197809,114,238,-0.11511808080426836,0.6960227272727273
HITS_15_UNDER,>=15pp,188,0.23705215244173405,0.21223876490841573,0.6670341067434854,0.615701792502363,58,130,-0.17853973415030158,0.6968085106382979
