lane,signed_group,rows,mean_gap,model_brier,betonline_brier,observed_rate,calibration_gap
HITS_05_OVER,MODEL_MORE_CONFIDENT,3419,0.05271963490519542,0.24986449820984818,0.24259995624201264,0.5703422053231939,-0.07729848347470025
HITS_05_OVER,MODEL_LESS_CONFIDENT,5057,-0.06532799637974465,0.24108791823144315,0.2388365031067302,0.6045086019379079,0.03426547874233732
HITS_05_OVER,MODEL_MORE_CONFIDENT_GE10PP,454,0.1324196967239113,0.276249308112141,0.24950836482154312,0.5374449339207048,-0.16099243612334802
HITS_05_OVER,MODEL_LESS_CONFIDENT_GE10PP,1172,-0.13234818073427482,0.2437667824436135,0.2354706425764609,0.6313993174061433,0.09604876023890785
HITS_05_OVER,MODEL_MORE_CONFIDENT_GE15PP,92,0.1795729777610941,0.2969720566891739,0.2455988595592844,0.5,-0.2217654347826088
HITS_05_OVER,MODEL_LESS_CONFIDENT_GE15PP,278,-0.17055249814183224,0.24106461260457557,0.21725895507608164,0.6870503597122302,0.16130741726618691
HITS_05_UNDER,MODEL_MORE_CONFIDENT,2463,0.1055333940458238,0.25108259748401707,0.2462222659346242,0.4697523345513601,-0.06503676410881032
HITS_05_UNDER,MODEL_LESS_CONFIDENT,133,-0.024957419693221437,0.25009954502730825,0.24848833682964794,0.5488721804511278,0.028706390977443652
HITS_05_UNDER,MODEL_MORE_CONFIDENT_GE10PP,1306,0.1456356646349641,0.25280571972433,0.24428252881135099,0.4433384379785605,-0.09738645558958653
HITS_05_UNDER,MODEL_LESS_CONFIDENT_GE10PP,0,,,,,
HITS_05_UNDER,MODEL_MORE_CONFIDENT_GE15PP,525,0.1768723296119961,0.2569666233911296,0.24111518371578428,0.4228571428571429,-0.12944346476190466
HITS_05_UNDER,MODEL_LESS_CONFIDENT_GE15PP,0,,,,,
HITS_15_OVER,MODEL_MORE_CONFIDENT,164,0.1840636209293157,0.2701584401239573,0.20878908169542176,0.2926829268292683,-0.2434922256097562
HITS_15_OVER,MODEL_LESS_CONFIDENT,0,,,,,
HITS_15_OVER,MODEL_MORE_CONFIDENT_GE10PP,155,0.19019738331709596,0.27052109677692254,0.20808390197357657,0.2967741935483871,-0.24055530967741934
HITS_15_OVER,MODEL_LESS_CONFIDENT_GE10PP,0,,,,,
HITS_15_OVER,MODEL_MORE_CONFIDENT_GE15PP,131,0.20073372243309284,0.2741014100679314,0.19407032560043644,0.24427480916030533,-0.2971194732824428
HITS_15_OVER,MODEL_LESS_CONFIDENT_GE15PP,0,,,,,
HITS_15_UNDER,MODEL_MORE_CONFIDENT,236,0.0395618359602792,0.20910775897247882,0.21277390484363654,0.7033898305084746,0.009687733050847358
HITS_15_UNDER,MODEL_LESS_CONFIDENT,1146,-0.09564939635926016,0.22348492654578794,0.21101029412853903,0.699825479930192,0.10540826788830715
HITS_15_UNDER,MODEL_MORE_CONFIDENT_GE10PP,14,0.11711332741401216,0.19151000670614285,0.2188408788823071,0.7857142857142857,0.042638000000000065
HITS_15_UNDER,MODEL_LESS_CONFIDENT_GE10PP,526,-0.14396696016569455,0.23367702396356463,0.21410848595756868,0.6939163498098859,0.13612993726235745
HITS_15_UNDER,MODEL_MORE_CONFIDENT_GE15PP,1,0.16495506154679007,0.08118624462399998,0.20239836814720524,1.0,0.28493199999999996
HITS_15_UNDER,MODEL_LESS_CONFIDENT_GE15PP,187,-0.1803766047155267,0.23788565997017114,0.21229138735098904,0.6951871657754011,0.15776848128342258
