component,line,reference,reachable_scoring_call,classification
/Users/jerrystrain/Projects/proppadia/Makefile,40,export MLB_ENABLE_UBO5_TOTAL_BASES_ESTABLISHED_ROUTE ?= 0,False,HISTORICAL_EVIDENCE_RETAIN_READ_ONLY
/Users/jerrystrain/Projects/proppadia/Makefile,41,MLB_UBO5_TB15_ARTIFACT ?= artifacts/analysis/model_development/mlb_ubo5_total_bases_15_artifact_live_contract_recovery/2026-07-23/original_ubo5_total_bases_multinomial.joblib,False,HISTORICAL_EVIDENCE_RETAIN_READ_ONLY
/Users/jerrystrain/Projects/proppadia/Makefile,42,MLB_UBO5_TB15_NORMALIZED_ROOT ?= artifacts/analysis/model_development/mlb_ubo5_total_bases_15_live_platform_certification/2026-07-23/normalized_refresh,False,HISTORICAL_EVIDENCE_RETAIN_READ_ONLY
/Users/jerrystrain/Projects/proppadia/Makefile,43,MLB_UBO5_TB15_CANDIDATE_LEDGER ?= artifacts/analysis/mlb/production_routes/ubo5_tb15/$(MLB_DATE)/candidate_ledger.csv,False,HISTORICAL_EVIDENCE_RETAIN_READ_ONLY
/Users/jerrystrain/Projects/proppadia/Makefile,44,MLB_UBO5_TB15_LINEUP_DIR ?= artifacts/analysis/mlb/production_routes/ubo5_tb15/$(MLB_DATE)/governed_lineup_capture,False,HISTORICAL_EVIDENCE_RETAIN_READ_ONLY
/Users/jerrystrain/Projects/proppadia/Makefile,45,MLB_UBO5_TB15_LINEUP_LEDGER ?= $(MLB_UBO5_TB15_LINEUP_DIR)/pregame_lineup_player_rows_$(MLB_DATE)_ubo5_tb15_daily.csv,False,HISTORICAL_EVIDENCE_RETAIN_READ_ONLY
/Users/jerrystrain/Projects/proppadia/Makefile,46,MLB_UBO5_TB15_PRODUCER_STATUS ?= artifacts/analysis/mlb/production_routes/ubo5_tb15/$(MLB_DATE)/feature_ledger_producer_status.json,False,HISTORICAL_EVIDENCE_RETAIN_READ_ONLY
/Users/jerrystrain/Projects/proppadia/Makefile,47,MLB_UBO5_TB15_FEATURE_LEDGER ?= artifacts/analysis/mlb/production_routes/ubo5_tb15/$(MLB_DATE)/feature_ledger.parquet,False,HISTORICAL_EVIDENCE_RETAIN_READ_ONLY
/Users/jerrystrain/Projects/proppadia/Makefile,48,MLB_UBO5_TB15_ROUTE_LEDGER ?= artifacts/analysis/mlb/production_routes/ubo5_tb15/$(MLB_DATE)/route_ledger.csv,False,HISTORICAL_EVIDENCE_RETAIN_READ_ONLY
/Users/jerrystrain/Projects/proppadia/Makefile,49,MLB_UBO5_TB15_HEALTH_JSON ?= artifacts/analysis/mlb/production_routes/ubo5_tb15/$(MLB_DATE)/route_health.json,False,HISTORICAL_EVIDENCE_RETAIN_READ_ONLY
/Users/jerrystrain/Projects/proppadia/Makefile,50,MLB_UBO5_HISTORY_NORMALIZED_ROOT ?= artifacts/analysis/model_development/mlb_ubo5_total_bases_15_live_platform_certification/2026-07-23/normalized_refresh,False,HISTORICAL_EVIDENCE_RETAIN_READ_ONLY
/Users/jerrystrain/Projects/proppadia/Makefile,51,MLB_UBO5_TB15_BOARD_ROOT ?= backend/mlb/exports/model_v2/ubo5_tb15,False,HISTORICAL_EVIDENCE_RETAIN_READ_ONLY
/Users/jerrystrain/Projects/proppadia/Makefile,52,MLB_UBO5_TB15_BOARD_MD ?= $(MLB_UBO5_TB15_BOARD_ROOT)/$(MLB_DATE)/ubo5_tb15_board_$(MLB_DATE).md,False,HISTORICAL_EVIDENCE_RETAIN_READ_ONLY
/Users/jerrystrain/Projects/proppadia/Makefile,53,MLB_UBO5_TB15_BOARD_CSV ?= $(MLB_UBO5_TB15_BOARD_ROOT)/$(MLB_DATE)/ubo5_tb15_board_$(MLB_DATE).csv,False,HISTORICAL_EVIDENCE_RETAIN_READ_ONLY
/Users/jerrystrain/Projects/proppadia/Makefile,54,MLB_UBO5_TB15_BOARD_RUN_TAG ?=,False,HISTORICAL_EVIDENCE_RETAIN_READ_ONLY
/Users/jerrystrain/Projects/proppadia/Makefile,55,MLB_UBO5_TB15_PROVISIONAL_RUN_TAG ?=,False,HISTORICAL_EVIDENCE_RETAIN_READ_ONLY
/Users/jerrystrain/Projects/proppadia/Makefile,56,MLB_UBO5_TB15_PRELINEUP_CONFIRMATION_RUN_TAG ?=,False,HISTORICAL_EVIDENCE_RETAIN_READ_ONLY
/Users/jerrystrain/Projects/proppadia/Makefile,57,MLB_UBO5_TB15_CLOSEOUT_RECONCILE_CSV ?= artifacts/analysis/mlb/execution_vs_model/$(MLB_DATE)/reconcile_rows.csv,False,HISTORICAL_EVIDENCE_RETAIN_READ_ONLY
/Users/jerrystrain/Projects/proppadia/Makefile,1964,"@if [ ""$${MLB_ENABLE_UBO5_TOTAL_BASES_ESTABLISHED_ROUTE:-0}"" != ""0"" ]; then echo ""UBO5_DECOMMISSIONED: old enable flag ignored; incumbent remains active""; fi",False,HISTORICAL_EVIDENCE_RETAIN_READ_ONLY
/Users/jerrystrain/Projects/proppadia/Makefile,1968,.PHONY: mlb-ubo5-tb15-board mlb-ubo5-tb15-refresh,False,HISTORICAL_EVIDENCE_RETAIN_READ_ONLY
/Users/jerrystrain/Projects/proppadia/Makefile,1969,mlb-ubo5-tb15-board:,False,HISTORICAL_EVIDENCE_RETAIN_READ_ONLY
/Users/jerrystrain/Projects/proppadia/Makefile,1973,mlb-ubo5-tb15-refresh:,False,HISTORICAL_EVIDENCE_RETAIN_READ_ONLY
/Users/jerrystrain/Projects/proppadia/Makefile,1976,.PHONY: mlb-ubo5-history-refresh mlb-ubo5-history-backfill,False,HISTORICAL_EVIDENCE_RETAIN_READ_ONLY
/Users/jerrystrain/Projects/proppadia/Makefile,1977,mlb-ubo5-history-refresh:,False,HISTORICAL_EVIDENCE_RETAIN_READ_ONLY
/Users/jerrystrain/Projects/proppadia/Makefile,1980,mlb-ubo5-history-backfill:,False,HISTORICAL_EVIDENCE_RETAIN_READ_ONLY
/Users/jerrystrain/Projects/proppadia/Makefile,1984,.PHONY: mlb-ubo5-tb15-provisional-tracker,False,HISTORICAL_EVIDENCE_RETAIN_READ_ONLY
/Users/jerrystrain/Projects/proppadia/Makefile,1985,mlb-ubo5-tb15-provisional-tracker:,False,HISTORICAL_EVIDENCE_RETAIN_READ_ONLY
/Users/jerrystrain/Projects/proppadia/Makefile,1989,.PHONY: mlb-ubo5-tb15-prelineup-confirmation,False,HISTORICAL_EVIDENCE_RETAIN_READ_ONLY
/Users/jerrystrain/Projects/proppadia/Makefile,1990,mlb-ubo5-tb15-prelineup-confirmation:,False,HISTORICAL_EVIDENCE_RETAIN_READ_ONLY
/Users/jerrystrain/Projects/proppadia/Makefile,1995,.PHONY: mlb-ubo5-tb15-run-spine-backfill,False,HISTORICAL_EVIDENCE_RETAIN_READ_ONLY
/Users/jerrystrain/Projects/proppadia/Makefile,1996,mlb-ubo5-tb15-run-spine-backfill:,False,HISTORICAL_EVIDENCE_RETAIN_READ_ONLY
/Users/jerrystrain/Projects/proppadia/Makefile,1999,.PHONY: mlb-ubo5-tb15-ever-positive-closeout,False,PENDING_CLOSEOUT_FINALIZER_RETAIN_TEMPORARILY
/Users/jerrystrain/Projects/proppadia/Makefile,2000,mlb-ubo5-tb15-ever-positive-closeout:,False,PENDING_CLOSEOUT_FINALIZER_RETAIN_TEMPORARILY
/Users/jerrystrain/Projects/proppadia/Makefile,2001,"$(VENV_PY) -m backend.mlb.scripts.build_mlb_ubo5_tb15_broad_population_closeout --date ""$(MLB_DATE)"" --population ever_positive --output-root ""$(MLB_UBO5_TB15_BOARD_ROOT)"" --reconcile-csv ""$(MLB_UBO5_TB15_CLOSEOUT_RECONCILE_CSV)""",False,PENDING_CLOSEOUT_FINALIZER_RETAIN_TEMPORARILY
/Users/jerrystrain/Projects/proppadia/Makefile,2003,.PHONY: mlb-ubo5-tb15-final-pregame-closeout,False,PENDING_CLOSEOUT_FINALIZER_RETAIN_TEMPORARILY
/Users/jerrystrain/Projects/proppadia/Makefile,2004,mlb-ubo5-tb15-final-pregame-closeout:,False,PENDING_CLOSEOUT_FINALIZER_RETAIN_TEMPORARILY
/Users/jerrystrain/Projects/proppadia/Makefile,2005,"$(VENV_PY) -m backend.mlb.scripts.build_mlb_ubo5_tb15_broad_population_closeout --date ""$(MLB_DATE)"" --population final_pregame --output-root ""$(MLB_UBO5_TB15_BOARD_ROOT)"" --reconcile-csv ""$(MLB_UBO5_TB15_CLOSEOUT_RECONCILE_CSV)""",False,PENDING_CLOSEOUT_FINALIZER_RETAIN_TEMPORARILY
