slate_date,game_pk,batter_mlb_id,player_name,game,result,total_bases,resolution_reason_code,outcome_source,outcome_source_path,resolution_method,source_revision,resolved_timestamp_utc
2026-07-27,822705,543807,George Springer,TOR @ WSH,LOSS,1,MARKET_BACKED_RECONCILIATION,RECONCILE_ROWS,artifacts/analysis/mlb/execution_vs_model/2026-07-27/reconcile_rows.csv,EXACT_ID_MARKET_BACKED,CERTIFIED_COMPLETE_RUN_SNAPSHOTS,2026-07-28T18:16:16.049118+00:00
2026-07-27,822705,660688,Keibert Ruiz,TOR @ WSH,LOSS,0,MARKET_BACKED_RECONCILIATION,RECONCILE_ROWS,artifacts/analysis/mlb/execution_vs_model/2026-07-27/reconcile_rows.csv,EXACT_ID_MARKET_BACKED,CERTIFIED_COMPLETE_RUN_SNAPSHOTS,2026-07-28T18:16:16.049231+00:00
2026-07-27,822705,662139,Daulton Varsho,TOR @ WSH,LOSS,0,MARKET_BACKED_RECONCILIATION,RECONCILE_ROWS,artifacts/analysis/mlb/execution_vs_model/2026-07-27/reconcile_rows.csv,EXACT_ID_MARKET_BACKED,CERTIFIED_COMPLETE_RUN_SNAPSHOTS,2026-07-28T18:16:16.049283+00:00
2026-07-27,822705,664770,Nathan Lukes,TOR @ WSH,LOSS,0,MARKET_BACKED_RECONCILIATION,RECONCILE_ROWS,artifacts/analysis/mlb/execution_vs_model/2026-07-27/reconcile_rows.csv,EXACT_ID_MARKET_BACKED,CERTIFIED_COMPLETE_RUN_SNAPSHOTS,2026-07-28T18:16:16.049307+00:00
2026-07-27,822705,665489,Vladimir Guerrero Jr.,TOR @ WSH,WIN,2,MARKET_BACKED_RECONCILIATION,RECONCILE_ROWS,artifacts/analysis/mlb/execution_vs_model/2026-07-27/reconcile_rows.csv,EXACT_ID_MARKET_BACKED,CERTIFIED_COMPLETE_RUN_SNAPSHOTS,2026-07-28T18:16:16.049325+00:00
2026-07-27,822705,671277,Luis García Jr.,TOR @ WSH,WIN,3,EXACT_ID_PLAYER_STATS_FALLBACK,MLB_PLAYER_STATS,mlb.player_stats,EXACT_ID_OFFICIAL_PLAYER_GAME,CERTIFIED_COMPLETE_RUN_SNAPSHOTS,2026-07-28T18:16:16.049345+00:00
2026-07-27,822705,672386,Alejandro Kirk,TOR @ WSH,LOSS,0,MARKET_BACKED_RECONCILIATION,RECONCILE_ROWS,artifacts/analysis/mlb/execution_vs_model/2026-07-27/reconcile_rows.csv,EXACT_ID_MARKET_BACKED,CERTIFIED_COMPLETE_RUN_SNAPSHOTS,2026-07-28T18:16:16.049371+00:00
2026-07-27,822705,672960,Kazuma Okamoto,TOR @ WSH,LOSS,1,MARKET_BACKED_RECONCILIATION,RECONCILE_ROWS,artifacts/analysis/mlb/execution_vs_model/2026-07-27/reconcile_rows.csv,EXACT_ID_MARKET_BACKED,CERTIFIED_COMPLETE_RUN_SNAPSHOTS,2026-07-28T18:16:16.049401+00:00
2026-07-27,822705,676391,Ernie Clement,TOR @ WSH,WIN,2,MARKET_BACKED_RECONCILIATION,RECONCILE_ROWS,artifacts/analysis/mlb/execution_vs_model/2026-07-27/reconcile_rows.csv,EXACT_ID_MARKET_BACKED,CERTIFIED_COMPLETE_RUN_SNAPSHOTS,2026-07-28T18:16:16.049419+00:00
2026-07-27,822705,677588,José Tena,TOR @ WSH,LOSS,0,EXACT_ID_PLAYER_STATS_FALLBACK,MLB_PLAYER_STATS,mlb.player_stats,EXACT_ID_OFFICIAL_PLAYER_GAME,CERTIFIED_COMPLETE_RUN_SNAPSHOTS,2026-07-28T18:16:16.049437+00:00
2026-07-27,822705,682928,CJ Abrams,TOR @ WSH,LOSS,0,MARKET_BACKED_RECONCILIATION,RECONCILE_ROWS,artifacts/analysis/mlb/execution_vs_model/2026-07-27/reconcile_rows.csv,EXACT_ID_MARKET_BACKED,CERTIFIED_COMPLETE_RUN_SNAPSHOTS,2026-07-28T18:16:16.049456+00:00
2026-07-27,822705,686611,Dylan Crews,TOR @ WSH,WIN,2,MARKET_BACKED_RECONCILIATION,RECONCILE_ROWS,artifacts/analysis/mlb/execution_vs_model/2026-07-27/reconcile_rows.csv,EXACT_ID_MARKET_BACKED,CERTIFIED_COMPLETE_RUN_SNAPSHOTS,2026-07-28T18:16:16.049472+00:00
2026-07-27,822705,691781,Brady House,TOR @ WSH,NO_ACTION,,NOT_IN_FINAL_LINEUP_NO_ACTION,OFFICIAL_LINEUP_AND_PARTICIPATION,STATSAPI_REFRESH,NO_ACTION_FINAL_LINEUP,CERTIFIED_COMPLETE_RUN_SNAPSHOTS,2026-07-28T18:16:16.049489+00:00
2026-07-27,822705,695578,James Wood,TOR @ WSH,LOSS,1,MARKET_BACKED_RECONCILIATION,RECONCILE_ROWS,artifacts/analysis/mlb/execution_vs_model/2026-07-27/reconcile_rows.csv,EXACT_ID_MARKET_BACKED,CERTIFIED_COMPLETE_RUN_SNAPSHOTS,2026-07-28T18:16:16.049504+00:00
2026-07-27,822705,695734,Daylen Lile,TOR @ WSH,LOSS,1,MARKET_BACKED_RECONCILIATION,RECONCILE_ROWS,artifacts/analysis/mlb/execution_vs_model/2026-07-27/reconcile_rows.csv,EXACT_ID_MARKET_BACKED,CERTIFIED_COMPLETE_RUN_SNAPSHOTS,2026-07-28T18:16:16.049522+00:00
2026-07-27,822868,592626,Joc Pederson,SEA @ TEX,WIN,8,MARKET_BACKED_RECONCILIATION,RECONCILE_ROWS,artifacts/analysis/mlb/execution_vs_model/2026-07-27/reconcile_rows.csv,EXACT_ID_MARKET_BACKED,CERTIFIED_COMPLETE_RUN_SNAPSHOTS,2026-07-28T18:16:16.049538+00:00
