date,game_pk,official_batter_participants,local_batter_rows,missing_official_participants,extra_local_rows,duplicate_local_rows,stat_mismatches,classification,affected_identity_detail
2026-07-29,823837,20,20,0,0,0,0,COMPLETE_EXACT,
2026-07-29,823351,18,18,0,0,0,0,COMPLETE_EXACT,
2026-07-29,822702,21,21,0,0,0,0,COMPLETE_EXACT,
2026-07-29,824242,26,26,0,0,0,0,COMPLETE_EXACT,
2026-07-29,823596,21,21,0,0,0,0,COMPLETE_EXACT,
2026-07-29,823598,19,19,0,0,0,0,COMPLETE_EXACT,
2026-07-29,823192,24,24,0,0,0,1,STAT_MISMATCH,recurrence_affected_identity_details.csv
2026-07-29,823273,21,21,0,0,0,0,COMPLETE_EXACT,
2026-07-29,822947,22,22,0,0,0,0,COMPLETE_EXACT,
2026-07-29,824487,21,21,0,0,0,0,COMPLETE_EXACT,
2026-07-29,823677,20,20,0,0,0,0,COMPLETE_EXACT,
2026-07-29,824567,25,25,0,0,0,0,COMPLETE_EXACT,
2026-07-29,823022,23,23,0,0,0,0,COMPLETE_EXACT,
2026-07-29,824002,20,20,0,0,0,0,COMPLETE_EXACT,
2026-07-29,824973,24,24,0,0,0,0,COMPLETE_EXACT,
2026-07-29,823924,21,21,0,0,0,0,COMPLETE_EXACT,
2026-07-30,822946,21,21,0,0,0,0,COMPLETE_EXACT,
2026-07-30,823674,22,22,0,0,0,0,COMPLETE_EXACT,
2026-07-30,824568,25,25,0,0,0,0,COMPLETE_EXACT,
2026-07-30,823023,26,26,0,0,0,0,COMPLETE_EXACT,
2026-07-30,824488,20,20,0,0,0,0,COMPLETE_EXACT,
2026-07-30,823595,22,22,0,0,0,0,COMPLETE_EXACT,
2026-07-30,824894,22,22,0,0,0,0,COMPLETE_EXACT,
2026-07-30,824974,22,22,0,0,0,0,COMPLETE_EXACT,
2026-07-30,823271,20,20,0,0,0,0,COMPLETE_EXACT,
2026-07-30,823921,19,19,0,0,0,0,COMPLETE_EXACT,
2026-07-31,824651,20,20,0,0,0,0,COMPLETE_EXACT,
2026-07-31,824486,21,21,0,0,0,0,COMPLETE_EXACT,
2026-07-31,824809,21,21,0,0,0,0,COMPLETE_EXACT,
2026-07-31,822782,21,21,0,0,0,0,COMPLETE_EXACT,
2026-07-31,824407,22,22,0,0,0,0,COMPLETE_EXACT,
2026-07-31,822945,19,19,0,0,0,0,COMPLETE_EXACT,
2026-07-31,823593,20,20,0,0,0,0,COMPLETE_EXACT,
2026-07-31,824892,20,20,0,0,0,0,COMPLETE_EXACT,
2026-07-31,824164,25,25,0,0,0,1,STAT_MISMATCH,recurrence_affected_identity_details.csv
2026-07-31,824325,20,20,0,0,0,0,COMPLETE_EXACT,
2026-07-31,823999,21,21,0,0,0,0,COMPLETE_EXACT,
2026-07-31,824975,25,25,0,0,0,0,COMPLETE_EXACT,
2026-07-31,823272,21,21,0,0,0,0,COMPLETE_EXACT,
2026-07-31,823922,21,21,0,0,0,0,COMPLETE_EXACT,
2026-07-31,823111,22,22,0,0,0,0,COMPLETE_EXACT,
2026-08-02,824807,19,19,0,0,0,0,COMPLETE_EXACT,
2026-08-02,824891,21,21,0,0,0,0,COMPLETE_EXACT,
2026-08-02,822783,19,19,0,0,0,0,COMPLETE_EXACT,
2026-08-02,824404,20,20,0,0,0,0,COMPLETE_EXACT,
2026-08-02,824483,19,19,0,0,0,0,COMPLETE_EXACT,
2026-08-02,822943,20,20,0,0,0,0,COMPLETE_EXACT,
2026-08-02,823592,20,20,0,0,0,0,COMPLETE_EXACT,
2026-08-02,824163,25,25,0,0,0,0,COMPLETE_EXACT,
2026-08-02,824648,23,23,0,0,0,0,COMPLETE_EXACT,
2026-08-02,824323,18,18,0,0,0,0,COMPLETE_EXACT,
2026-08-02,823996,20,20,0,0,0,0,COMPLETE_EXACT,
2026-08-02,824971,22,22,0,0,0,1,STAT_MISMATCH,recurrence_affected_identity_details.csv
2026-08-02,823270,22,22,0,0,0,0,COMPLETE_EXACT,
2026-08-02,823107,22,22,0,0,0,0,COMPLETE_EXACT,
2026-08-02,823919,22,22,0,0,0,0,COMPLETE_EXACT,
