game_pk,player_mlb_id,player,official_role,official_pa,parser_output_row,post_repair_local_row,field_mismatches,decision
824807,547180,Bryce Harper,STARTED,4,YES,YES,,COMPLETE_EXACT
824807,592663,J.T. Realmuto,STARTED,3,YES,YES,,COMPLETE_EXACT
824807,607208,Trea Turner,STARTED,4,YES,YES,,COMPLETE_EXACT
824807,621493,Taylor Ward,STARTED,2,YES,YES,,COMPLETE_EXACT
824807,624413,Pete Alonso,STARTED,2,YES,YES,,COMPLETE_EXACT
824807,650559,Bryan De La Cruz,STARTED,3,YES,YES,,COMPLETE_EXACT
824807,656941,Kyle Schwarber,STARTED,4,YES,YES,,COMPLETE_EXACT
824807,664761,Alec Bohm,STARTED,4,YES,YES,,COMPLETE_EXACT
824807,665750,Leody Taveras,STARTED,2,YES,YES,,COMPLETE_EXACT
824807,668670,Jake Rogers,STARTED,2,YES,YES,,COMPLETE_EXACT
824807,669016,Brandon Marsh,STARTED,3,YES,YES,,COMPLETE_EXACT
824807,681082,Bryson Stott,STARTED,3,YES,YES,,COMPLETE_EXACT
824807,681297,Colton Cowser,STARTED,2,YES,YES,,COMPLETE_EXACT
824807,683002,Gunnar Henderson,STARTED,2,YES,YES,,COMPLETE_EXACT
824807,687637,Dylan Beavers,STARTED,3,YES,YES,,COMPLETE_EXACT
824807,687952,Christian Encarnacion-Strand,STARTED,2,YES,YES,,COMPLETE_EXACT
824807,689147,Orion Kerkering,ROLE_AMBIGUOUS_TECHNICAL_UNRESOLVED,0,YES,YES,,COMPLETE_EXACT
824807,702222,Justin Crawford,STARTED,3,YES,YES,,COMPLETE_EXACT
824807,702616,Jackson Holliday,STARTED,2,YES,YES,,COMPLETE_EXACT
