partition,side,observed_win_rate,offered_price_roi,classification
DESIGN,ALL,0.624526653073114,-0.031179794398126695,ACCURATE_BUT_PRICE_NEGATIVE
DESIGN,OVER,0.5517241379310345,-0.010245852694331061,ACCURATE_BUT_PRICE_NEGATIVE
DESIGN,UNDER,0.6264196054991034,-0.03172410190805802,ACCURATE_BUT_PRICE_NEGATIVE
VALIDATION,ALL,0.6357615894039735,-0.011494523345245705,ACCURATE_BUT_PRICE_NEGATIVE
VALIDATION,OVER,0.5714285714285714,0.013444918351015137,ACCURATE_AND_PRICE_POSITIVE
VALIDATION,UNDER,0.637065637065637,-0.01200005256881857,ACCURATE_BUT_PRICE_NEGATIVE
HOLDOUT,ALL,0.6292257360959651,-0.027578963251111543,ACCURATE_BUT_PRICE_NEGATIVE
HOLDOUT,OVER,0.3333333333333333,-0.3840996168582375,INACCURATE_AND_PRICE_NEGATIVE
HOLDOUT,UNDER,0.6311745334796927,-0.025230857958419162,ACCURATE_BUT_PRICE_NEGATIVE
FULL,ALL,0.6275198816349177,-0.02672089044682133,ACCURATE_BUT_PRICE_NEGATIVE
FULL,OVER,0.543859649122807,-0.025558277194604465,ACCURATE_BUT_PRICE_NEGATIVE
FULL,UNDER,0.6293217457018704,-0.026745930671788782,ACCURATE_BUT_PRICE_NEGATIVE
