partition,side,selected_wagers,wins,losses,voids,technical_unresolved,observed_win_rate,mean_offered_break_even_probability,mean_no_vig_market_probability,mean_model_selected_side_probability,observed_minus_offered_break_even,observed_minus_no_vig_market_probability,observed_minus_model_probability,average_selected_odds,stake,offered_net,offered_roi,novig_fair_net,novig_fair_roi,even_money_net,even_money_roi,offered_price_drag_vs_novig,novig_return_vs_even_money,reaches_offered_break_even,reaches_novig_expectation,reaches_model_expectation
DESIGN,ALL,3433,2144,1289,290,38,0.624526653073114,0.6444593943697582,0.6058157604455183,0.5931072481794349,-0.01993274129664424,0.01871089262759562,0.031419404893679004,-184.94873288668802,17165,-535.2011708438447,-0.031179794398126695,525.6743939917056,0.03062478263860796,4275.0,0.24905330614622778,-1060.8755648355504,-3749.3256060082945,False,True,True
DESIGN,OVER,87,48,39,6,0,0.5517241379310345,0.5575223842678987,0.5240245400325406,0.615080195402299,-0.00579824633686421,0.027699597898493855,-0.06335605747126449,-126.5632183908046,435,-4.456945922034012,-0.010245852694331061,23.044521601867196,0.05297591172843034,45.0,0.10344827586206896,-27.50146752390121,-21.955478398132804,False,True,False
DESIGN,UNDER,3346,2096,1250,284,38,0.6264196054991034,0.6467198605618867,0.6079424299541643,0.5925359252839212,-0.020300255062783323,0.018477175544939106,0.03388368021518218,-186.46682606096832,16730,-530.7442249218108,-0.03172410190805802,502.6298723898384,0.030043626562452984,4230.0,0.25283921099820683,-1033.3740973116492,-3727.3701276101615,False,True,True
VALIDATION,ALL,1057,672,385,76,10,0.6357615894039735,0.6431367569979735,0.6045702399906208,0.5890681996215704,-0.007375167593999921,0.031191349413352776,0.046693389782403116,-183.56953642384107,5285,-60.74855587962355,-0.011494523345245705,272.6933001997726,0.05159759701036378,1435.0,0.271523178807947,-333.44185607939613,-1162.3066998002273,False,True,True
VALIDATION,OVER,21,12,9,0,0,0.5714285714285714,0.5637262511542308,0.5298015580071868,0.6116926190476191,0.0077023202743405905,0.04162701342138464,-0.04026404761904767,-129.76190476190476,105,1.4117164268565894,0.013444918351015137,8.212772846024437,0.07821688424785178,15.0,0.14285714285714285,-6.801056419167848,-6.787227153975563,True,True,False
VALIDATION,UNDER,1036,660,376,76,10,0.637065637065637,0.6447464294137251,0.6060858213821767,0.5886095965250965,-0.00768079234808805,0.03097981568346031,0.048456040540540535,-184.66023166023166,5180,-62.16027230648019,-0.01200005256881857,264.4805273537482,0.05105801686365795,1420.0,0.27413127413127414,-326.64079966022837,-1155.5194726462519,False,True,True
HOLDOUT,ALL,917,577,340,78,3,0.6292257360959651,0.6464147933520955,0.6076519025061505,0.5809308964013086,-0.017189057256130402,0.021573833589814573,0.04829483969465653,-186.36532170119958,4585,-126.44954650634642,-0.027578963251111543,158.0057524191999,0.034461450909312956,1185.0,0.2584514721919302,-284.45529892554634,-1026.9942475808002,False,True,True
HOLDOUT,OVER,6,2,4,1,0,0.3333333333333333,0.5493258585737931,0.516430349961248,0.6162816666666667,-0.2159925252404598,-0.18309701662791472,-0.2829483333333334,-122.0,30,-11.522988505747126,-0.3840996168582375,-10.34252548807623,-0.344750849602541,-10.0,-0.3333333333333333,-1.1804630176708955,-0.3425254880762303,False,False,False
HOLDOUT,UNDER,911,575,336,77,3,0.6311745334796927,0.6470542374889449,0.608252703071759,0.5806980702524698,-0.015879704009252205,0.022921830407933608,0.05047646322722288,-186.78924259055984,4555,-114.92655800059929,-0.025230857958419162,168.34827790727613,0.03695900722442945,1195.0,0.2623490669593853,-283.2748359078754,-1026.651722092724,False,True,True
FULL,ALL,5407,3393,2014,444,51,0.6275198816349177,0.6445324613504918,0.6058836774325301,0.5902526173478824,-0.017012579715574128,0.021636204202387543,0.03726726428703531,-184.91936378768264,27035,-722.3992732298146,-0.02672089044682133,956.373446610678,0.03537538178696793,6895.0,0.2550397632698354,-1678.7727198404928,-5938.626553389322,False,True,True
FULL,OVER,114,62,52,7,0,0.543859649122807,0.5582338057630595,0.5246890333399075,0.6145194035087719,-0.014374156640252433,0.01917061578289958,-0.07065975438596483,-126.91228070175438,570,-14.568218000924546,-0.025558277194604465,20.91476895981541,0.03669257712248318,50.0,0.08771929824561403,-35.48298696073996,-29.08523104018459,False,True,False
FULL,UNDER,5293,3331,1962,437,51,0.6293217457018704,0.6463911514576083,0.6076324379514342,0.5897299622142452,-0.0170694057557379,0.021689307750436204,0.039591783487625154,-186.16871339505008,26465,-707.8310552288901,-0.026745930671788782,935.4586776508627,0.035347012191606374,6845.0,0.25864349140374077,-1643.2897328797528,-5909.541322349138,False,True,True
