partition,category,rows,dates,games,model_side_wins,model_side_losses,model_side_roi,market_favorite_wins,market_favorite_losses,market_favorite_roi,observed_over_rate,model_mean_over_probability,market_mean_novig_over_probability,market_favorite_offered_break_even,market_favorite_novig_fair_roi
DESIGN,MODEL_OVER_MARKET_OVER,93,34,63,48,39,-0.010245852694331054,48,39,-0.010245852694331054,0.5517241379310345,0.6143661505376344,0.523610207388357,0.5570746675871776,0.05297591172843035
DESIGN,MODEL_OVER_MARKET_UNDER,2054,40,502,746,1227,-0.13351194027758637,1227,746,-0.014182228003889713,0.3781044095286366,0.5762242044790652,0.40761245268091,0.6302102217559531,0.04875363182515904
DESIGN,MODEL_UNDER_MARKET_OVER,76,30,53,39,34,0.05408268792014408,34,39,-0.1604758378679963,0.4657534246575342,0.42958302631578943,0.522283150851821,0.5555601405005652,-0.10682436202171867
DESIGN,MODEL_UNDER_MARKET_UNDER,3668,40,516,2096,1250,-0.031724101908058015,2096,1250,-0.031724101908058015,0.3735803945008966,0.4061073775899673,0.3910985623812227,0.6477369534203365,0.030043626562452987
DESIGN,TIE,16,10,14,5,8,-0.2780026990553306,0,0,,0.5384615384615384,0.49364675,0.5,0.5327102803738317,-0.07692307692307693
VALIDATION,MODEL_OVER_MARKET_OVER,21,8,15,12,9,0.013444918351015137,12,9,0.013444918351015137,0.5714285714285714,0.6116926190476191,0.5298015580071868,0.5637262511542308,0.07821688424785178
VALIDATION,MODEL_OVER_MARKET_UNDER,632,11,146,243,367,-0.08799764843903086,367,243,-0.0378087307641191,0.3983606557377049,0.577323295886076,0.4111213675473204,0.6265273147197434,0.02372833615273023
VALIDATION,MODEL_UNDER_MARKET_OVER,20,8,13,9,10,-0.08133949841938515,10,9,-0.05383855276941977,0.5263157894736842,0.44306885000000007,0.5206808737341431,0.5539723433216002,0.0068707779246817285
VALIDATION,MODEL_UNDER_MARKET_UNDER,1122,11,147,660,376,-0.012000052568818557,660,376,-0.012000052568818557,0.36293436293436293,0.4102054393939394,0.3932557884046452,0.6454420312535408,0.05105801686365794
VALIDATION,TIE,7,6,7,3,3,-0.06140350877192979,0,0,,0.6666666666666666,0.5173682857142857,0.5,0.5327102803738316,-0.3333333333333333
HOLDOUT,MODEL_OVER_MARKET_OVER,7,6,7,2,4,-0.3840996168582375,2,4,-0.3840996168582375,0.3333333333333333,0.6097815714285714,0.5177418079163004,0.5507752167259322,-0.344750849602541
HOLDOUT,MODEL_OVER_MARKET_UNDER,537,11,131,201,315,-0.09773944549083537,315,201,-0.032574919470951307,0.38953488372093026,0.5746146927374302,0.4060556452612227,0.6318897193446709,0.029286632786229932
HOLDOUT,MODEL_UNDER_MARKET_OVER,19,7,12,11,7,0.19564491706103115,7,11,-0.29382501618491885,0.3888888888888889,0.42781968421052635,0.5183972513680809,0.5511893760903303,-0.24894292779480026
HOLDOUT,MODEL_UNDER_MARKET_UNDER,991,11,131,575,336,-0.02523085795841916,575,336,-0.02523085795841916,0.36882546652030734,0.41819251866801205,0.39099002213429856,0.6478594846180271,0.03695900722442945
HOLDOUT,TIE,4,2,3,3,1,0.4078947368421053,0,0,,0.25,0.528454,0.5,0.5327102803738317,0.5
FULL,MODEL_OVER_MARKET_OVER,121,48,85,62,52,-0.025558277194604472,62,52,-0.025558277194604472,0.543859649122807,0.6136369256198347,0.5243452451296051,0.5578646436109742,0.03669257712248318
FULL,MODEL_OVER_MARKET_UNDER,3223,62,779,1190,1909,-0.11859670138391668,1909,1190,-0.021895295277443664,0.3839948370442078,0.576171557244803,0.40804113050008445,0.6297678677250058,0.0405863514559209
FULL,MODEL_UNDER_MARKET_OVER,115,45,78,59,51,0.05385631141182509,51,59,-0.1638774450755568,0.4636363636363636,0.43163705217391296,0.5213624757862156,0.5545618755668803,-0.11044187588475378
FULL,MODEL_UNDER_MARKET_UNDER,5781,62,794,3331,1962,-0.026745930671788782,3331,1962,-0.026745930671788782,0.3706782542981296,0.408974424839993,0.39149863922148875,0.6473125503319033,0.03534701219160637
FULL,TIE,27,18,24,11,12,-0.10221205186880242,0,0,,0.5217391304347826,0.5049534074074075,0.5,0.5327102803738318,-0.043478260869565216
