partition,band,rows,dates,games,selected_side_distribution,observed_win_rate,mean_novig_probability,mean_offered_break_even_probability,mean_model_probability,offered_price_roi,novig_fair_price_roi
DESIGN,MODEL_AT_LEAST_10PP_BELOW,342,40,246,under:342,0.6794871794871795,0.6436322780049137,0.6845660245948432,0.5239308461538462,-0.009596470933301545,0.05337291823870297
DESIGN,MODEL_5_TO_9_99PP_BELOW,836,40,429,under:836,0.6419270833333334,0.6205460808922189,0.6600968084120917,0.5480743111979166,-0.027632305961137905,0.03433405617800721
DESIGN,MODEL_0_01_TO_4_99PP_BELOW,1035,40,446,over:12|under:1023,0.6193001060445387,0.606213700908019,0.6448803964024447,0.5813011484623541,-0.039083274787479874,0.02222236499995417
DESIGN,MODEL_EXACTLY_EQUAL,0,0,0,,,,,,,
DESIGN,MODEL_0_01_TO_4_99PP_ABOVE,872,40,401,over:20|under:852,0.5967540574282147,0.5970340842247309,0.6351493716893561,0.6204031660424469,-0.06032378129437077,-0.00033194705031568014
DESIGN,MODEL_5_TO_9_99PP_ABOVE,490,40,271,over:24|under:466,0.6287015945330297,0.5861447405615041,0.6235831030352773,0.6567126560364466,0.005273554152704096,0.06950357942455475
DESIGN,MODEL_AT_LEAST_10PP_ABOVE,186,36,121,over:37|under:149,0.5941176470588235,0.5598322483525633,0.5956488798478586,0.6961347823529412,0.00020742593483794866,0.06418883051836939
VALIDATION,MODEL_AT_LEAST_10PP_BELOW,96,11,73,under:96,0.5617977528089888,0.6384171570255639,0.6790361666616349,0.5183511011235955,-0.17227681822350013,-0.1196063367100785
VALIDATION,MODEL_5_TO_9_99PP_BELOW,250,11,117,under:250,0.6551724137931034,0.6141418248581315,0.6532856639453045,0.5419423146551724,0.003974520467557299,0.06797322255341477
VALIDATION,MODEL_0_01_TO_4_99PP_BELOW,352,11,129,over:2|under:350,0.6666666666666666,0.6054677403641383,0.6440947282434525,0.5822362333333334,0.039159453196161535,0.10550770479406431
VALIDATION,MODEL_EXACTLY_EQUAL,0,0,0,,,,,,,
VALIDATION,MODEL_0_01_TO_4_99PP_ABOVE,276,11,115,over:5|under:271,0.6135458167330677,0.6006967511141856,0.639022757642774,0.6236162350597609,-0.04593462223938999,0.014998286176243254
VALIDATION,MODEL_5_TO_9_99PP_ABOVE,134,11,81,over:6|under:128,0.628099173553719,0.5820195173894182,0.6192425585829311,0.6539173223140496,0.006814477428843998,0.07122499318965975
VALIDATION,MODEL_AT_LEAST_10PP_ABOVE,35,10,28,over:8|under:27,0.5882352941176471,0.5507974374640748,0.5860216823956323,0.6762233529411765,0.0012722281163812146,0.06510293489800502
HOLDOUT,MODEL_AT_LEAST_10PP_BELOW,97,11,67,under:97,0.6292134831460674,0.6422138772981366,0.6830924987068288,0.5238459101123595,-0.07917892535703354,-0.02058192124003626
HOLDOUT,MODEL_5_TO_9_99PP_BELOW,259,11,104,under:259,0.6570247933884298,0.6210564124313585,0.6606221309201719,0.5476290867768595,-0.004378668860850663,0.05906794534134593
HOLDOUT,MODEL_0_01_TO_4_99PP_BELOW,324,11,124,over:1|under:323,0.6476510067114094,0.6012093721241953,0.6395994191639668,0.5745417919463087,0.012143876167315262,0.0767932078803391
HOLDOUT,MODEL_EXACTLY_EQUAL,0,0,0,,,,,,,
HOLDOUT,MODEL_0_01_TO_4_99PP_ABOVE,221,11,100,over:2|under:219,0.6,0.5965102942497428,0.6345861188974092,0.61858405,-0.056074047490678285,0.0041767108715103874
HOLDOUT,MODEL_5_TO_9_99PP_ABOVE,78,11,53,over:1|under:77,0.5857142857142857,0.5883041447618336,0.6259018369656929,0.6591055999999998,-0.06974152047638511,-0.010357328505202462
HOLDOUT,MODEL_AT_LEAST_10PP_ABOVE,19,9,17,over:3|under:16,0.4444444444444444,0.5622425463294423,0.5980887865744275,0.6943028333333334,-0.26141701369693193,-0.21423369031563674
FULL,MODEL_AT_LEAST_10PP_BELOW,535,62,386,under:535,0.6489795918367347,0.6424274138619233,0.6832939814109884,0.5229019551020408,-0.05178297981603588,0.00852162353656146
FULL,MODEL_5_TO_9_99PP_BELOW,1345,62,650,under:1345,0.6473429951690821,0.619449231321014,0.658926874861899,0.5468421312399355,-0.017197391380037418,0.045437025402340965
FULL,MODEL_0_01_TO_4_99PP_BELOW,1711,62,699,over:15|under:1696,0.6346276257161044,0.6051077448564212,0.6437136225580564,0.5802154003819223,-0.012930638747294882,0.050068496960750525
FULL,MODEL_EXACTLY_EQUAL,0,0,0,,,,,,,
FULL,MODEL_0_01_TO_4_99PP_ABOVE,1369,62,616,over:27|under:1342,0.6006389776357828,0.597684700354328,0.6358359286509525,0.6207567260383388,-0.05676018250560186,0.0034616792469938235
FULL,MODEL_5_TO_9_99PP_ABOVE,702,62,405,over:31|under:671,0.6238095238095238,0.5855923695935688,0.6230070800136824,0.6564416571428572,-0.0027654990339995773,0.06096076594914951
FULL,MODEL_AT_LEAST_10PP_ABOVE,240,55,166,over:48|under:192,0.581081081081081,0.5586439681425418,0.5943722744771495,0.6929367477477477,-0.020842288656150263,0.041754029499880656
