partition,side,realized_offered_price_net,realized_novig_fair_price_net,vig_offered_price_drag,dollars_population_underperformed_novig_expectation,dollars_lost_to_offered_price_vs_fair,additive_identity_error,classification
DESIGN,ALL,-535.2011708438447,525.6743939917056,-1060.8755648355504,0.0,-1060.8755648355504,1.1368683772161603e-13,POSITIVE_FAIR_VALUE_ERASED_BY_OFFERED_PRICE
DESIGN,OVER,-4.456945922034012,23.044521601867196,-27.50146752390121,0.0,-27.50146752390121,8.881784197001252e-16,POSITIVE_FAIR_VALUE_ERASED_BY_OFFERED_PRICE
DESIGN,UNDER,-530.7442249218108,502.6298723898384,-1033.3740973116492,0.0,-1033.3740973116492,0.0,POSITIVE_FAIR_VALUE_ERASED_BY_OFFERED_PRICE
VALIDATION,ALL,-60.74855587962355,272.6933001997726,-333.44185607939613,0.0,-333.44185607939613,0.0,POSITIVE_FAIR_VALUE_ERASED_BY_OFFERED_PRICE
VALIDATION,OVER,1.4117164268565894,8.212772846024437,-6.801056419167848,0.0,-6.801056419167848,0.0,PRICE_AND_VIG_DRAG_DOMINANT
VALIDATION,UNDER,-62.16027230648019,264.4805273537482,-326.64079966022837,0.0,-326.64079966022837,-7.105427357601002e-15,POSITIVE_FAIR_VALUE_ERASED_BY_OFFERED_PRICE
HOLDOUT,ALL,-126.44954650634642,158.0057524191999,-284.45529892554634,0.0,-284.45529892554634,2.842170943040401e-14,POSITIVE_FAIR_VALUE_ERASED_BY_OFFERED_PRICE
HOLDOUT,OVER,-11.522988505747126,-10.34252548807623,-1.1804630176708955,-10.34252548807623,-1.1804630176708955,0.0,MIXED_SELECTION_AND_PRICE_FAILURE
HOLDOUT,UNDER,-114.92655800059929,168.34827790727613,-283.2748359078754,0.0,-283.2748359078754,-1.4210854715202004e-14,POSITIVE_FAIR_VALUE_ERASED_BY_OFFERED_PRICE
FULL,ALL,-722.3992732298146,956.373446610678,-1678.7727198404928,0.0,-1678.7727198404928,1.1368683772161603e-13,POSITIVE_FAIR_VALUE_ERASED_BY_OFFERED_PRICE
FULL,OVER,-14.568218000924546,20.91476895981541,-35.48298696073996,0.0,-35.48298696073996,0.0,POSITIVE_FAIR_VALUE_ERASED_BY_OFFERED_PRICE
FULL,UNDER,-707.8310552288901,935.4586776508627,-1643.2897328797528,0.0,-1643.2897328797528,0.0,POSITIVE_FAIR_VALUE_ERASED_BY_OFFERED_PRICE
