slate_date,frozen_identities,exact_model_directions,uncertain_identities,actual_executions,actionable_exports,pipeline_selected_actions
2026-05-01,150,150,0,0,0,0
2026-05-02,106,106,0,0,0,0
2026-05-03,177,177,0,0,0,0
2026-05-04,133,133,0,0,0,0
2026-05-05,125,125,0,0,0,0
2026-05-06,116,116,0,0,0,0
2026-05-07,119,119,0,0,0,0
2026-05-08,154,154,0,0,0,0
2026-05-09,174,174,0,0,0,0
2026-05-10,169,169,0,0,0,0
2026-05-11,53,53,0,0,0,0
2026-05-12,153,153,0,0,0,0
2026-05-13,130,130,0,0,0,0
2026-05-14,126,126,0,0,0,0
2026-05-15,125,125,0,0,0,0
2026-05-16,183,183,0,0,0,0
2026-05-17,140,140,0,0,0,0
2026-05-18,183,183,0,0,0,0
2026-05-19,172,172,0,0,0,0
2026-05-20,149,149,0,0,0,0
2026-05-21,63,63,0,0,0,0
2026-05-22,148,148,0,0,0,0
2026-05-23,171,171,0,0,0,0
2026-06-19,144,144,0,0,0,0
2026-06-20,162,162,0,0,0,0
2026-06-21,156,156,0,0,0,0
2026-06-22,133,133,0,0,0,0
2026-06-23,168,168,0,0,0,0
2026-06-24,160,160,0,0,0,0
2026-06-25,110,110,0,0,0,0
2026-06-26,148,148,0,0,0,0
2026-06-27,183,183,0,0,0,0
2026-06-28,170,170,0,0,0,0
2026-06-29,167,167,0,0,0,0
2026-06-30,183,183,0,0,0,0
2026-07-01,154,154,0,0,0,0
2026-07-02,108,108,0,0,0,0
2026-07-03,166,166,0,0,0,0
2026-07-04,193,193,0,0,0,0
2026-07-05,183,183,0,0,0,0
2026-07-06,97,97,0,0,0,0
2026-07-07,165,165,0,0,0,0
2026-07-08,143,143,0,0,0,0
2026-07-09,127,127,0,0,0,0
2026-07-10,186,186,0,0,0,0
2026-07-11,140,140,0,0,0,0
2026-07-12,173,173,0,0,0,0
2026-07-19,182,182,0,0,0,0
2026-07-20,188,188,0,0,0,0
2026-07-21,191,191,0,0,0,0
2026-07-22,210,210,0,0,0,0
2026-07-23,46,46,0,0,0,0
2026-07-24,166,166,0,0,0,0
2026-07-25,170,170,0,0,0,0
2026-07-26,191,191,0,0,0,0
2026-07-27,131,131,0,0,0,0
2026-07-28,193,193,0,0,0,0
2026-07-29,151,151,0,0,0,0
2026-07-30,87,87,0,0,0,0
2026-07-31,170,170,0,0,0,0
2026-08-01,96,96,0,0,0,0
2026-08-02,157,157,0,0,0,0
