surface,left_out_dimension,left_out_value,eligible_identities,selected_wagers,wins,losses,voids,technical_unresolved,win_rate,average_american_odds,stake_at_5_risk,gross_winning_profit,net_dollars,roi,dates,games,players
MODEL_DIRECTION_ONLY_MIXED,date,2026-05-01,9117,8494,4578,3916,565,58,0.5389686837767836,-74.77289851659995,42470,17084.219115475535,-2495.7808845244645,-0.05876573780373121,61,782,441
MODEL_DIRECTION_ONLY_MIXED,date,2026-05-02,9161,8537,4604,3933,566,58,0.5392995197376127,-74.59517394869393,42685,17169.57639719444,-2495.4236028055593,-0.05846137057058825,61,782,442
MODEL_DIRECTION_ONLY_MIXED,date,2026-05-03,9090,8476,4574,3902,556,58,0.5396413402548372,-74.50637092968381,42380,17063.780105158625,-2446.2198948413734,-0.05772109237473746,61,781,440
MODEL_DIRECTION_ONLY_MIXED,date,2026-05-04,9134,8517,4591,3926,560,57,0.5390395679229776,-74.58083832335329,42585,17133.094913444467,-2496.905086555533,-0.058633441036879966,61,784,443
MODEL_DIRECTION_ONLY_MIXED,date,2026-05-05,9142,8521,4592,3929,563,58,0.5389038845205961,-74.59652622931581,42605,17140.563114770343,-2504.436885229655,-0.05878269886702629,61,782,441
MODEL_DIRECTION_ONLY_MIXED,date,2026-05-06,9151,8530,4597,3933,563,58,0.5389214536928487,-74.3778429073857,42650,17164.778586620716,-2500.221413379284,-0.058621838531753435,61,783,442
MODEL_DIRECTION_ONLY_MIXED,date,2026-05-07,9148,8533,4600,3933,558,57,0.5390835579514824,-74.419313254424,42665,17185.469723149447,-2479.5302768505535,-0.05811626103013134,61,787,443
MODEL_DIRECTION_ONLY_MIXED,date,2026-05-08,9113,8489,4566,3923,566,58,0.5378725409353281,-74.6928966898339,42445,17036.67059175604,-2578.3294082439597,-0.06074518572844763,61,782,443
MODEL_DIRECTION_ONLY_MIXED,date,2026-05-09,9093,8477,4573,3904,560,56,0.5394597145216468,-74.47044945145689,42385,17088.097376020396,-2431.9026239796053,-0.057376492249135436,61,781,441
MODEL_DIRECTION_ONLY_MIXED,date,2026-05-10,9098,8482,4572,3910,559,57,0.5390238151379392,-74.67142183447301,42410,17078.344676326138,-2471.655323673863,-0.05828001234788642,61,781,441
MODEL_DIRECTION_ONLY_MIXED,date,2026-05-11,9214,8586,4622,3964,570,58,0.5383181924062427,-73.98159795015141,42930,17278.926377690947,-2541.0736223090526,-0.05919109299578506,61,791,443
MODEL_DIRECTION_ONLY_MIXED,date,2026-05-12,9114,8491,4575,3916,566,57,0.5388057943705099,-74.17312448474856,42455,17095.352411865533,-2484.647588134466,-0.058524263058166666,61,783,443
MODEL_DIRECTION_ONLY_MIXED,date,2026-05-13,9137,8518,4594,3924,561,58,0.5393284808640526,-74.62373796665884,42590,17144.75950450667,-2475.240495493331,-0.058117879678171655,61,783,443
MODEL_DIRECTION_ONLY_MIXED,date,2026-05-14,9141,8522,4587,3935,561,58,0.5382539310021122,-74.3337244778221,42610,17123.817057425687,-2551.1829425743094,-0.05987286887055408,61,785,443
MODEL_DIRECTION_ONLY_MIXED,date,2026-05-15,9142,8520,4588,3932,566,56,0.5384976525821596,-74.09143192488263,42600,17135.153794864626,-2524.846205135372,-0.05926869026139371,61,782,443
MODEL_DIRECTION_ONLY_MIXED,date,2026-05-16,9084,8471,4564,3907,559,54,0.5387793648919844,-74.0947940030693,42355,17044.958203056005,-2490.041796943997,-0.05878979570166443,61,781,441
MODEL_DIRECTION_ONLY_MIXED,date,2026-05-17,9127,8516,4589,3927,555,56,0.5388680131517144,-74.12611554720526,42580,17128.660506383603,-2506.3394936163977,-0.05886189510606852,61,782,443
MODEL_DIRECTION_ONLY_MIXED,date,2026-05-18,9084,8468,4558,3910,559,57,0.5382616910722721,-73.7856636750118,42340,17046.054474449087,-2503.9455255509138,-0.059139006271868536,61,782,443
MODEL_DIRECTION_ONLY_MIXED,date,2026-05-19,9095,8474,4565,3909,566,55,0.5387066320509795,-74.45952324758083,42370,17026.045414066375,-2518.9545859336226,-0.05945137092125614,61,781,441
MODEL_DIRECTION_ONLY_MIXED,date,2026-05-20,9118,8503,4585,3918,558,57,0.5392214512524991,-74.22074561919322,42515,17116.029915718456,-2473.9700842815455,-0.05819052297498637,61,784,440
MODEL_DIRECTION_ONLY_MIXED,date,2026-05-21,9204,8577,4613,3964,569,58,0.5378337414014224,-73.64544712603474,42885,17266.640598074962,-2553.359401925039,-0.0595396852495054,61,790,443
MODEL_DIRECTION_ONLY_MIXED,date,2026-05-22,9119,8500,4577,3923,563,56,0.5384705882352941,-73.90694117647058,42500,17122.815793541195,-2492.1842064588072,-0.05863962838726605,61,782,443
MODEL_DIRECTION_ONLY_MIXED,date,2026-05-23,9096,8486,4569,3917,552,58,0.5384162149422579,-73.46888993636578,42430,17123.766719500734,-2461.233280499266,-0.05800691210226882,61,782,439
MODEL_DIRECTION_ONLY_MIXED,date,2026-06-19,9123,8506,4585,3921,560,57,0.5390312720432636,-73.81624735480837,42530,17120.13591423928,-2484.864085760719,-0.05842614826618196,61,783,440
MODEL_DIRECTION_ONLY_MIXED,date,2026-06-20,9105,8489,4582,3907,560,56,0.5397573330192014,-73.65932383083991,42445,17142.234371698567,-2392.7656283014353,-0.05637332143483179,61,782,442
MODEL_DIRECTION_ONLY_MIXED,date,2026-06-21,9111,8490,4573,3917,564,57,0.5386336866902238,-73.74852767962308,42450,17095.9503601278,-2489.0496398722007,-0.05863485606294937,61,783,442
MODEL_DIRECTION_ONLY_MIXED,date,2026-06-22,9134,8512,4584,3928,564,58,0.5385338345864662,-73.8014567669173,42560,17153.130178101153,-2486.869821898845,-0.05843209167995407,61,784,443
MODEL_DIRECTION_ONLY_MIXED,date,2026-06-23,9099,8492,4577,3915,550,57,0.5389778615167217,-73.7273904851625,42460,17109.467427186293,-2465.5325728137095,-0.058067182590996455,61,782,442
MODEL_DIRECTION_ONLY_MIXED,date,2026-06-24,9107,8488,4583,3905,562,57,0.5399387370405277,-73.9025683317625,42440,17131.24837400221,-2393.7516259977892,-0.056403195711540746,61,782,443
MODEL_DIRECTION_ONLY_MIXED,date,2026-06-25,9157,8543,4594,3949,560,54,0.5377502048460728,-73.94919817394359,42715,17173.070933091414,-2571.9290669085844,-0.060211379302553776,61,787,442
MODEL_DIRECTION_ONLY_MIXED,date,2026-06-26,9119,8496,4571,3925,565,58,0.538017890772128,-73.99117231638418,42480,17084.355909407896,-2540.6440905921054,-0.05980800589906086,61,783,441
MODEL_DIRECTION_ONLY_MIXED,date,2026-06-27,9084,8469,4563,3906,560,55,0.538788522848034,-73.82748848742473,42345,17055.77009828786,-2474.229901712142,-0.05843027279990889,61,781,443
MODEL_DIRECTION_ONLY_MIXED,date,2026-06-28,9097,8484,4561,3923,558,55,0.5376001885902876,-73.7001414427157,42420,17073.9205863499,-2541.0794136501,-0.059902862179398865,61,781,443
MODEL_DIRECTION_ONLY_MIXED,date,2026-06-29,9100,8489,4568,3921,556,55,0.5381081399458122,-73.40393450347509,42445,17070.45618943967,-2534.543810560334,-0.05971360137967567,61,783,443
MODEL_DIRECTION_ONLY_MIXED,date,2026-06-30,9084,8476,4564,3912,551,57,0.5384615384615384,-73.08187824445493,42380,17093.81894884326,-2466.1810511567373,-0.05819209653508111,61,782,441
MODEL_DIRECTION_ONLY_MIXED,date,2026-07-01,9113,8497,4577,3920,559,57,0.538660703777804,-73.11345180651995,42485,17135.432433129845,-2464.567566870155,-0.05801029932611875,61,785,442
MODEL_DIRECTION_ONLY_MIXED,date,2026-07-02,9159,8536,4593,3943,565,58,0.5380740393626992,-73.587160262418,42680,17155.36012705147,-2559.639872948527,-0.05997281801660092,61,787,442
MODEL_DIRECTION_ONLY_MIXED,date,2026-07-03,9101,8481,4564,3917,562,58,0.538144086782219,-73.5326022874661,42405,17083.76378819005,-2501.2362118099513,-0.05898446437471881,61,783,442
MODEL_DIRECTION_ONLY_MIXED,date,2026-07-04,9074,8462,4553,3909,554,58,0.5380524698652801,-73.52233514535571,42310,17037.95344875367,-2507.0465512463297,-0.059254231889537455,61,781,443
MODEL_DIRECTION_ONLY_MIXED,date,2026-07-05,9084,8470,4561,3909,556,58,0.5384887839433294,-73.49515938606848,42350,17059.438962589124,-2485.561037410875,-0.05869093358703365,61,782,442
MODEL_DIRECTION_ONLY_MIXED,date,2026-07-06,9170,8545,4610,3935,567,58,0.5394967817437097,-73.77671152720889,42725,17231.51774519531,-2443.482254804688,-0.057190924629717685,61,788,443
MODEL_DIRECTION_ONLY_MIXED,date,2026-07-07,9102,8486,4551,3935,561,55,0.5362950742399246,-73.47171812396888,42430,17045.82505328779,-2629.17494671221,-0.06196499992251261,61,782,443
MODEL_DIRECTION_ONLY_MIXED,date,2026-07-08,9124,8509,4572,3937,558,57,0.5373134328358209,-73.67081913268304,42545,17107.971728199445,-2577.028271800553,-0.06057182446352222,61,783,443
MODEL_DIRECTION_ONLY_MIXED,date,2026-07-09,9140,8518,4578,3940,565,57,0.5374501056586053,-74.09509274477577,42590,17093.12222845604,-2606.8777715439574,-0.061208682121248116,61,785,443
MODEL_DIRECTION_ONLY_MIXED,date,2026-07-10,9081,8460,4567,3893,564,57,0.5398345153664302,-74.20673758865249,42300,17054.66373713595,-2410.3362628640502,-0.05698194474855911,61,781,443
MODEL_DIRECTION_ONLY_MIXED,date,2026-07-11,9127,8505,4588,3917,565,57,0.5394473838918283,-74.00446796002352,42525,17159.115122515046,-2425.884877484952,-0.057046087653967126,61,783,442
MODEL_DIRECTION_ONLY_MIXED,date,2026-07-12,9094,8474,4562,3912,562,58,0.5383526079773424,-74.28534340335143,42370,17034.78820024797,-2525.2117997520286,-0.05959905120963013,61,781,443
MODEL_DIRECTION_ONLY_MIXED,date,2026-07-19,9085,8471,4563,3908,557,57,0.5386613150749616,-74.01392987840869,42355,17047.088970974797,-2492.9110290252024,-0.05885753816610087,61,781,443
MODEL_DIRECTION_ONLY_MIXED,date,2026-07-20,9079,8458,4560,3898,565,56,0.5391345471742729,-74.14696145660913,42290,17016.795831832966,-2473.204168167034,-0.05848200917869553,61,781,443
MODEL_DIRECTION_ONLY_MIXED,date,2026-07-21,9076,8461,4555,3906,558,57,0.538352440609857,-74.27396288854746,42305,16999.150893668593,-2530.849106331407,-0.05982387675999071,61,782,443
MODEL_DIRECTION_ONLY_MIXED,date,2026-07-22,9057,8450,4550,3900,550,57,0.5384615384615384,-73.94461538461539,42250,16989.596895235612,-2510.403104764384,-0.05941782496483749,61,782,442
MODEL_DIRECTION_ONLY_MIXED,date,2026-07-23,9221,8595,4634,3961,568,58,0.539150668993601,-74.35090168702735,42975,17306.651145617092,-2498.348854382909,-0.05813493552956158,61,792,443
MODEL_DIRECTION_ONLY_MIXED,date,2026-07-24,9101,8483,4572,3911,561,57,0.5389602734881528,-74.19969350465637,42415,17074.01058651356,-2480.989413486443,-0.05849320790961789,61,782,443
MODEL_DIRECTION_ONLY_MIXED,date,2026-07-25,9097,8476,4566,3910,563,58,0.5386974988201982,-74.28610193487494,42380,17060.802845593105,-2489.197154406895,-0.058735185332866806,61,782,441
MODEL_DIRECTION_ONLY_MIXED,date,2026-07-26,9076,8461,4553,3908,558,57,0.5381160619312138,-73.69613520860419,42305,17004.139946747415,-2535.8600532525843,-0.05994232486118861,61,781,442
MODEL_DIRECTION_ONLY_MIXED,date,2026-07-27,9136,8514,4581,3933,564,58,0.5380549682875264,-73.89464411557435,42570,17099.921651223274,-2565.078348776724,-0.06025554025785116,61,786,443
MODEL_DIRECTION_ONLY_MIXED,date,2026-07-28,9074,8455,4558,3897,561,58,0.5390892962743938,-74.16345357776464,42275,17031.644386628086,-2453.355613371913,-0.05803324928141722,61,782,442
MODEL_DIRECTION_ONLY_MIXED,date,2026-07-29,9116,8497,4582,3915,562,57,0.5392491467576792,-73.79628104036719,42485,17135.452685834985,-2439.5473141650155,-0.05742137964375699,61,783,442
MODEL_DIRECTION_ONLY_MIXED,date,2026-07-30,9180,8557,4609,3948,565,58,0.5386233493046628,-73.8394297066729,42785,17240.820808078803,-2499.179191921196,-0.05841250886808919,61,788,442
MODEL_DIRECTION_ONLY_MIXED,date,2026-07-31,9097,8481,4550,3931,559,57,0.5364933380497583,-73.67338757222026,42405,17003.381877861426,-2651.6181221385746,-0.06253078934414749,61,782,442
MODEL_DIRECTION_ONLY_MIXED,date,2026-08-01,9171,8548,4610,3938,565,58,0.5393074403369209,-74.06328965839963,42740,17223.454899451197,-2466.5451005488035,-0.057710460939373036,61,786,443
MODEL_DIRECTION_ONLY_MIXED,date,2026-08-02,9110,8507,4576,3931,545,58,0.5379099565064065,-73.79640296226637,42535,17123.49621056929,-2531.503789430711,-0.05951578204844742,61,782,441
MODEL_DIRECTION_ONLY_MIXED,month,2026-05,6048,5630,3067,2563,381,37,0.5447602131438721,-83.89769094138543,28150,11265.724040024297,-1549.2759599757023,-0.05503644618030914,39,500,382
MODEL_DIRECTION_ONLY_MIXED,month,2026-06,7383,6905,3722,3183,440,38,0.5390296886314265,-69.80680666183925,34525,14037.633625257435,-1877.3663747425667,-0.054377013026576874,50,637,423
MODEL_DIRECTION_ONLY_MIXED,month,2026-07,5356,4966,2637,2329,349,41,0.5310108739428111,-68.86206202174789,24830,9900.936921249737,-1744.0630787502653,-0.07024015621225393,37,479,411
MODEL_DIRECTION_ONLY_MIXED,month,2026-08,9014,8416,4533,3883,540,58,0.5386169201520913,-73.85658269961978,42080,16959.139685882496,-2455.860314117502,-0.058361699479978664,60,772,441
