surface,dimension,value,eligible_identities,selected_wagers,wins,losses,voids,technical_unresolved,win_rate,average_american_odds,stake_at_5_risk,gross_winning_profit,net_dollars,roi,dates,games,players
MODEL_DIRECTION_ONLY_MIXED,date,2026-05-01,150,145,75,70,5,0,0.5172413793103449,-28.83448275862069,725,303.5923086624524,-46.407691337547575,-0.06401060874144493,1,14,150
MODEL_DIRECTION_ONLY_MIXED,date,2026-05-02,106,102,49,53,4,0,0.4803921568627451,-24.34313725490196,510,218.23502694354696,-46.76497305645306,-0.09169602560088835,1,14,106
MODEL_DIRECTION_ONLY_MIXED,date,2026-05-03,177,163,79,84,14,0,0.48466257668711654,-47.76687116564417,815,324.03131897936134,-95.96868102063866,-0.1177529828474094,1,15,177
MODEL_DIRECTION_ONLY_MIXED,date,2026-05-04,133,122,62,60,10,1,0.5081967213114754,-33.58196721311475,610,254.71651069352077,-45.28348930647925,-0.07423522837127745,1,12,133
MODEL_DIRECTION_ONLY_MIXED,date,2026-05-05,125,118,61,57,7,0,0.5169491525423728,-31.059322033898304,590,247.24830936764266,-37.75169063235734,-0.06398591632602939,1,14,125
MODEL_DIRECTION_ONLY_MIXED,date,2026-05-06,116,109,56,53,7,0,0.5137614678899083,-44.57798165137615,545,223.03283751727187,-41.96716248272814,-0.07700396785821677,1,13,116
MODEL_DIRECTION_ONLY_MIXED,date,2026-05-07,119,106,53,53,12,1,0.5,-40.39622641509434,530,202.34170098854153,-62.65829901145849,-0.11822320568199715,1,9,119
MODEL_DIRECTION_ONLY_MIXED,date,2026-05-08,154,150,87,63,4,0,0.58,-34.89333333333333,750,351.1408323819471,36.14083238194715,0.04818777650926286,1,14,154
MODEL_DIRECTION_ONLY_MIXED,date,2026-05-09,174,162,80,82,10,2,0.49382716049382713,-49.48148148148148,810,299.71404811759265,-110.28595188240732,-0.13615549615112016,1,15,174
MODEL_DIRECTION_ONLY_MIXED,date,2026-05-10,169,157,81,76,11,1,0.5159235668789809,-37.82802547770701,785,309.4667478118512,-70.53325218814882,-0.08985127667280104,1,15,169
MODEL_DIRECTION_ONLY_MIXED,date,2026-05-11,53,53,31,22,0,0,0.5849056603773585,-77.28301886792453,265,108.8850464470407,-1.114953552959327,-0.0042073718979597245,1,5,53
MODEL_DIRECTION_ONLY_MIXED,date,2026-05-12,153,148,78,70,4,1,0.527027027027027,-64.17567567567568,740,292.4590122724533,-57.54098772754665,-0.07775809152371169,1,13,153
MODEL_DIRECTION_ONLY_MIXED,date,2026-05-13,130,121,59,62,9,0,0.48760330578512395,-30.223140495867767,605,243.0519196313188,-66.94808036868115,-0.1106579840804647,1,13,130
MODEL_DIRECTION_ONLY_MIXED,date,2026-05-14,126,117,66,51,9,0,0.5641025641025641,-49.82905982905983,585,263.99436671229716,8.99436671229715,0.015374985832986581,1,11,126
MODEL_DIRECTION_ONLY_MIXED,date,2026-05-15,125,119,65,54,4,2,0.5462184873949579,-67.58823529411765,595,252.65762927336,-17.342370726639984,-0.029146841557378126,1,14,125
MODEL_DIRECTION_ONLY_MIXED,date,2026-05-16,183,168,89,79,11,4,0.5297619047619048,-69.31547619047619,840,342.85322108198494,-52.14677891801504,-0.062079498711922664,1,15,183
MODEL_DIRECTION_ONLY_MIXED,date,2026-05-17,140,123,64,59,15,2,0.5203252032520326,-65.39837398373983,615,259.150917754385,-35.84908224561501,-0.05829119064327644,1,14,140
MODEL_DIRECTION_ONLY_MIXED,date,2026-05-18,183,171,95,76,11,1,0.5555555555555556,-84.70760233918129,855,341.75694968890184,-38.24305031109817,-0.04472871381414991,1,14,183
MODEL_DIRECTION_ONLY_MIXED,date,2026-05-19,172,165,88,77,4,3,0.5333333333333333,-50.4969696969697,825,361.7660100716105,-23.23398992838947,-0.02816241203441148,1,15,172
MODEL_DIRECTION_ONLY_MIXED,date,2026-05-20,149,136,68,68,12,1,0.5,-60.31617647058823,680,271.7815084195336,-68.21849158046635,-0.10032131114774463,1,12,149
MODEL_DIRECTION_ONLY_MIXED,date,2026-05-21,63,62,40,22,1,0,0.6451612903225806,-123.30645161290323,310,121.17082606302716,11.170826063027162,0.03603492278395859,1,6,63
MODEL_DIRECTION_ONLY_MIXED,date,2026-05-22,148,139,76,63,7,2,0.5467625899280576,-79.80575539568345,695,264.9956305967951,-50.00436940320496,-0.07194873295425175,1,15,148
MODEL_DIRECTION_ONLY_MIXED,date,2026-05-23,171,153,84,69,18,0,0.5490196078431373,-103.56209150326798,765,264.0447046372536,-80.95529536274645,-0.10582391550685812,1,15,171
MODEL_DIRECTION_ONLY_MIXED,date,2026-06-19,144,133,68,65,10,1,0.5112781954887218,-85.87218045112782,665,267.6755098987069,-57.32449010129315,-0.08620224075382428,1,13,144
MODEL_DIRECTION_ONLY_MIXED,date,2026-06-20,162,150,71,79,10,2,0.47333333333333333,-93.38666666666667,750,245.57705243942286,-149.42294756057714,-0.19923059674743618,1,14,162
MODEL_DIRECTION_ONLY_MIXED,date,2026-06-21,156,149,80,69,6,1,0.5369127516778524,-88.43624161073825,745,291.86106401018856,-53.13893598981139,-0.07132743085880723,1,13,156
MODEL_DIRECTION_ONLY_MIXED,date,2026-06-22,133,127,69,58,6,0,0.5433070866141733,-87.43307086614173,635,234.6812460368323,-55.318753963167694,-0.08711614797349243,1,12,133
MODEL_DIRECTION_ONLY_MIXED,date,2026-06-23,168,147,76,71,20,1,0.5170068027210885,-89.85714285714286,735,278.34399695169736,-76.65600304830265,-0.10429388169837095,1,14,168
MODEL_DIRECTION_ONLY_MIXED,date,2026-06-24,160,151,70,81,8,1,0.46357615894039733,-79.58278145695364,755,256.5630501357772,-148.43694986422287,-0.1966052316082422,1,14,160
MODEL_DIRECTION_ONLY_MIXED,date,2026-06-25,110,96,59,37,10,4,0.6145833333333334,-78.6875,480,214.7404910465723,29.74049104657229,0.06195935634702561,1,9,110
MODEL_DIRECTION_ONLY_MIXED,date,2026-06-26,148,143,82,61,5,0,0.5734265734265734,-74.63636363636364,715,303.4555147300929,-1.5444852699071472,-0.0021601192586113947,1,13,148
MODEL_DIRECTION_ONLY_MIXED,date,2026-06-27,183,170,90,80,10,3,0.5294117647058824,-82.68823529411765,850,332.0413258501296,-67.95867414987035,-0.07995138135278865,1,15,183
MODEL_DIRECTION_ONLY_MIXED,date,2026-06-28,170,155,92,63,12,3,0.5935483870967742,-90.51612903225806,775,313.8908377880876,-1.1091622119123725,-0.0014311770476288677,1,15,170
MODEL_DIRECTION_ONLY_MIXED,date,2026-06-29,167,150,85,65,14,3,0.5666666666666667,-107.84,750,317.35523469832174,-7.644765301678287,-0.010193020402237716,1,13,167
MODEL_DIRECTION_ONLY_MIXED,date,2026-06-30,183,163,89,74,19,1,0.5460122699386503,-121.84049079754601,815,293.9924752947253,-76.00752470527479,-0.09326076650953961,1,14,183
MODEL_DIRECTION_ONLY_MIXED,date,2026-07-01,154,142,76,66,11,1,0.5352112676056338,-127.16197183098592,710,252.3789910081427,-77.6210089918573,-0.10932536477726379,1,11,154
MODEL_DIRECTION_ONLY_MIXED,date,2026-07-02,108,103,60,43,5,0,0.5825242718446602,-108.36893203883496,515,232.4512970865146,17.451297086514572,0.03388601376022247,1,9,108
MODEL_DIRECTION_ONLY_MIXED,date,2026-07-03,166,158,89,69,8,0,0.5632911392405063,-99.18987341772151,790,304.04763594793906,-40.95236405206103,-0.05183843550893801,1,13,166
MODEL_DIRECTION_ONLY_MIXED,date,2026-07-04,193,177,100,77,16,0,0.5649717514124294,-96.92655367231639,885,349.8579753843178,-35.142024615682224,-0.039708502390601384,1,15,193
MODEL_DIRECTION_ONLY_MIXED,date,2026-07-05,183,169,92,77,14,0,0.5443786982248521,-99.39644970414201,845,328.37246154886304,-56.627538451137006,-0.06701483840371243,1,14,183
MODEL_DIRECTION_ONLY_MIXED,date,2026-07-06,97,94,43,51,3,0,0.4574468085106383,-94.46808510638297,470,156.29367894267625,-98.70632105732376,-0.21001344905813565,1,8,97
MODEL_DIRECTION_ONLY_MIXED,date,2026-07-07,165,153,102,51,9,3,0.6666666666666666,-103.40522875816994,765,341.98637085019766,86.98637085019766,0.11370767431398386,1,14,165
MODEL_DIRECTION_ONLY_MIXED,date,2026-07-08,143,130,81,49,12,1,0.6230769230769231,-95.66923076923077,650,279.8396959385409,34.83969593854096,0.05359953221313994,1,13,143
MODEL_DIRECTION_ONLY_MIXED,date,2026-07-09,127,121,75,46,5,1,0.6198347107438017,-67.43801652892562,605,294.6891956819456,64.68919568194559,0.10692429038338114,1,11,127
MODEL_DIRECTION_ONLY_MIXED,date,2026-07-10,186,179,86,93,6,1,0.48044692737430167,-64.31843575418995,895,333.1476870020381,-131.85231299796195,-0.1473210201094547,1,15,186
MODEL_DIRECTION_ONLY_MIXED,date,2026-07-11,140,134,65,69,5,1,0.48507462686567165,-73.83582089552239,670,228.69630162293993,-116.30369837706007,-0.17358760951800012,1,13,140
MODEL_DIRECTION_ONLY_MIXED,date,2026-07-12,173,165,91,74,8,0,0.5515151515151515,-59.442424242424245,825,353.02322389001614,-16.976776109983877,-0.020577910436344094,1,15,173
MODEL_DIRECTION_ONLY_MIXED,date,2026-07-19,182,168,90,78,13,1,0.5357142857142857,-73.39285714285714,840,340.72245316319004,-49.27754683680992,-0.05866374623429752,1,15,182
MODEL_DIRECTION_ONLY_MIXED,date,2026-07-20,188,181,93,88,5,2,0.5138121546961326,-67.22099447513813,905,371.01559230502176,-68.9844076949782,-0.07622586485632951,1,15,188
MODEL_DIRECTION_ONLY_MIXED,date,2026-07-21,191,178,98,80,12,1,0.550561797752809,-61.06741573033708,890,388.6605304693945,-11.33946953060557,-0.012740977000680415,1,15,191
MODEL_DIRECTION_ONLY_MIXED,date,2026-07-22,210,189,103,86,20,1,0.544973544973545,-76.56084656084656,945,398.21452890237197,-31.785471097628005,-0.0336354191509291,1,15,210
MODEL_DIRECTION_ONLY_MIXED,date,2026-07-23,46,44,19,25,2,0,0.4318181818181818,-5.818181818181818,220,81.16027852089697,-43.83972147910302,-0.19927146126865009,1,4,46
MODEL_DIRECTION_ONLY_MIXED,date,2026-07-24,166,156,81,75,9,1,0.5192307692307693,-63.243589743589745,780,313.8008376244305,-61.19916237556941,-0.07846046458406335,1,14,166
MODEL_DIRECTION_ONLY_MIXED,date,2026-07-25,170,163,87,76,7,0,0.5337423312883436,-59.22085889570552,815,327.0085785448828,-52.99142145511717,-0.06502014902468364,1,14,170
MODEL_DIRECTION_ONLY_MIXED,date,2026-07-26,191,178,100,78,12,1,0.5617977528089888,-88.53370786516854,890,383.6714773905719,-6.328522609428074,-0.007110699561155139,1,15,191
MODEL_DIRECTION_ONLY_MIXED,date,2026-07-27,131,125,72,53,6,0,0.576,-81.304,625,287.88977291471156,22.88977291471158,0.036623636663538524,1,11,131
MODEL_DIRECTION_ONLY_MIXED,date,2026-07-28,193,184,95,89,9,0,0.5163043478260869,-66.57608695652173,920,356.1670375099006,-88.83296249009945,-0.09655756792402113,1,15,193
MODEL_DIRECTION_ONLY_MIXED,date,2026-07-29,151,142,71,71,8,1,0.5,-86.30281690140845,710,252.35873830300287,-102.64126169699716,-0.1445651573197143,1,13,151
MODEL_DIRECTION_ONLY_MIXED,date,2026-07-30,87,82,44,38,5,0,0.5365853658536586,-90.95121951219512,410,146.99061605918365,-43.00938394081635,-0.10490093644101549,1,8,87
MODEL_DIRECTION_ONLY_MIXED,date,2026-07-31,170,158,103,55,11,1,0.6518987341772152,-91.63291139240506,790,384.4295462765624,109.42954627656238,0.1385184130083068,1,14,170
MODEL_DIRECTION_ONLY_MIXED,date,2026-08-01,96,91,43,48,5,0,0.4725274725274725,-68.23076923076923,455,164.3565246867912,-75.64347531320881,-0.1662493962927666,1,10,96
MODEL_DIRECTION_ONLY_MIXED,date,2026-08-02,157,132,77,55,25,0,0.5833333333333334,-87.24242424242425,660,264.3152135686987,-10.68478643130124,-0.016189070350456424,1,14,157
MODEL_DIRECTION_ONLY_MIXED,month,2026-05,3219,3009,1586,1423,189,21,0.5270854104353606,-55.48620804253905,15045,6122.08738411369,-992.9126158863096,-0.06599618583491589,23,296,330
MODEL_DIRECTION_ONLY_MIXED,month,2026-06,1884,1734,931,803,130,20,0.5369088811995386,-90.70703575547866,8670,3350.1777988805543,-664.8222011194455,-0.07668076137479186,12,159,307
MODEL_DIRECTION_ONLY_MIXED,month,2026-07,3911,3673,2016,1657,221,17,0.5488701334059352,-80.95099373808875,18365,7486.874502888253,-798.1254971117469,-0.04345905238833362,25,317,342
MODEL_DIRECTION_ONLY_MIXED,month,2026-08,253,223,120,103,30,0,0.5381165919282511,-79.48430493273543,1115,428.6717382554899,-86.32826174451006,-0.07742444999507629,2,24,181
