slate_date,decision,pregame_source_completeness,selected_run,identity_count
2026-05-01,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,INCOMPLETE,,0
2026-05-02,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,INCOMPLETE,,0
2026-05-03,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,INCOMPLETE,,0
2026-05-04,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,INCOMPLETE,,0
2026-05-05,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,INCOMPLETE,,0
2026-05-06,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,INCOMPLETE,,0
2026-05-07,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,INCOMPLETE,,0
2026-05-08,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,INCOMPLETE,,0
2026-05-09,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,INCOMPLETE,,0
2026-05-10,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,INCOMPLETE,,0
2026-05-11,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,INCOMPLETE,,0
2026-05-12,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,INCOMPLETE,,0
2026-05-13,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,INCOMPLETE,,0
2026-05-14,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,INCOMPLETE,,0
2026-05-15,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,INCOMPLETE,,0
2026-05-16,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,INCOMPLETE,,0
2026-05-17,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,INCOMPLETE,,0
2026-05-18,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,INCOMPLETE,,0
2026-05-19,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,INCOMPLETE,,0
2026-05-20,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,INCOMPLETE,,0
2026-05-21,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,INCOMPLETE,,0
2026-05-22,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,INCOMPLETE,,0
2026-05-23,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,INCOMPLETE,,0
2026-05-24,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,INCOMPLETE,,0
2026-05-25,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,INCOMPLETE,,0
2026-05-26,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,INCOMPLETE,,0
2026-05-27,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,INCOMPLETE,,0
2026-05-28,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,INCOMPLETE,,0
2026-05-29,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,INCOMPLETE,,0
2026-05-30,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,INCOMPLETE,,0
2026-05-31,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,INCOMPLETE,,0
2026-06-01,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,INCOMPLETE,,0
2026-06-02,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,INCOMPLETE,,0
2026-06-03,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,INCOMPLETE,,0
2026-06-04,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,INCOMPLETE,,0
2026-06-05,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,INCOMPLETE,,0
2026-06-06,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,INCOMPLETE,,0
2026-06-07,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,INCOMPLETE,,0
2026-06-08,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,INCOMPLETE,,0
2026-06-09,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,INCOMPLETE,,0
2026-06-10,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,INCOMPLETE,,0
2026-06-11,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,INCOMPLETE,,0
2026-06-12,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,INCOMPLETE,,0
2026-06-13,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,INCOMPLETE,,0
2026-06-14,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,INCOMPLETE,,0
2026-06-15,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,INCOMPLETE,,0
2026-06-16,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,INCOMPLETE,,0
