slate_date,run_tag,run_timestamp_utc,run_timestamp_pt,normal_wrapper_execution_time,decision_ready_output_status,official_games_represented,provider_events,betonline_tb15_sides,two_sided_tb15_markets,same_run_roster_artifact,same_run_roster_rows,exact_game_identity_availability,exact_player_identity_availability,market_source_payload_path,roster_source_payload_path,source_timestamps,original_manifest_hash_availability,current_market_sha256,current_odds_sha256,current_roster_sha256,first_pitch_relationship,run_eligibility_decision,reason
2026-05-01,local_daily_20260501T134007Z,2026-05-01T13:40:07+00:00,2026-05-01T06:40:07-07:00,2026-05-01T13:40:07+00:00,NO,0,15,0,0,backend/mlb/exports/odds_history/2026-05-01/mlb_predictions_wide_calibrated__local_daily_20260501T134007Z.csv,2086,NO,NO,backend/mlb/exports/odds_history/2026-05-01/odds_mlb_playerprops__local_daily_20260501T134007Z.json,backend/mlb/exports/odds_history/2026-05-01/mlb_predictions_wide_calibrated__local_daily_20260501T134007Z.csv,2026-05-01T13:42:53.301966+00:00,NO,,ea0a30ae7ae2c3de5a4b104a4089a32adc1f3bcd68fd141a470d5e673ff43d94,11bb531a4b135c46333ce5e3845d27f69dc1d3c0daeefd2b68c2b680f4f26db2,NOT_CERTIFIED,MARKET_ARTIFACT_MISSING,MARKET_ARTIFACT_MISSING
2026-05-01,local_daily_20260501T163000Z,2026-05-01T16:30:00+00:00,2026-05-01T09:30:00-07:00,2026-05-01T16:30:00+00:00,NO,0,15,0,0,backend/mlb/exports/odds_history/2026-05-01/mlb_predictions_wide_calibrated__local_daily_20260501T163000Z.csv,2146,NO,NO,backend/mlb/exports/odds_history/2026-05-01/odds_mlb_playerprops__local_daily_20260501T163000Z.json,backend/mlb/exports/odds_history/2026-05-01/mlb_predictions_wide_calibrated__local_daily_20260501T163000Z.csv,2026-05-01T16:30:36.571706+00:00,NO,,8d659b342b22994d7997431102d79b0fab90723beedb2649e55638aa3de9bcc9,cb5aab628f2644850f0d30e770f29038ad561f48b79fe30195931e15c8720a69,NOT_CERTIFIED,MARKET_ARTIFACT_MISSING,MARKET_ARTIFACT_MISSING
2026-05-01,local_daily_20260501T180002Z,2026-05-01T18:00:02+00:00,2026-05-01T11:00:02-07:00,2026-05-01T18:00:02+00:00,NO,0,15,0,0,backend/mlb/exports/odds_history/2026-05-01/mlb_predictions_wide_calibrated__local_daily_20260501T180002Z.csv,2144,NO,NO,backend/mlb/exports/odds_history/2026-05-01/odds_mlb_playerprops__local_daily_20260501T180002Z.json,backend/mlb/exports/odds_history/2026-05-01/mlb_predictions_wide_calibrated__local_daily_20260501T180002Z.csv,2026-05-01T18:00:37.904266+00:00,NO,,a9f4c5e203e1a5a85d56e219957cdd0916f0afa1dafea66c890903e805f67598,3d29b649ae5b843ca3620a13f85e171d6e8ae365c5020ab4e7290bf43228c01f,NOT_CERTIFIED,MARKET_ARTIFACT_MISSING,MARKET_ARTIFACT_MISSING
2026-05-01,local_daily_20260501T200001Z,2026-05-01T20:00:01+00:00,2026-05-01T13:00:01-07:00,2026-05-01T20:00:01+00:00,NO,0,15,0,0,backend/mlb/exports/odds_history/2026-05-01/mlb_predictions_wide_calibrated__local_daily_20260501T200001Z.csv,2066,NO,NO,backend/mlb/exports/odds_history/2026-05-01/odds_mlb_playerprops__local_daily_20260501T200001Z.json,backend/mlb/exports/odds_history/2026-05-01/mlb_predictions_wide_calibrated__local_daily_20260501T200001Z.csv,2026-05-01T20:00:38.903817+00:00,NO,,63f427475b63d74b765ece2ab398148d47d805fe4faf307d0469c6f9ef3d3519,551571c3fbc54064d02a4ba6991a0a2487b286094687d38c308a2cf5f7a4f6d1,NOT_CERTIFIED,MARKET_ARTIFACT_MISSING,MARKET_ARTIFACT_MISSING
2026-05-01,local_daily_20260501T233005Z,2026-05-01T23:30:05+00:00,2026-05-01T16:30:05-07:00,2026-05-01T23:30:05+00:00,NO,0,14,0,0,backend/mlb/exports/odds_history/2026-05-01/mlb_predictions_wide_calibrated__local_daily_20260501T233005Z.csv,1750,NO,NO,backend/mlb/exports/odds_history/2026-05-01/odds_mlb_playerprops__local_daily_20260501T233005Z.json,backend/mlb/exports/odds_history/2026-05-01/mlb_predictions_wide_calibrated__local_daily_20260501T233005Z.csv,2026-05-01T23:30:38.596392+00:00,NO,,0eb6cca062b15e505e2f3bf2d977b84be765c793fc3a1b09e1d7716df0c1dc92,804e825d0cbe2c7350cb1a200d38dd6c8a1d0ac7c20396d679fa219521a2adce,NOT_CERTIFIED,MARKET_ARTIFACT_MISSING,MARKET_ARTIFACT_MISSING
2026-05-02,local_daily_20260502T150407Z,2026-05-02T15:04:07+00:00,2026-05-02T08:04:07-07:00,2026-05-02T15:04:07+00:00,NO,0,15,0,0,backend/mlb/exports/odds_history/2026-05-02/mlb_predictions_wide_calibrated__local_daily_20260502T150407Z.csv,2177,NO,NO,backend/mlb/exports/odds_history/2026-05-02/odds_mlb_playerprops__local_daily_20260502T150407Z.json,backend/mlb/exports/odds_history/2026-05-02/mlb_predictions_wide_calibrated__local_daily_20260502T150407Z.csv,2026-05-02T15:07:25.171853+00:00,NO,,594aee15ce4bbedefc7e567845e621ab98e625203777fb7c8ec1df724f461315,f0ed5e5094cd9dca781a86f8d4deff073de25ff0839fa5f1f863fea36161c60e,NOT_CERTIFIED,MARKET_ARTIFACT_MISSING,MARKET_ARTIFACT_MISSING
2026-05-02,local_daily_20260502T163004Z,2026-05-02T16:30:04+00:00,2026-05-02T09:30:04-07:00,2026-05-02T16:30:04+00:00,NO,0,15,0,0,backend/mlb/exports/odds_history/2026-05-02/mlb_predictions_wide_calibrated__local_daily_20260502T163004Z.csv,2217,NO,NO,backend/mlb/exports/odds_history/2026-05-02/odds_mlb_playerprops__local_daily_20260502T163004Z.json,backend/mlb/exports/odds_history/2026-05-02/mlb_predictions_wide_calibrated__local_daily_20260502T163004Z.csv,2026-05-02T16:30:41.831397+00:00,NO,,c5cd04ee260761ab907571fe7c9d4ec72dd6944989d6151294e316b83c89f554,1b4764306ae7ce2150d9867dd44b78dc01b9404ae4254a622a49530012e73df7,NOT_CERTIFIED,MARKET_ARTIFACT_MISSING,MARKET_ARTIFACT_MISSING
2026-05-02,local_daily_20260502T180005Z,2026-05-02T18:00:05+00:00,2026-05-02T11:00:05-07:00,2026-05-02T18:00:05+00:00,NO,0,15,0,0,backend/mlb/exports/odds_history/2026-05-02/mlb_predictions_wide_calibrated__local_daily_20260502T180005Z.csv,2196,NO,NO,backend/mlb/exports/odds_history/2026-05-02/odds_mlb_playerprops__local_daily_20260502T180005Z.json,backend/mlb/exports/odds_history/2026-05-02/mlb_predictions_wide_calibrated__local_daily_20260502T180005Z.csv,2026-05-02T18:00:40.674510+00:00,NO,,d6bf0d7e6e0c1fe74169493d61c1a7ee8f22bccf3bfe4c421cdb8219ec335099,1d9b36c73a89e17cea034236c2dfb4677735be554532526247fcaf671cbc0b30,NOT_CERTIFIED,MARKET_ARTIFACT_MISSING,MARKET_ARTIFACT_MISSING
2026-05-02,local_daily_20260502T200004Z,2026-05-02T20:00:04+00:00,2026-05-02T13:00:04-07:00,2026-05-02T20:00:04+00:00,NO,0,15,0,0,backend/mlb/exports/odds_history/2026-05-02/mlb_predictions_wide_calibrated__local_daily_20260502T200004Z.csv,1977,NO,NO,backend/mlb/exports/odds_history/2026-05-02/odds_mlb_playerprops__local_daily_20260502T200004Z.json,backend/mlb/exports/odds_history/2026-05-02/mlb_predictions_wide_calibrated__local_daily_20260502T200004Z.csv,2026-05-02T20:00:38.485676+00:00,NO,,ab345bfd61ab32ceb86c9ac40eb1d96dadb6962e8ae84df97ed1e251965f8ae7,d8d95397ef1b00f83b990efc962c5b0968c0cd304cc810343cde3ae6e36c22b9,NOT_CERTIFIED,MARKET_ARTIFACT_MISSING,MARKET_ARTIFACT_MISSING
2026-05-02,local_daily_20260502T233001Z,2026-05-02T23:30:01+00:00,2026-05-02T16:30:01-07:00,2026-05-02T23:30:01+00:00,NO,0,7,0,0,backend/mlb/exports/odds_history/2026-05-02/mlb_predictions_wide_calibrated__local_daily_20260502T233001Z.csv,932,NO,NO,backend/mlb/exports/odds_history/2026-05-02/odds_mlb_playerprops__local_daily_20260502T233001Z.json,backend/mlb/exports/odds_history/2026-05-02/mlb_predictions_wide_calibrated__local_daily_20260502T233001Z.csv,2026-05-02T23:30:27.184419+00:00,NO,,d5f85aabe1b47b685aa4f817048da721fd8358d98682109329d1df9afb10a715,c52dc28876f6da13c6cd5f23d0b6dcbc93d6e387e346630e9959e14ba71032a5,NOT_CERTIFIED,MARKET_ARTIFACT_MISSING,MARKET_ARTIFACT_MISSING
