source_lineage_grade,official_role,side,frozen_rows,settled_wagers,wins,losses,voids,supported_nonappearances,book_rule_uncertified,technical_unresolved,stake_at_risk,returned_stake,gross_winning_profit,net_dollars,roi,average_odds
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,DID_NOT_APPEAR,OVER,41,0,0,0,41,41,0,0,0,205,0,0,,
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,DID_NOT_APPEAR,UNDER,41,0,0,0,41,41,0,0,0,205,0,0,,
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,OTHER_SUBSTITUTE,OVER,3,0,0,0,3,0,0,0,0,15,0,0,,
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,OTHER_SUBSTITUTE,UNDER,3,0,0,0,3,0,0,0,0,15,0,0,,
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,PINCH_HITTER,OVER,17,17,2,15,0,0,0,0,85,0,13.17962962962963,-61.82037037037037,-0.7272984749455338,138.8235294117647
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,PINCH_HITTER,UNDER,17,17,15,2,0,0,0,0,85,0,37.993259121154665,27.993259121154665,0.3293324602488784,-198.7058823529412
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,PINCH_RUNNER,OVER,1,0,0,0,1,0,0,0,0,5,0,0,,
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,PINCH_RUNNER,UNDER,1,0,0,0,1,0,0,0,0,5,0,0,,
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,ROLE_AMBIGUOUS_TECHNICAL_UNRESOLVED,OVER,2,0,0,0,0,0,0,2,0,0,0,0,,
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,ROLE_AMBIGUOUS_TECHNICAL_UNRESOLVED,UNDER,2,0,0,0,0,0,0,2,0,0,0,0,,
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,STARTED,OVER,597,588,215,373,9,0,0,0,2940,45,1447.6824352447609,-417.3175647552389,-0.1419447499167479,123.1547619047619
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,STARTED,UNDER,597,588,373,215,9,0,0,0,2940,45,1068.2360747637229,-6.763925236275853,-0.002300654842270698,-178.67857142857142
