slate_date,game_pk,player_mlb_id,player,team,opponent,scheduled_first_pitch_utc,normal_pipeline_run_tag,cohort_freeze_timestamp,provider_event_id,roster_observation_timestamp,roster_ingestion_run,roster_source_payload,roster_source_sha256,over_odds,under_odds,market_observation_timestamp,market_ingestion_run,market_source_payload,market_source_sha256,membership_decision,membership_reason,source_lineage_grade,original_exclusion_reason,recovery_method
2026-07-29,822702,543807,George Springer,TOR,WSH,2026-07-29T17:05:00+00:00,local_daily_20260729T123005Z,2026-07-29T12:30:05+00:00,00cfd9daf945b43d83d13223ae65d32d,2026-07-29T12:33:29.290246+00:00,local_daily_20260729T123005Z,backend/mlb/exports/odds_history/2026-07-29/mlb_predictions_wide_calibrated__local_daily_20260729T123005Z.csv,73631efa01f531391e2bd5860f9b1cec883d3d45f60b593b4f468a5f2b213ecd,106,-137,2026-07-29T12:32:32Z,local_daily_20260729T123005Z,backend/mlb/exports/odds_history/2026-07-29/odds_mlb_playerprops__local_daily_20260729T123005Z.json,c0917cd0d076da85fbac08e2b13b3b5b5f064b4d3b0fcf7141d6c6704e4cf849,ROUTINE_MARKET_BASELINE,SAME_NORMAL_RUN_EXACT_GAME_PLAYER_ROSTER_TWO_SIDED_PREGAME,GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,,
2026-07-29,822702,660688,Keibert Ruiz,WSH,TOR,2026-07-29T17:05:00+00:00,local_daily_20260729T123005Z,2026-07-29T12:30:05+00:00,00cfd9daf945b43d83d13223ae65d32d,2026-07-29T12:33:29.290246+00:00,local_daily_20260729T123005Z,backend/mlb/exports/odds_history/2026-07-29/mlb_predictions_wide_calibrated__local_daily_20260729T123005Z.csv,73631efa01f531391e2bd5860f9b1cec883d3d45f60b593b4f468a5f2b213ecd,171,-227,2026-07-29T12:32:32Z,local_daily_20260729T123005Z,backend/mlb/exports/odds_history/2026-07-29/odds_mlb_playerprops__local_daily_20260729T123005Z.json,c0917cd0d076da85fbac08e2b13b3b5b5f064b4d3b0fcf7141d6c6704e4cf849,ROUTINE_MARKET_BASELINE,SAME_NORMAL_RUN_EXACT_GAME_PLAYER_ROSTER_TWO_SIDED_PREGAME,GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,,
2026-07-29,822702,662139,Daulton Varsho,TOR,WSH,2026-07-29T17:05:00+00:00,local_daily_20260729T123005Z,2026-07-29T12:30:05+00:00,00cfd9daf945b43d83d13223ae65d32d,2026-07-29T12:33:29.290246+00:00,local_daily_20260729T123005Z,backend/mlb/exports/odds_history/2026-07-29/mlb_predictions_wide_calibrated__local_daily_20260729T123005Z.csv,73631efa01f531391e2bd5860f9b1cec883d3d45f60b593b4f468a5f2b213ecd,118,-154,2026-07-29T12:32:32Z,local_daily_20260729T123005Z,backend/mlb/exports/odds_history/2026-07-29/odds_mlb_playerprops__local_daily_20260729T123005Z.json,c0917cd0d076da85fbac08e2b13b3b5b5f064b4d3b0fcf7141d6c6704e4cf849,ROUTINE_MARKET_BASELINE,SAME_NORMAL_RUN_EXACT_GAME_PLAYER_ROSTER_TWO_SIDED_PREGAME,GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,,
2026-07-29,822702,664770,Nathan Lukes,TOR,WSH,2026-07-29T17:05:00+00:00,local_daily_20260729T123005Z,2026-07-29T12:30:05+00:00,00cfd9daf945b43d83d13223ae65d32d,2026-07-29T12:33:29.290246+00:00,local_daily_20260729T123005Z,backend/mlb/exports/odds_history/2026-07-29/mlb_predictions_wide_calibrated__local_daily_20260729T123005Z.csv,73631efa01f531391e2bd5860f9b1cec883d3d45f60b593b4f468a5f2b213ecd,109,-141,2026-07-29T12:32:32Z,local_daily_20260729T123005Z,backend/mlb/exports/odds_history/2026-07-29/odds_mlb_playerprops__local_daily_20260729T123005Z.json,c0917cd0d076da85fbac08e2b13b3b5b5f064b4d3b0fcf7141d6c6704e4cf849,ROUTINE_MARKET_BASELINE,SAME_NORMAL_RUN_EXACT_GAME_PLAYER_ROSTER_TWO_SIDED_PREGAME,GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,,
2026-07-29,822702,672386,Alejandro Kirk,TOR,WSH,2026-07-29T17:05:00+00:00,local_daily_20260729T123005Z,2026-07-29T12:30:05+00:00,00cfd9daf945b43d83d13223ae65d32d,2026-07-29T12:33:29.290246+00:00,local_daily_20260729T123005Z,backend/mlb/exports/odds_history/2026-07-29/mlb_predictions_wide_calibrated__local_daily_20260729T123005Z.csv,73631efa01f531391e2bd5860f9b1cec883d3d45f60b593b4f468a5f2b213ecd,134,-175,2026-07-29T12:32:32Z,local_daily_20260729T123005Z,backend/mlb/exports/odds_history/2026-07-29/odds_mlb_playerprops__local_daily_20260729T123005Z.json,c0917cd0d076da85fbac08e2b13b3b5b5f064b4d3b0fcf7141d6c6704e4cf849,ROUTINE_MARKET_BASELINE,SAME_NORMAL_RUN_EXACT_GAME_PLAYER_ROSTER_TWO_SIDED_PREGAME,GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,,
2026-07-29,822702,672960,Kazuma Okamoto,TOR,WSH,2026-07-29T17:05:00+00:00,local_daily_20260729T123005Z,2026-07-29T12:30:05+00:00,00cfd9daf945b43d83d13223ae65d32d,2026-07-29T12:33:29.290246+00:00,local_daily_20260729T123005Z,backend/mlb/exports/odds_history/2026-07-29/mlb_predictions_wide_calibrated__local_daily_20260729T123005Z.csv,73631efa01f531391e2bd5860f9b1cec883d3d45f60b593b4f468a5f2b213ecd,112,-145,2026-07-29T12:32:32Z,local_daily_20260729T123005Z,backend/mlb/exports/odds_history/2026-07-29/odds_mlb_playerprops__local_daily_20260729T123005Z.json,c0917cd0d076da85fbac08e2b13b3b5b5f064b4d3b0fcf7141d6c6704e4cf849,ROUTINE_MARKET_BASELINE,SAME_NORMAL_RUN_EXACT_GAME_PLAYER_ROSTER_TWO_SIDED_PREGAME,GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,,
2026-07-29,822702,676391,Ernie Clement,TOR,WSH,2026-07-29T17:05:00+00:00,local_daily_20260729T123005Z,2026-07-29T12:30:05+00:00,00cfd9daf945b43d83d13223ae65d32d,2026-07-29T12:33:29.290246+00:00,local_daily_20260729T123005Z,backend/mlb/exports/odds_history/2026-07-29/mlb_predictions_wide_calibrated__local_daily_20260729T123005Z.csv,73631efa01f531391e2bd5860f9b1cec883d3d45f60b593b4f468a5f2b213ecd,122,-159,2026-07-29T12:32:32Z,local_daily_20260729T123005Z,backend/mlb/exports/odds_history/2026-07-29/odds_mlb_playerprops__local_daily_20260729T123005Z.json,c0917cd0d076da85fbac08e2b13b3b5b5f064b4d3b0fcf7141d6c6704e4cf849,ROUTINE_MARKET_BASELINE,SAME_NORMAL_RUN_EXACT_GAME_PLAYER_ROSTER_TWO_SIDED_PREGAME,GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,,
2026-07-29,822702,682928,CJ Abrams,WSH,TOR,2026-07-29T17:05:00+00:00,local_daily_20260729T123005Z,2026-07-29T12:30:05+00:00,00cfd9daf945b43d83d13223ae65d32d,2026-07-29T12:33:29.290246+00:00,local_daily_20260729T123005Z,backend/mlb/exports/odds_history/2026-07-29/mlb_predictions_wide_calibrated__local_daily_20260729T123005Z.csv,73631efa01f531391e2bd5860f9b1cec883d3d45f60b593b4f468a5f2b213ecd,126,-164,2026-07-29T12:32:32Z,local_daily_20260729T123005Z,backend/mlb/exports/odds_history/2026-07-29/odds_mlb_playerprops__local_daily_20260729T123005Z.json,c0917cd0d076da85fbac08e2b13b3b5b5f064b4d3b0fcf7141d6c6704e4cf849,ROUTINE_MARKET_BASELINE,SAME_NORMAL_RUN_EXACT_GAME_PLAYER_ROSTER_TWO_SIDED_PREGAME,GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,,
2026-07-29,822702,686611,Dylan Crews,WSH,TOR,2026-07-29T17:05:00+00:00,local_daily_20260729T123005Z,2026-07-29T12:30:05+00:00,00cfd9daf945b43d83d13223ae65d32d,2026-07-29T12:33:29.290246+00:00,local_daily_20260729T123005Z,backend/mlb/exports/odds_history/2026-07-29/mlb_predictions_wide_calibrated__local_daily_20260729T123005Z.csv,73631efa01f531391e2bd5860f9b1cec883d3d45f60b593b4f468a5f2b213ecd,164,-217,2026-07-29T12:32:32Z,local_daily_20260729T123005Z,backend/mlb/exports/odds_history/2026-07-29/odds_mlb_playerprops__local_daily_20260729T123005Z.json,c0917cd0d076da85fbac08e2b13b3b5b5f064b4d3b0fcf7141d6c6704e4cf849,ROUTINE_MARKET_BASELINE,SAME_NORMAL_RUN_EXACT_GAME_PLAYER_ROSTER_TWO_SIDED_PREGAME,GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,,
2026-07-29,822702,695578,James Wood,WSH,TOR,2026-07-29T17:05:00+00:00,local_daily_20260729T123005Z,2026-07-29T12:30:05+00:00,00cfd9daf945b43d83d13223ae65d32d,2026-07-29T12:33:29.290246+00:00,local_daily_20260729T123005Z,backend/mlb/exports/odds_history/2026-07-29/mlb_predictions_wide_calibrated__local_daily_20260729T123005Z.csv,73631efa01f531391e2bd5860f9b1cec883d3d45f60b593b4f468a5f2b213ecd,126,-164,2026-07-29T12:32:32Z,local_daily_20260729T123005Z,backend/mlb/exports/odds_history/2026-07-29/odds_mlb_playerprops__local_daily_20260729T123005Z.json,c0917cd0d076da85fbac08e2b13b3b5b5f064b4d3b0fcf7141d6c6704e4cf849,ROUTINE_MARKET_BASELINE,SAME_NORMAL_RUN_EXACT_GAME_PLAYER_ROSTER_TWO_SIDED_PREGAME,GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,,
