side,omitted_cluster_type,omitted_cluster,settled_wagers,wins,losses,net,roi
OVER,slate_date,2026-05-01,8494,3225,5269,-4851.761642688569,-0.1142397372895825
OVER,slate_date,2026-05-02,8537,3234,5303,-4954.676986603913,-0.11607536573981289
OVER,slate_date,2026-05-03,8476,3206,5270,-4967.349675784105,-0.11720976110863862
OVER,slate_date,2026-05-04,8517,3235,5282,-4835.506544876236,-0.1135495255342547
OVER,slate_date,2026-05-05,8521,3234,5287,-4863.950000225694,-0.11416383054161938
OVER,slate_date,2026-05-06,8530,3238,5292,-4858.559452598533,-0.11391698599293161
OVER,slate_date,2026-05-07,8533,3242,5291,-4837.96797844321,-0.11339430395976116
OVER,slate_date,2026-05-08,8489,3230,5259,-4775.297475900547,-0.11250553600896566
OVER,slate_date,2026-05-09,8477,3221,5256,-4801.019939227522,-0.11327167486675763
OVER,slate_date,2026-05-10,8482,3230,5252,-4722.133641190936,-0.11134481587340099
OVER,slate_date,2026-05-11,8586,3259,5327,-4903.485059239656,-0.11422047657208609
OVER,slate_date,2026-05-12,8491,3223,5268,-4850.302063072399,-0.11424572048221407
OVER,slate_date,2026-05-13,8518,3234,5284,-4858.331185357122,-0.1140721104803269
OVER,slate_date,2026-05-14,8522,3235,5287,-4878.592381940793,-0.11449407139030257
OVER,slate_date,2026-05-15,8520,3231,5289,-4881.614662844777,-0.11459189349400885
OVER,slate_date,2026-05-16,8471,3209,5262,-4913.453834557798,-0.11600646522388851
OVER,slate_date,2026-05-17,8516,3228,5288,-4914.64704992313,-0.11542149013440887
OVER,slate_date,2026-05-18,8468,3213,5255,-4846.254302860147,-0.1144604228356199
OVER,slate_date,2026-05-19,8474,3210,5264,-4931.383636351972,-0.1163885682405469
OVER,slate_date,2026-05-20,8503,3219,5284,-4958.446031585775,-0.11662815551183758
OVER,slate_date,2026-05-21,8577,3261,5316,-4842.542595069521,-0.11291926303065222
OVER,slate_date,2026-05-22,8500,3232,5268,-4800.866649653598,-0.11296156822714348
OVER,slate_date,2026-05-23,8486,3227,5259,-4778.129342673655,-0.11261205144175476
OVER,slate_date,2026-06-19,8506,3212,5294,-5044.334219061398,-0.11860649468754755
OVER,slate_date,2026-06-20,8489,3216,5273,-4927.255748894829,-0.11608565788419906
