source_lineage_grade,governing_run_time_pt,side,frozen_rows,settled_wagers,wins,losses,voids,supported_nonappearances,book_rule_uncertified,technical_unresolved,stake_at_risk,returned_stake,gross_winning_profit,net_dollars,roi,average_odds
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,05:30,OVER,5315,4954,1861,3093,327,299,0,34,24770,1635,12420.426912718915,-3044.573087281104,-0.12291372980545434,122.80964876867178
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,05:30,UNDER,5315,4954,3093,1861,327,299,0,34,24770,1635,8810.290559664014,-494.709440335961,-0.01997212112781433,-177.95518772708922
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,05:31,OVER,173,165,62,103,8,8,0,0,825,40,415.0216281513453,-99.97837184865469,-0.12118590527109659,130.12727272727273
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,05:31,UNDER,173,165,103,62,8,8,0,0,825,40,293.27386197338507,-16.726138026614898,-0.02027410669892715,-178.6909090909091
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,05:32,OVER,191,178,73,105,12,11,0,1,890,60,482.37440600775335,-42.62559399224649,-0.04789392583398482,122.92696629213484
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,05:32,UNDER,191,178,105,73,12,11,0,1,890,60,298.97031596889536,-66.02968403110467,-0.07419065621472434,-172.3988764044944
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,05:34,OVER,140,134,46,88,5,5,0,1,670,25,299.03617832589384,-140.9638216741061,-0.21039376369269566,116.38059701492537
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,05:34,UNDER,140,134,88,46,5,5,0,1,670,25,257.66422157137885,27.66422157137888,0.04128988294235654,-174.06716417910448
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,05:35,OVER,527,488,197,291,33,30,0,6,2440,165,1329.942433946191,-125.05756605380903,-0.05125310084172501,124.12295081967213
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,05:35,UNDER,527,488,291,197,33,30,0,6,2440,165,822.3738827407645,-162.6261172592352,-0.06665004805706361,-179.9877049180328
