slate_date,cause,detail
2026-05-01,INVENTORY_QUERY_TOO_NARROW,Raw run-tagged odds payload and same-run roster contained exact evidence; derived market snapshot path was absent.
2026-05-02,INVENTORY_QUERY_TOO_NARROW,Raw run-tagged odds payload and same-run roster contained exact evidence; derived market snapshot path was absent.
2026-05-03,INVENTORY_QUERY_TOO_NARROW,Raw run-tagged odds payload and same-run roster contained exact evidence; derived market snapshot path was absent.
2026-05-04,INVENTORY_QUERY_TOO_NARROW,Raw run-tagged odds payload and same-run roster contained exact evidence; derived market snapshot path was absent.
2026-05-05,INVENTORY_QUERY_TOO_NARROW,Raw run-tagged odds payload and same-run roster contained exact evidence; derived market snapshot path was absent.
2026-05-06,INVENTORY_QUERY_TOO_NARROW,Raw run-tagged odds payload and same-run roster contained exact evidence; derived market snapshot path was absent.
2026-05-07,INVENTORY_QUERY_TOO_NARROW,Raw run-tagged odds payload and same-run roster contained exact evidence; derived market snapshot path was absent.
2026-05-08,INVENTORY_QUERY_TOO_NARROW,Raw run-tagged odds payload and same-run roster contained exact evidence; derived market snapshot path was absent.
2026-05-09,INVENTORY_QUERY_TOO_NARROW,Raw run-tagged odds payload and same-run roster contained exact evidence; derived market snapshot path was absent.
2026-05-10,INVENTORY_QUERY_TOO_NARROW,Raw run-tagged odds payload and same-run roster contained exact evidence; derived market snapshot path was absent.
2026-05-11,INVENTORY_QUERY_TOO_NARROW,Raw run-tagged odds payload and same-run roster contained exact evidence; derived market snapshot path was absent.
2026-05-12,INVENTORY_QUERY_TOO_NARROW,Raw run-tagged odds payload and same-run roster contained exact evidence; derived market snapshot path was absent.
2026-05-13,INVENTORY_QUERY_TOO_NARROW,Raw run-tagged odds payload and same-run roster contained exact evidence; derived market snapshot path was absent.
2026-05-14,INVENTORY_QUERY_TOO_NARROW,Raw run-tagged odds payload and same-run roster contained exact evidence; derived market snapshot path was absent.
2026-05-15,INVENTORY_QUERY_TOO_NARROW,Raw run-tagged odds payload and same-run roster contained exact evidence; derived market snapshot path was absent.
2026-05-16,INVENTORY_QUERY_TOO_NARROW,Raw run-tagged odds payload and same-run roster contained exact evidence; derived market snapshot path was absent.
2026-05-17,INVENTORY_QUERY_TOO_NARROW,Raw run-tagged odds payload and same-run roster contained exact evidence; derived market snapshot path was absent.
2026-05-18,INVENTORY_QUERY_TOO_NARROW,Raw run-tagged odds payload and same-run roster contained exact evidence; derived market snapshot path was absent.
2026-05-19,INVENTORY_QUERY_TOO_NARROW,Raw run-tagged odds payload and same-run roster contained exact evidence; derived market snapshot path was absent.
2026-05-20,INVENTORY_QUERY_TOO_NARROW,Raw run-tagged odds payload and same-run roster contained exact evidence; derived market snapshot path was absent.
2026-05-21,INVENTORY_QUERY_TOO_NARROW,Raw run-tagged odds payload and same-run roster contained exact evidence; derived market snapshot path was absent.
2026-05-22,INVENTORY_QUERY_TOO_NARROW,Raw run-tagged odds payload and same-run roster contained exact evidence; derived market snapshot path was absent.
2026-05-23,INVENTORY_QUERY_TOO_NARROW,Raw run-tagged odds payload and same-run roster contained exact evidence; derived market snapshot path was absent.
2026-06-19,INVENTORY_QUERY_TOO_NARROW,Raw run-tagged odds payload and same-run roster contained exact evidence; derived market snapshot path was absent.
2026-06-20,INVENTORY_QUERY_TOO_NARROW,Raw run-tagged odds payload and same-run roster contained exact evidence; derived market snapshot path was absent.
2026-06-21,INVENTORY_QUERY_TOO_NARROW,Raw run-tagged odds payload and same-run roster contained exact evidence; derived market snapshot path was absent.
2026-06-22,INVENTORY_QUERY_TOO_NARROW,Raw run-tagged odds payload and same-run roster contained exact evidence; derived market snapshot path was absent.
2026-06-23,INVENTORY_QUERY_TOO_NARROW,Raw run-tagged odds payload and same-run roster contained exact evidence; derived market snapshot path was absent.
2026-06-24,INVENTORY_QUERY_TOO_NARROW,Raw run-tagged odds payload and same-run roster contained exact evidence; derived market snapshot path was absent.
2026-06-25,INVENTORY_QUERY_TOO_NARROW,Raw run-tagged odds payload and same-run roster contained exact evidence; derived market snapshot path was absent.
2026-06-26,INVENTORY_QUERY_TOO_NARROW,Raw run-tagged odds payload and same-run roster contained exact evidence; derived market snapshot path was absent.
2026-06-27,INVENTORY_QUERY_TOO_NARROW,Raw run-tagged odds payload and same-run roster contained exact evidence; derived market snapshot path was absent.
2026-06-28,INVENTORY_QUERY_TOO_NARROW,Raw run-tagged odds payload and same-run roster contained exact evidence; derived market snapshot path was absent.
2026-06-29,INVENTORY_QUERY_TOO_NARROW,Raw run-tagged odds payload and same-run roster contained exact evidence; derived market snapshot path was absent.
2026-06-30,INVENTORY_QUERY_TOO_NARROW,Raw run-tagged odds payload and same-run roster contained exact evidence; derived market snapshot path was absent.
2026-07-01,INVENTORY_QUERY_TOO_NARROW,Raw run-tagged odds payload and same-run roster contained exact evidence; derived market snapshot path was absent.
2026-07-02,INVENTORY_QUERY_TOO_NARROW,Raw run-tagged odds payload and same-run roster contained exact evidence; derived market snapshot path was absent.
2026-07-03,INVENTORY_QUERY_TOO_NARROW,Raw run-tagged odds payload and same-run roster contained exact evidence; derived market snapshot path was absent.
2026-07-04,INVENTORY_QUERY_TOO_NARROW,Raw run-tagged odds payload and same-run roster contained exact evidence; derived market snapshot path was absent.
2026-07-05,INVENTORY_QUERY_TOO_NARROW,Raw run-tagged odds payload and same-run roster contained exact evidence; derived market snapshot path was absent.
2026-07-06,INVENTORY_QUERY_TOO_NARROW,Raw run-tagged odds payload and same-run roster contained exact evidence; derived market snapshot path was absent.
2026-07-07,INVENTORY_QUERY_TOO_NARROW,Raw run-tagged odds payload and same-run roster contained exact evidence; derived market snapshot path was absent.
2026-07-08,INVENTORY_QUERY_TOO_NARROW,Raw run-tagged odds payload and same-run roster contained exact evidence; derived market snapshot path was absent.
2026-07-09,INVENTORY_QUERY_TOO_NARROW,Raw run-tagged odds payload and same-run roster contained exact evidence; derived market snapshot path was absent.
2026-07-10,INVENTORY_QUERY_TOO_NARROW,Raw run-tagged odds payload and same-run roster contained exact evidence; derived market snapshot path was absent.
2026-07-11,INVENTORY_QUERY_TOO_NARROW,Raw run-tagged odds payload and same-run roster contained exact evidence; derived market snapshot path was absent.
2026-07-12,INVENTORY_QUERY_TOO_NARROW,Raw run-tagged odds payload and same-run roster contained exact evidence; derived market snapshot path was absent.
2026-07-19,INVENTORY_QUERY_TOO_NARROW,Raw run-tagged odds payload and same-run roster contained exact evidence; derived market snapshot path was absent.
2026-07-20,INVENTORY_QUERY_TOO_NARROW,Raw run-tagged odds payload and same-run roster contained exact evidence; derived market snapshot path was absent.
2026-07-21,INVENTORY_QUERY_TOO_NARROW,Raw run-tagged odds payload and same-run roster contained exact evidence; derived market snapshot path was absent.
2026-07-22,INVENTORY_QUERY_TOO_NARROW,Raw run-tagged odds payload and same-run roster contained exact evidence; derived market snapshot path was absent.
2026-07-23,INVENTORY_QUERY_TOO_NARROW,Raw run-tagged odds payload and same-run roster contained exact evidence; derived market snapshot path was absent.
2026-07-24,INVENTORY_QUERY_TOO_NARROW,Raw run-tagged odds payload and same-run roster contained exact evidence; derived market snapshot path was absent.
2026-07-25,INVENTORY_QUERY_TOO_NARROW,Raw run-tagged odds payload and same-run roster contained exact evidence; derived market snapshot path was absent.
2026-07-26,INVENTORY_QUERY_TOO_NARROW,Raw run-tagged odds payload and same-run roster contained exact evidence; derived market snapshot path was absent.
2026-07-27,INVENTORY_QUERY_TOO_NARROW,Raw run-tagged odds payload and same-run roster contained exact evidence; derived market snapshot path was absent.
2026-07-28,INVENTORY_QUERY_TOO_NARROW,Raw run-tagged odds payload and same-run roster contained exact evidence; derived market snapshot path was absent.
