slate_date,run_tag,identities,games,recovery_classification,odds_path,odds_sha256,roster_path,roster_sha256
2026-05-01,local_daily_20260501T134007Z,150,14,RECOVERED_GRADE_B_EXACT_REPLAY,backend/mlb/exports/odds_history/2026-05-01/odds_mlb_playerprops__local_daily_20260501T134007Z.json,ea0a30ae7ae2c3de5a4b104a4089a32adc1f3bcd68fd141a470d5e673ff43d94,backend/mlb/exports/odds_history/2026-05-01/mlb_predictions_wide_calibrated__local_daily_20260501T134007Z.csv,11bb531a4b135c46333ce5e3845d27f69dc1d3c0daeefd2b68c2b680f4f26db2
2026-05-02,local_daily_20260502T150407Z,106,14,RECOVERED_GRADE_B_EXACT_REPLAY,backend/mlb/exports/odds_history/2026-05-02/odds_mlb_playerprops__local_daily_20260502T150407Z.json,594aee15ce4bbedefc7e567845e621ab98e625203777fb7c8ec1df724f461315,backend/mlb/exports/odds_history/2026-05-02/mlb_predictions_wide_calibrated__local_daily_20260502T150407Z.csv,f0ed5e5094cd9dca781a86f8d4deff073de25ff0839fa5f1f863fea36161c60e
2026-05-03,local_daily_20260503T123919Z,177,15,RECOVERED_GRADE_B_EXACT_REPLAY,backend/mlb/exports/odds_history/2026-05-03/odds_mlb_playerprops__local_daily_20260503T123919Z.json,f354d6ccc8ee279ebd70f8f653c499d9ef9d6c94a3d368c91d8200522e5c8917,backend/mlb/exports/odds_history/2026-05-03/mlb_predictions_wide_calibrated__local_daily_20260503T123919Z.csv,b328be3ef2fa318f6f0e2a6d6292c829aaa26bc0254f20669bd8a06b00f2d845
2026-05-04,local_daily_20260504T124203Z,133,12,RECOVERED_GRADE_B_EXACT_REPLAY,backend/mlb/exports/odds_history/2026-05-04/odds_mlb_playerprops__local_daily_20260504T124203Z.json,12bec7abbd5d2cb94dee0f34a7dba606fd5329e359931b76aad492d40f3aba19,backend/mlb/exports/odds_history/2026-05-04/mlb_predictions_wide_calibrated__local_daily_20260504T124203Z.csv,f6da7228ceea681de823b01f0d8cffdcaf183ff0b634804a222ae5dd543c4cc6
2026-05-05,local_daily_20260505T163000Z,125,14,RECOVERED_GRADE_B_EXACT_REPLAY,backend/mlb/exports/odds_history/2026-05-05/odds_mlb_playerprops__local_daily_20260505T163000Z.json,0c5fc702f99c57d3927cb2f44a17fdf2a64530c3305a5ea81fa29c862dbc9c2f,backend/mlb/exports/odds_history/2026-05-05/mlb_predictions_wide_calibrated__local_daily_20260505T163000Z.csv,dc247477d6ac132f5e147be302714c141e2a73bef835c523031327543c4be391
2026-05-06,local_daily_20260506T123000Z,116,13,RECOVERED_GRADE_B_EXACT_REPLAY,backend/mlb/exports/odds_history/2026-05-06/odds_mlb_playerprops__local_daily_20260506T123000Z.json,28d1d3e9511036e0e661d1210f42e35c9b8535eefa65f2bc6767b2c16a86a074,backend/mlb/exports/odds_history/2026-05-06/mlb_predictions_wide_calibrated__local_daily_20260506T123000Z.csv,9a98af55d5955d3538afd21a0b40576f30f0e877ec40cc1e66ed665ba76764ba
2026-05-07,local_daily_20260507T123004Z,119,9,RECOVERED_GRADE_B_EXACT_REPLAY,backend/mlb/exports/odds_history/2026-05-07/odds_mlb_playerprops__local_daily_20260507T123004Z.json,b49f92cefc357726049c60555282a214b7dd4ac90d10d178ec1a8a25998ea014,backend/mlb/exports/odds_history/2026-05-07/mlb_predictions_wide_calibrated__local_daily_20260507T123004Z.csv,20aac45ed76658a35f8a64f7be506982bf759359a6348e80b4ac07fd26b9011e
2026-05-08,local_daily_20260508T123001Z,154,14,RECOVERED_GRADE_B_EXACT_REPLAY,backend/mlb/exports/odds_history/2026-05-08/odds_mlb_playerprops__local_daily_20260508T123001Z.json,7779689d4b418cdd6357149bdf87ead8ddf460312eb6bdef12b07b0919ea6110,backend/mlb/exports/odds_history/2026-05-08/mlb_predictions_wide_calibrated__local_daily_20260508T123001Z.csv,f389958f07a1ca64300f97dd4d50710fdd281f5adbc59074b31d6862ef995a17
2026-05-09,local_daily_20260509T123001Z,174,15,RECOVERED_GRADE_B_EXACT_REPLAY,backend/mlb/exports/odds_history/2026-05-09/odds_mlb_playerprops__local_daily_20260509T123001Z.json,298d833d2fd04a1d976cfa029f0db49dcef8b00f5a8a801b1e03dcd296f5b9a6,backend/mlb/exports/odds_history/2026-05-09/mlb_predictions_wide_calibrated__local_daily_20260509T123001Z.csv,e675d33e539963a3220f1e9e1ae20a32a5df3720ea74bb009081f3206fa6c889
2026-05-10,local_daily_20260510T123005Z,169,15,RECOVERED_GRADE_B_EXACT_REPLAY,backend/mlb/exports/odds_history/2026-05-10/odds_mlb_playerprops__local_daily_20260510T123005Z.json,a366e1b61971b969596ab8cffefdb36ea6c150b6e2eb2114e6e848f50702061b,backend/mlb/exports/odds_history/2026-05-10/mlb_predictions_wide_calibrated__local_daily_20260510T123005Z.csv,66acf34337caf74a35e9425091ae703baf6cd6b87ca639eccf950658b95d66e5
2026-05-11,local_daily_20260511T123000Z,53,5,RECOVERED_GRADE_B_EXACT_REPLAY,backend/mlb/exports/odds_history/2026-05-11/odds_mlb_playerprops__local_daily_20260511T123000Z.json,1caeaac4054484dd9d76ea7b992ff457570dc6f35924f24b6418109e375c7f09,backend/mlb/exports/odds_history/2026-05-11/mlb_predictions_wide_calibrated__local_daily_20260511T123000Z.csv,536e5c8b20c8c407c4b263abb39ab5c2942f4fc036b427de3f167b68145048dc
2026-05-12,local_daily_20260512T123004Z,153,13,RECOVERED_GRADE_B_EXACT_REPLAY,backend/mlb/exports/odds_history/2026-05-12/odds_mlb_playerprops__local_daily_20260512T123004Z.json,19421cf0ed9bb3e6f43db8829e907ddd5c1033869b49332e5fef92dca269b57e,backend/mlb/exports/odds_history/2026-05-12/mlb_predictions_wide_calibrated__local_daily_20260512T123004Z.csv,a762cc8163be091f85f75566e12a3bf63eb063b672a74747d04167e5caeed1b6
2026-05-13,local_daily_20260513T123003Z,130,13,RECOVERED_GRADE_B_EXACT_REPLAY,backend/mlb/exports/odds_history/2026-05-13/odds_mlb_playerprops__local_daily_20260513T123003Z.json,dcd1279233f69993ae8f6dbd923d640320a743b072b7307d0f5783ed8e0438f8,backend/mlb/exports/odds_history/2026-05-13/mlb_predictions_wide_calibrated__local_daily_20260513T123003Z.csv,abc24ece2fda63fdef87197f5910551234b61bbd5c090b22d3cf55d1da5edd30
2026-05-14,local_daily_20260514T123002Z,126,11,RECOVERED_GRADE_B_EXACT_REPLAY,backend/mlb/exports/odds_history/2026-05-14/odds_mlb_playerprops__local_daily_20260514T123002Z.json,8c2eb3b59389c03515e6bcbc410ab50413876e54ecd0b00c8d2c6b1e276a1057,backend/mlb/exports/odds_history/2026-05-14/mlb_predictions_wide_calibrated__local_daily_20260514T123002Z.csv,2f768a9d25d9e807586601fc687da5ef19fcee9fcde9a0fe86bb7f7bb7d0c881
2026-05-15,local_daily_20260515T123000Z,125,14,RECOVERED_GRADE_B_EXACT_REPLAY,backend/mlb/exports/odds_history/2026-05-15/odds_mlb_playerprops__local_daily_20260515T123000Z.json,b52a3c599a7da11218fb5a90c55362f16fdcba7738cbfc56c0980d212a0d84df,backend/mlb/exports/odds_history/2026-05-15/mlb_predictions_wide_calibrated__local_daily_20260515T123000Z.csv,5ae8c357ab6c811e65268eddbb702a0e65c92fee59a14e33590f0497a2de8101
2026-05-16,local_daily_20260516T123000Z,183,15,RECOVERED_GRADE_B_EXACT_REPLAY,backend/mlb/exports/odds_history/2026-05-16/odds_mlb_playerprops__local_daily_20260516T123000Z.json,63fa0f38d53005c2dbdfda515e501ac23288570bbf4f6f4d23fa20479670ddd6,backend/mlb/exports/odds_history/2026-05-16/mlb_predictions_wide_calibrated__local_daily_20260516T123000Z.csv,bda446ecfc68f930e5efe3d294861887fe455d2c03966c8752f7b8ad5fbd32d9
2026-05-17,local_daily_20260517T123002Z,140,14,RECOVERED_GRADE_B_EXACT_REPLAY,backend/mlb/exports/odds_history/2026-05-17/odds_mlb_playerprops__local_daily_20260517T123002Z.json,f45c4049c8988ae902652910280ca0db8f05ac7a53a6ae69b989d7e8bd21f481,backend/mlb/exports/odds_history/2026-05-17/mlb_predictions_wide_calibrated__local_daily_20260517T123002Z.csv,c76f4a1a326b54b4ea2273e5ea736751a8f5cf03f13b53091261452ae4c9ff1a
2026-05-18,local_daily_20260518T123000Z,183,14,RECOVERED_GRADE_B_EXACT_REPLAY,backend/mlb/exports/odds_history/2026-05-18/odds_mlb_playerprops__local_daily_20260518T123000Z.json,458e3d076d87f790edf1eff5278df245f37343c8c4f2a66e7b279900dd1795a6,backend/mlb/exports/odds_history/2026-05-18/mlb_predictions_wide_calibrated__local_daily_20260518T123000Z.csv,3c26ecb856e3970dad1e0f6ddeb0b5eb1e6c63eee53db946446b25e310854030
2026-05-19,local_daily_20260519T123000Z,172,15,RECOVERED_GRADE_B_EXACT_REPLAY,backend/mlb/exports/odds_history/2026-05-19/odds_mlb_playerprops__local_daily_20260519T123000Z.json,601e6125c49ba69d415ddf9a6ddea2fcd2b77165e2a131ad4daf81ff21fce303,backend/mlb/exports/odds_history/2026-05-19/mlb_predictions_wide_calibrated__local_daily_20260519T123000Z.csv,fa4c538a071c44bd302adefae0a5f8895edbc646f88b95a2222f262f0ca3f79d
2026-05-20,local_daily_20260520T123004Z,149,12,RECOVERED_GRADE_B_EXACT_REPLAY,backend/mlb/exports/odds_history/2026-05-20/odds_mlb_playerprops__local_daily_20260520T123004Z.json,226ae47a86841ad2c4286a0ebe872afad62727060ba3cf1a8c77e4a7940d1932,backend/mlb/exports/odds_history/2026-05-20/mlb_predictions_wide_calibrated__local_daily_20260520T123004Z.csv,0915e8bd907a5a6f5143f40e98008d909caf5ee603cdc1f53d283bfce9cd9990
2026-05-21,local_daily_20260521T123004Z,63,6,RECOVERED_GRADE_B_EXACT_REPLAY,backend/mlb/exports/odds_history/2026-05-21/odds_mlb_playerprops__local_daily_20260521T123004Z.json,2091da625f5f1835afa50c1af84f33f73f4b9e680a5e449d19a6b35a7b6154e8,backend/mlb/exports/odds_history/2026-05-21/mlb_predictions_wide_calibrated__local_daily_20260521T123004Z.csv,afeea6071450a86ed618984c0841de762cdc527e27db1a3c262948bc65d953f5
2026-05-22,local_daily_20260522T123000Z,148,15,RECOVERED_GRADE_B_EXACT_REPLAY,backend/mlb/exports/odds_history/2026-05-22/odds_mlb_playerprops__local_daily_20260522T123000Z.json,9356d3a1a78a68101d24123cb17973e4e27ac19e188de559e09985f7d5222aa9,backend/mlb/exports/odds_history/2026-05-22/mlb_predictions_wide_calibrated__local_daily_20260522T123000Z.csv,44cf70551d6b84740c9df4591f46ee056c06984e8f99f30d8df0fba5f710eedc
2026-05-23,local_daily_20260523T123002Z,171,15,RECOVERED_GRADE_B_EXACT_REPLAY,backend/mlb/exports/odds_history/2026-05-23/odds_mlb_playerprops__local_daily_20260523T123002Z.json,511fb7d47eb986e4c21021cd678659e2e980df8716ded302cd35178567b652bb,backend/mlb/exports/odds_history/2026-05-23/mlb_predictions_wide_calibrated__local_daily_20260523T123002Z.csv,705b7c0cbf8e584080e191bd261a5566536a1f5cea1bdbde252e0cce795ae2ff
2026-06-19,local_daily_20260619T123658Z,144,13,RECOVERED_GRADE_B_EXACT_REPLAY,backend/mlb/exports/odds_history/2026-06-19/odds_mlb_playerprops__local_daily_20260619T123658Z.json,efa346101e64d6c1226e397277e6a32c3bce6520bed0c716b11f5ad8165431ed,backend/mlb/exports/odds_history/2026-06-19/mlb_predictions_wide_calibrated__local_daily_20260619T123658Z.csv,e7b01f788ec7924dd1d0e9a8d7565640008744f4e4603b62de708511400ddb9b
2026-06-20,local_daily_20260620T123541Z,162,14,RECOVERED_GRADE_B_EXACT_REPLAY,backend/mlb/exports/odds_history/2026-06-20/odds_mlb_playerprops__local_daily_20260620T123541Z.json,3dd74994992afab0a8434f6d5d475ebdc50d19df9bad0df1d095cc77ef830714,backend/mlb/exports/odds_history/2026-06-20/mlb_predictions_wide_calibrated__local_daily_20260620T123541Z.csv,0d100da7664278577e3c71ce02906d6659af263f7ff26dd8eff72192f70b2980
