slate_date,partition,game_pk,player_mlb_id,books_observed,books_executable,betonline_odds,best_observed_book,best_observed_odds,best_executable_book,best_executable_odds,median_odds,american_odds_improvement_vs_betonline,break_even_improvement_vs_betonline
2026-05-01,DESIGN,822744,650859,5,1,-172.0,bovada,-160.0,betonlineag,-172.0,-163.99999999999997,12.0,0.016968325791855143
2026-05-01,DESIGN,822744,668930,6,1,-169.0,draftkings,-159.0,betonlineag,-169.0,-165.4259818731118,10.0,0.01435317420447535
2026-05-01,DESIGN,822744,669003,5,1,-189.0,williamhill_us,-176.0,betonlineag,-189.0,-181.00000000000003,13.0,0.016298079334035487
2026-05-01,DESIGN,822744,686217,5,1,-227.0,bovada,-210.0,betonlineag,-227.0,-212.99999999999994,17.0,0.01677024760777357
2026-05-01,DESIGN,822744,695578,2,1,-217.0,betonlineag,-217.0,betonlineag,-217.0,-218.48970251716253,0.0,0.0
2026-05-01,DESIGN,822744,695734,2,1,-233.0,betonlineag,-233.0,betonlineag,-233.0,-233.4989293361884,0.0,0.0
2026-05-01,DESIGN,822990,646240,2,1,-208.0,betonlineag,-208.0,betonlineag,-208.0,-209.98095238095235,0.0,0.0
2026-05-01,DESIGN,822990,656305,2,1,-227.0,betonlineag,-227.0,betonlineag,-227.0,-228.4901531728665,0.0,0.0
2026-05-01,DESIGN,822990,802415,5,1,-217.0,williamhill_us,-213.0,betonlineag,-217.0,-219.99999999999997,4.0,0.0040314046421624505
2026-05-01,DESIGN,823066,500743,2,1,-200.0,betonlineag,-200.0,betonlineag,-200.0,-201.98019801980197,0.0,0.0
2026-05-01,DESIGN,823066,518692,6,1,-164.0,bovada,-150.0,betonlineag,-164.0,-160.42367601246107,14.0,0.021212121212121238
2026-05-01,DESIGN,823066,669257,6,1,-152.0,draftkings,-142.0,betonlineag,-152.0,-152.0,10.0,0.016397743670470866
2026-05-01,DESIGN,823066,669289,2,1,-217.0,betonlineag,-217.0,betonlineag,-217.0,-218.48970251716253,0.0,0.0
2026-05-01,DESIGN,823066,681624,6,1,-161.0,draftkings,-155.0,betonlineag,-161.0,-162.48615384615385,6.0,0.009015100292990796
