book_key,partition,c1_selected_rows,rows_with_betonline_price,rows_with_at_least_one_alternate_price,rows_with_at_least_two_alternate_prices,rows_with_improved_observed_price,rows_with_improved_executable_price,rows_where_betonline_was_best,rows_where_betonline_tied_best,rows_where_another_book_was_best,dates_covered,c1_rows_offered,coverage_percentage,over_agreement_rows,under_agreement_rows,average_price_difference_vs_betonline,median_price_difference_vs_betonline
ALL,VALIDATION,1143.0,1143.0,792.0,725.0,735.0,0.0,393.0,15.0,735.0,,,,,,,
betmgm,VALIDATION,,,,,,,,,,11.0,648.0,0.5669291338582677,21.0,627.0,3.9228395061728394,4.0
betonlineag,VALIDATION,,,,,,,,,,11.0,1143.0,1.0,21.0,1122.0,0.0,0.0
betrivers,VALIDATION,,,,,,,,,,8.0,20.0,0.017497812773403325,20.0,0.0,-9.8,-10.5
bovada,VALIDATION,,,,,,,,,,9.0,535.0,0.4680664916885389,13.0,522.0,1.4878504672897197,2.0
draftkings,VALIDATION,,,,,,,,,,11.0,670.0,0.5861767279090113,21.0,649.0,0.7522388059701492,1.0
fanatics,VALIDATION,,,,,,,,,,10.0,40.0,0.03499562554680665,0.0,40.0,-0.825,-1.0
mybookieag,VALIDATION,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
williamhill_us,VALIDATION,,,,,,,,,,11.0,730.0,0.6386701662292213,21.0,709.0,5.3712328767123285,5.5
ALL,HOLDOUT,998.0,998.0,651.0,612.0,611.0,0.0,371.0,16.0,611.0,,,,,,,
betmgm,HOLDOUT,,,,,,,,,,11.0,530.0,0.531062124248497,7.0,523.0,4.069811320754717,4.0
betonlineag,HOLDOUT,,,,,,,,,,11.0,998.0,1.0,7.0,991.0,0.0,0.0
betrivers,HOLDOUT,,,,,,,,,,5.0,6.0,0.006012024048096192,6.0,0.0,-17.0,-14.0
bovada,HOLDOUT,,,,,,,,,,11.0,553.0,0.5541082164328658,7.0,546.0,2.334538878842676,2.0
draftkings,HOLDOUT,,,,,,,,,,10.0,488.0,0.48897795591182364,6.0,482.0,1.6434426229508197,2.0
fanatics,HOLDOUT,,,,,,,,,,10.0,42.0,0.04208416833667335,0.0,42.0,3.738095238095238,4.0
mybookieag,HOLDOUT,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
williamhill_us,HOLDOUT,,,,,,,,,,11.0,620.0,0.6212424849699398,7.0,613.0,5.806451612903226,6.0
ALL,FULL,5902.0,5902.0,4225.0,3707.0,3736.0,0.0,2068.0,98.0,3736.0,,,,,,,
betmgm,FULL,,,,,,,,,,62.0,3084.0,0.5225347339884785,117.0,2967.0,2.4163424124513617,2.0
betonlineag,FULL,,,,,,,,,,62.0,5902.0,1.0,121.0,5781.0,0.0,0.0
betrivers,FULL,,,,,,,,,,38.0,82.0,0.013893595391392748,82.0,0.0,-13.121951219512194,-13.0
bovada,FULL,,,,,,,,,,59.0,3224.0,0.5462555066079295,110.0,3114.0,2.5846774193548385,2.0
draftkings,FULL,,,,,,,,,,61.0,3359.0,0.5691291087766859,119.0,3240.0,1.9952366775826138,2.0
fanatics,FULL,,,,,,,,,,55.0,191.0,0.03236191121653677,6.0,185.0,3.2931937172774868,2.0
mybookieag,FULL,,,,,,,,,,13.0,855.0,0.14486614706879025,18.0,837.0,-3.4128654970760235,-4.0
williamhill_us,FULL,,,,,,,,,,61.0,3660.0,0.6201287699085056,118.0,3542.0,5.204371584699453,5.0
