book_or_instrument,partition,matched_rows,same_outcomes,betonline_price_net,betonline_price_roi,alternate_price_diagnostic_net,alternate_price_diagnostic_roi,difference_in_net,difference_in_roi,certified_alternate_roi,difference_source
betmgm,VALIDATION,648,YES,-31.307517420801776,-0.010281614916519468,-8.609215289671099,-0.0028273285023550404,22.698302131130678,0.007454286414164428,False,price only; alternate rule treatment uncertified
betonlineag,VALIDATION,1143,YES,-60.748555879623524,-0.0114945233452457,-60.748555879623524,-0.0114945233452457,0.0,0.0,True,none
betrivers,VALIDATION,20,YES,6.411716426856591,0.06411716426856591,3.5582335085607273,0.03558233508560727,-2.853482918295864,-0.02853482918295864,False,price only; alternate rule treatment uncertified
bovada,VALIDATION,535,YES,28.030078173138964,0.011101021058668897,32.78529281144969,0.012984274380772156,4.755214638310729,0.0018832533221032587,False,price only; alternate rule treatment uncertified
draftkings,VALIDATION,670,YES,-24.641847571677573,-0.007835245650771884,-22.590987230488878,-0.00718314379347818,2.050860341188695,0.0006521018572937035,False,price only; alternate rule treatment uncertified
fanatics,VALIDATION,40,YES,-35.92469861559607,-0.2052839920891204,-35.89236233656025,-0.20509921335177284,0.03233627903582459,0.00018477873734756844,False,price only; alternate rule treatment uncertified
mybookieag,VALIDATION,0,YES,0.0,,0.0,,0.0,,False,price only; alternate rule treatment uncertified
williamhill_us,VALIDATION,730,YES,-12.17268672015011,-0.0035592651228509094,26.894839303586906,0.007863988100464007,39.06752602373702,0.011423253223314916,False,price only; alternate rule treatment uncertified
betmgm,HOLDOUT,530,YES,-88.3929002161124,-0.035642298474238866,-68.08846980406919,-0.027455028146802094,20.304430412043203,0.008187270327436772,False,price only; alternate rule treatment uncertified
betonlineag,HOLDOUT,998,YES,-126.44954650634634,-0.027578963251111525,-126.44954650634634,-0.027578963251111525,0.0,0.0,True,none
betrivers,HOLDOUT,6,YES,-11.522988505747126,-0.3840996168582375,-12.422502870264065,-0.4140834290088022,-0.8995143645169392,-0.02998381215056467,False,price only; alternate rule treatment uncertified
bovada,HOLDOUT,553,YES,-152.07043358625188,-0.05894202852180305,-138.76375266493562,-0.05378440025772699,13.306680921316257,0.005157628264076064,False,price only; alternate rule treatment uncertified
draftkings,HOLDOUT,488,YES,-80.34378075004041,-0.03531594758243534,-70.82316363588211,-0.031131060938849278,9.520617114158298,0.004184886643586065,False,price only; alternate rule treatment uncertified
fanatics,HOLDOUT,42,YES,-48.7510410639792,-0.23214781459037714,-47.04453416053982,-0.2240215912406658,1.706506903439383,0.008126223349711331,False,price only; alternate rule treatment uncertified
mybookieag,HOLDOUT,0,YES,0.0,,0.0,,0.0,,False,price only; alternate rule treatment uncertified
williamhill_us,HOLDOUT,620,YES,-156.25853824919244,-0.054256436892080706,-122.1521931292423,-0.04241395594765358,34.106345119950134,0.01184248094442713,False,price only; alternate rule treatment uncertified
betmgm,FULL,3084,YES,-390.70572484319814,-0.027198449345158242,-327.06395055360036,-0.022768113508778307,63.64177428959778,0.004430335836379935,False,price only; alternate rule treatment uncertified
betonlineag,FULL,5902,YES,-722.3992732298144,-0.02672089044682132,-722.3992732298144,-0.02672089044682132,0.0,0.0,True,none
betrivers,FULL,82,YES,13.125925553635824,0.033656219368296984,-1.5238970491633266,-0.003907428331188017,-14.649822602799151,-0.037563647699485,False,price only; alternate rule treatment uncertified
bovada,FULL,3224,YES,-643.7709251857466,-0.042860913793991116,-557.4141021688591,-0.03711145820032351,86.35682301688746,0.005749455593667609,False,price only; alternate rule treatment uncertified
draftkings,FULL,3359,YES,-636.2138421599932,-0.04066563388686438,-565.8626199774512,-0.03616891147187288,70.35122218254196,0.004496722414991501,False,price only; alternate rule treatment uncertified
fanatics,FULL,191,YES,13.4836837820665,0.014736266428487977,19.014409540526273,0.020780775454127074,5.5307257584597735,0.006044509025639097,False,price only; alternate rule treatment uncertified
mybookieag,FULL,855,YES,3.720477069579701,0.0009418929290075192,-24.653252046096547,-0.0062413296319231764,-28.373729115676248,-0.0071832225609306955,False,price only; alternate rule treatment uncertified
williamhill_us,FULL,3660,YES,-631.3440887132391,-0.03710514773513013,-447.25901298704116,-0.02628616003450139,184.08507572619794,0.010818987700628738,False,price only; alternate rule treatment uncertified
