instrument,left_out_dimension,left_out_value,eligible_c1_rows,priced_rows,settled_wagers,wins,losses,voids,rule_uncertified,technical_unresolved,coverage_rate,average_odds,stake,returned_stake,gross_winning_profit,net_dollars,roi
P3_BEST_EXECUTABLE,date,2026-05-01,5828,5828,5336,3346,1990,441,0,51,1.0,-184.7162668665667,26680,16730,9229.703872653186,-720.2961273468125,-0.02699760597251921
P3_BEST_EXECUTABLE,date,2026-05-02,5851,5851,5358,3365,1993,442,0,51,1.0,-184.93393057110862,26790,16825,9267.065699826639,-697.9343001733614,-0.02605204554585149
P3_BEST_EXECUTABLE,date,2026-05-03,5805,5805,5319,3344,1975,435,0,51,1.0,-184.86407219402145,26595,16720,9216.77769829149,-658.2223017085096,-0.024749851540083082
P3_BEST_EXECUTABLE,date,2026-05-04,5832,5832,5345,3354,1991,437,0,50,1.0,-184.95042095416278,26725,16770,9240.160070645285,-714.8399293547166,-0.026747986131140003
P3_BEST_EXECUTABLE,date,2026-05-05,5837,5837,5346,3353,1993,440,0,51,1.0,-184.95922184811073,26730,16765,9234.052417402541,-730.9475825974573,-0.027345588574540117
P3_BEST_EXECUTABLE,date,2026-05-06,5836,5836,5346,3353,1993,439,0,51,1.0,-185.03086419753086,26730,16765,9231.567889252914,-733.4321107470864,-0.027438537626153624
P3_BEST_EXECUTABLE,date,2026-05-07,5835,5835,5350,3355,1995,435,0,50,1.0,-184.87588785046728,26750,16775,9245.959025781644,-729.040974218356,-0.02725386819507873
P3_BEST_EXECUTABLE,date,2026-05-08,5822,5822,5331,3335,1996,440,0,51,1.0,-184.7754642656162,26655,16675,9194.27667998117,-785.7233200188293,-0.029477520916106895
P3_BEST_EXECUTABLE,date,2026-05-09,5803,5803,5314,3334,1980,440,0,49,1.0,-184.89781708694017,26570,16670,9187.488639436906,-712.5113605630934,-0.026816385418257184
P3_BEST_EXECUTABLE,date,2026-05-10,5810,5810,5327,3336,1991,433,0,50,1.0,-184.8359301670734,26635,16680,9197.936434792153,-757.063565207847,-0.028423636763951453
