schema,object_name,object_type,owner,estimated_rows,exact_rows_when_safe,size_bytes,created_date,last_definition_change,last_write_evidence,date_coverage,primary_identity_columns,primary_key,foreign_key_dependencies,dependent_views_functions,trigger_writers,rls_enabled,active_repository_callers,active_scheduled_callers,known_research_callers
auth,audit_log_entries,TABLE,supabase_auth_admin,9167,,2703360,,,,,,PRIMARY KEY (id),,,,True,1,,0
auth,custom_oauth_providers,TABLE,supabase_auth_admin,0,,57344,,,,,,PRIMARY KEY (id),,,,False,1,,0
auth,flow_state,TABLE,supabase_auth_admin,1,,81920,,,,,,PRIMARY KEY (id),,,,True,1,,0
auth,identities,TABLE,supabase_auth_admin,2,,81920,,,,,,PRIMARY KEY (id),,,,True,1,,0
auth,instances,TABLE,supabase_auth_admin,0,,16384,,,,,,PRIMARY KEY (id),,,,True,1,,0
auth,mfa_amr_claims,TABLE,supabase_auth_admin,4,,49152,,,,,,PRIMARY KEY (id),,,,True,1,,0
auth,mfa_challenges,TABLE,supabase_auth_admin,0,,24576,,,,,,PRIMARY KEY (id),,,,True,1,,0
auth,mfa_factors,TABLE,supabase_auth_admin,0,,57344,,,,,,PRIMARY KEY (id),,,,True,1,,0
auth,oauth_authorizations,TABLE,supabase_auth_admin,0,,40960,,,,,,PRIMARY KEY (id),,,,False,1,,0
auth,oauth_client_states,TABLE,supabase_auth_admin,0,,24576,,,,,,PRIMARY KEY (id),,,,False,1,,0
auth,oauth_clients,TABLE,supabase_auth_admin,0,,24576,,,,,,PRIMARY KEY (id),,,,False,1,,0
auth,oauth_consents,TABLE,supabase_auth_admin,0,,49152,,,,,,PRIMARY KEY (id),,,,False,1,,0
auth,one_time_tokens,TABLE,supabase_auth_admin,0,,114688,,,,,,PRIMARY KEY (id),,,,True,1,,0
auth,refresh_tokens,TABLE,supabase_auth_admin,94,,843776,,,,,,PRIMARY KEY (id),,,,True,1,,0
auth,refresh_tokens_id_seq,SEQUENCE,supabase_auth_admin,1,,8192,,,,,,,,,,False,1,,0
auth,saml_providers,TABLE,supabase_auth_admin,0,,32768,,,,,,PRIMARY KEY (id),,,,True,1,,0
auth,saml_relay_states,TABLE,supabase_auth_admin,0,,40960,,,,,,PRIMARY KEY (id),,,,True,1,,0
auth,schema_migrations,TABLE,supabase_auth_admin,77,,24576,,,,,,PRIMARY KEY (version),,,,True,1,,0
auth,sessions,TABLE,supabase_auth_admin,4,,131072,,,,,,PRIMARY KEY (id),,,,True,1,,0
auth,sso_domains,TABLE,supabase_auth_admin,0,,32768,,,,,,PRIMARY KEY (id),,,,True,1,,0
auth,sso_providers,TABLE,supabase_auth_admin,0,,32768,,,,,,PRIMARY KEY (id),,,,True,1,,0
auth,users,TABLE,supabase_auth_admin,2,,163840,,,,,,PRIMARY KEY (id),,,,True,1,,0
auth,webauthn_challenges,TABLE,supabase_auth_admin,0,,32768,,,,,,PRIMARY KEY (id),,,,False,1,,0
auth,webauthn_credentials,TABLE,supabase_auth_admin,0,,32768,,,,,,PRIMARY KEY (id),,,,False,1,,0
cron,job,TABLE,supabase_admin,10,,49152,,,,,,PRIMARY KEY (jobid),,,,True,2,,0
cron,job_run_details,TABLE,supabase_admin,3321,,835584,,,,,,PRIMARY KEY (runid),,,,True,1,,0
cron,jobid_seq,SEQUENCE,supabase_admin,1,,8192,,,,,,,,,,False,0,,0
cron,runid_seq,SEQUENCE,supabase_admin,1,,8192,,,,,,,,,,False,0,,0
extensions,pg_stat_statements,VIEW,supabase_admin,-1,,0,,,,,,,,,,False,1,,0
extensions,pg_stat_statements_info,VIEW,supabase_admin,-1,,0,,,,,,,,,,False,1,,0
mlb,bvp_stats,TABLE,postgres,133037,133037,40329216,,,,2025-07-15 00:34:49.492212+00..2025-08-30 11:18:33.401722+00,game_id|batter_id|pitcher_id,"PRIMARY KEY (game_id, batter_id, pitcher_id)",,,,True,9,,0
mlb,game_info,TABLE,postgres,9583,9594,2179072,,,,2023-03-30..2026-07-28,game_id,PRIMARY KEY (game_id),,,,False,22,,1
mlb,model_training_props,TABLE,postgres,2633375,2636037,2903416832,,,,2023-03-30..2026-07-27,game_id|player_id|team_id,PRIMARY KEY (id),,,,True,96,,8
mlb,pitcher_game_v4_base,VIEW,postgres,-1,,0,,,,2025-03-30..2026-07-27,game_id|player_id,,,,,False,2,,0
mlb,pitcher_game_v4_features_1,VIEW,postgres,-1,,0,,,,2025-03-30..2026-07-27,game_id|player_id,,,,,False,1,,0
mlb,pitcher_game_v4_features_2,VIEW,postgres,-1,,0,,,,2025-03-30..2026-07-27,game_id|player_id,,,,,False,1,,0
mlb,pitcher_game_v4_features_2_clean,VIEW,postgres,-1,,0,,,,2025-03-30..2026-07-27,game_id|player_id,,,,,False,1,,0
mlb,pitcher_game_v4_features_3,VIEW,postgres,-1,,0,,,,2025-03-30..2026-07-27,game_id|player_id,,,,,False,1,,0
mlb,pitcher_game_v4_features_4,VIEW,postgres,-1,,0,,,,2025-03-30..2026-07-27,game_id|player_id,,,,,False,1,,0
mlb,pitcher_game_v4_features_5,VIEW,postgres,-1,,0,,,,2025-03-30..2026-07-27,game_id|player_id,,,,,False,1,,0
mlb,pitcher_game_v4_features_6,VIEW,postgres,-1,,0,,,,2025-03-30..2026-07-27,game_id|player_id,,,,,False,1,,0
mlb,pitcher_game_v4_features_7,VIEW,postgres,-1,,0,,,,2025-03-30..2026-07-27,game_id|player_id,,,,,False,1,,0
mlb,pitcher_game_v4_features_8,VIEW,postgres,-1,,0,,,,2025-03-30..2026-07-27,game_id|player_id,,,,,False,1,,0
mlb,player_derived_stats,TABLE,postgres,513227,513147,474595328,,,,2023-03-30..2026-07-27,game_id|player_id,PRIMARY KEY (id),,,,True,47,,10
mlb,player_ids,TABLE,postgres,4941,4941,2629632,,,,2025-05-11 22:34:45.167571+00..2026-07-25 19:42:58.496212+00,player_id|team_id,PRIMARY KEY (id),,,,True,40,,1
mlb,player_profiles_cache,TABLE,postgres,670,670,3186688,,,,2025-09-10 07:31:14.539225+00..2025-09-10 07:37:24.539883+00,player_id,PRIMARY KEY (player_id),,,,True,11,,0
mlb,player_props,TABLE,postgres,5465,5465,1998848,,,,2025-04-14..2025-09-17,game_id|player_id|team_id,PRIMARY KEY (id),,,,False,52,,1
mlb,player_stats,TABLE,postgres,510002,510519,297099264,,,,2023-03-30..2026-07-27,game_id|player_id,"PRIMARY KEY (player_id, game_id)",,,,True,50,,3
mlb,player_streak_history,TABLE,postgres,220034,220034,46727168,,,,2023-08-31..2025-07-21,game_id|player_id,"PRIMARY KEY (player_id, game_id, prop_type, prop_source)",,,,False,6,,0
mlb,player_streak_profiles,TABLE,postgres,26924,26924,8552448,,,,2025-05-07 18:16:26.624+00..2025-09-26 00:00:00+00,player_id,PRIMARY KEY (id),,,,True,14,,0
mlb,player_team_by_game,TABLE,postgres,102894,102894,9502720,,,,2025-09-03 20:18:15.792876+00..2025-09-03 20:18:15.792876+00,game_id|player_id|team_id,"PRIMARY KEY (player_id, game_id)",,,,False,9,,1
mlb,prop_features_precomputed,TABLE,postgres,235642,238112,226435072,,,,2025-07-31..2026-07-28,game_id|player_id,"PRIMARY KEY (prop_type, player_id, game_id, feature_set_tag)",,,,False,39,,7
mlb,today_market_snapshot,MATERIALIZED_VIEW,postgres,1502,,442368,,,,,,,,,,False,3,,0
mlb,today_market_timing_signal,MATERIALIZED_VIEW,postgres,1565,,466944,,,,,,,,,,False,2,,0
mlb,today_odds_book_rows,TABLE,postgres,2403084,2407555,1559322624,,,,2026-04-19..2026-07-28,game_id|player_id,,,,,False,5,,0
mlb,today_player_context,MATERIALIZED_VIEW,postgres,23247,,4448256,,,,,,,,,,False,2,,0
mlb,today_slate_rows,TABLE,postgres,96751,108959,39608320,,,,2026-04-19..2026-07-28,game_id|player_id,,,,,False,4,,0
mlb,today_wide_rows,TABLE,postgres,91769,103965,25804800,,,,2026-04-19..2026-07-28,game_id|player_id,,,,,False,4,,0
mlb,today_workspace_mlb,MATERIALIZED_VIEW,postgres,3004,,1482752,,,,,,,,,,False,3,,0
nhl,_points_stage,TABLE,postgres,324,,24576,,,,,game_id|player_id,,,,,False,3,,0
nhl,backfill_progress,TABLE,postgres,2,,65536,,,,,,PRIMARY KEY (task),,,,False,7,,0
nhl,blocked_shot_events,TABLE,postgres,30089,,6184960,,,,,game_id,"PRIMARY KEY (game_id, event_id)",,,,False,9,,0
nhl,data_quality_audit,TABLE,postgres,96,,139264,,,,,,"PRIMARY KEY (audit_date, check_name)",,,,False,6,,0
nhl,eval_sog_daily,TABLE,postgres,2931,,1024000,,,,,,"PRIMARY KEY (game_date, model_family, model_version, line, segment_type, segment_value)",,,,False,2,,0
nhl,game_manpower_segments,TABLE,postgres,7501,,1433600,,,,,game_id,"PRIMARY KEY (game_id, period, start_sec, end_sec, pp_team_id)",,,,False,5,,0
nhl,games,TABLE,postgres,4110,,1794048,,,,,game_id,PRIMARY KEY (game_id),,,,False,183,,3
nhl,games_season_audit,TABLE,postgres,3332,,557056,,,,,game_id,PRIMARY KEY (audit_id),,,,False,2,,0
nhl,games_season_audit_audit_id_seq,SEQUENCE,postgres,1,,8192,,,,,,,,,,False,1,,0
nhl,games_write_audit,TABLE,postgres,3333,,589824,,,,,game_id,PRIMARY KEY (audit_id),,,,False,2,,0
nhl,games_write_audit_audit_id_seq,SEQUENCE,postgres,1,,8192,,,,,,,,,,False,1,,0
nhl,goalie_game_logs_raw,TABLE,postgres,7374,,2621440,,,,,game_id|player_id|team_id,"PRIMARY KEY (player_id, game_id)",,,,False,22,,0
nhl,goalie_roll_feats_m,MATERIALIZED_VIEW,postgres,6074,,1155072,,,,,,,,,,False,4,,0
nhl,goalie_rolling_agg,TABLE,postgres,5812,,2072576,,,,,game_id|player_id,"PRIMARY KEY (player_id, game_id)",,,,False,5,,0
nhl,goalies2023_stage,TABLE,postgres,490,,139264,,,,,,,,,,False,3,,0
nhl,goalies2023_stage_raw,TABLE,postgres,490,,147456,,,,,,,,,,False,3,,0
nhl,goalies_szn_sit,TABLE,postgres,0,,40960,,,,,player_id,,,,,False,3,,0
nhl,import_goalie_logs_stage,TABLE,postgres,5141,,688128,,,,,game_id|player_id|team_id,,,,,False,10,,0
nhl,import_player_external_ids_stage,TABLE,postgres,829,,73728,,,,,player_id,,,,,False,5,,0
nhl,import_players_stage,TABLE,postgres,314,,49152,,,,,player_id|team_id,,,,,False,7,,0
nhl,import_skater_logs_stage,TABLE,postgres,146180,,27402240,,,,,game_id|player_id|team_id,,,,,False,17,,0
nhl,import_skater_points_stage,TABLE,postgres,198250,,19841024,,,,,game_id|player_id|team_id,,,,,False,4,,0
nhl,keep_games_filter,TABLE,postgres,2350,,196608,,,,,game_id,PRIMARY KEY (game_id),,,,False,5,,0
nhl,lines_szn_sit_denali,TABLE,postgres,6004,,3866624,,,,,,,,,,False,3,,0
nhl,pairing_features_store_v2,TABLE,postgres,783,,221184,,,,,game_id|player_id|team_id,"PRIMARY KEY (game_id, player_id)",,,,False,2,,0
nhl,pairing_features_v2,VIEW,postgres,-1,,0,,,,,game_id|player_id,,,,,False,2,,0
nhl,player_external_ids,TABLE,postgres,1211,,385024,,,,,player_id,"PRIMARY KEY (player_id, provider)",,,,False,14,,0
nhl,player_game_2023_roll,TABLE,postgres,42831,,6086656,,,,,game_id,,,,,False,3,,0
nhl,player_game_2023_summary,TABLE,postgres,42831,,4374528,,,,,game_id,,,,,False,3,,0
nhl,player_game_2024_roll,TABLE,postgres,42711,,6070272,,,,,game_id,,,,,False,3,,0
nhl,player_game_2024_summary,TABLE,postgres,42711,,4366336,,,,,game_id,,,,,False,3,,0
nhl,player_game_shots_2023,TABLE,postgres,42831,,3325952,,,,,game_id,,,,,False,3,,0
nhl,player_shot_history_denali,VIEW,postgres,-1,,0,,,,,game_id|player_id,,,,,False,4,,0
nhl,player_shot_phoenix_denali,VIEW,postgres,-1,,0,,,,,game_id|player_id,,,,,False,3,,0
nhl,player_sog_denali_base,VIEW,postgres,-1,,0,,,,,game_id|player_id|team_id,,,,,False,3,,0
nhl,players,TABLE,postgres,1579,,442368,,,,,player_id|team_id,PRIMARY KEY (player_id),,,,False,118,,6
nhl,points_training_frame_phoenix,VIEW,postgres,-1,,0,,,,,game_id|player_id,,,,,False,4,,0
nhl,pp_roles_slate,TABLE,postgres,807,,139264,,,,,player_id|team_id,"PRIMARY KEY (game_date, team_id, player_id)",,,,False,5,,0
nhl,predictions,TABLE,postgres,583758,,433471488,,,,,game_id|player_id,PRIMARY KEY (prediction_id),,,,False,34,,0
nhl,predictions_prediction_id_seq,SEQUENCE,postgres,1,,8192,,,,,,,,,,False,4,,0
nhl,roster_names,TABLE,postgres,772,,139264,,,,,player_id,PRIMARY KEY (player_id),,,,False,3,,0
nhl,roster_status,TABLE,postgres,66929,,55517184,,,,,game_id|player_id|team_id,"PRIMARY KEY (game_id, team_id, player_id, asof_ts)",,,,False,27,,0
nhl,shift_teammate_overlap_features_game,VIEW,postgres,-1,,0,,,,,game_id|player_id|team_id,,,,,False,6,,0
nhl,shift_teammate_overlap_features_rolling_d10,VIEW,postgres,-1,,0,,,,,game_id|player_id,,,,,False,3,,0
nhl,shift_teammate_overlap_features_rolling_d20,VIEW,postgres,-1,,0,,,,,game_id|player_id,,,,,False,3,,0
nhl,shift_teammate_overlap_game,TABLE,postgres,174524,,24748032,,,,,game_id|player_id,"PRIMARY KEY (game_id, player_id, mate_id)",,,,False,5,,0
nhl,shift_teammate_overlap_game_recent_v2,TABLE,postgres,221414,,37584896,,,,,game_id|player_id|team_id,"PRIMARY KEY (game_id, player_id, teammate_id)",,,,False,2,,0
nhl,shift_teammate_overlap_game_v2,VIEW,postgres,-1,,0,,,,,game_id|player_id|team_id,,,,,False,2,,0
nhl,shiftcharts_pairings_game,TABLE,postgres,37422,,8388608,,,,,game_id|player_id|team_id,"PRIMARY KEY (game_id, player_id)",,,,False,3,,0
nhl,shiftcharts_raw,TABLE,postgres,783523,,894918656,,,,,game_id|player_id|team_id,"PRIMARY KEY (game_id, shift_id)",,,,False,10,,0
nhl,shiftcharts_shifts,TABLE,postgres,769466,,194674688,,,,,game_id|player_id|team_id,"PRIMARY KEY (game_id, shift_id)",,,,False,13,,0
nhl,shiftcharts_shifts_clean_v2,VIEW,postgres,-1,,0,,,,,game_id|player_id|team_id,,,,,False,2,,0
nhl,shiftcharts_shifts_clean_v3,VIEW,postgres,-1,,0,,,,,game_id|player_id|team_id,,,,,False,2,,0
nhl,shot_on_goal_events,TABLE,postgres,47582,,11124736,,,,,game_id,"PRIMARY KEY (game_id, event_id)",,,,False,9,,0
nhl,shot_stats_denali,TABLE,postgres,83006,,12214272,,,,,game_id,"PRIMARY KEY (shooterplayerid, game_id)",,,,False,3,,0
nhl,shots_all,TABLE,postgres,242342,,45129728,,,,,game_id,,,,,False,5,,0
nhl,shots_stage_2023,TABLE,postgres,122472,,76587008,,,,,game_id,,,,,False,4,,0
nhl,shots_stage_2024,TABLE,postgres,119870,,75939840,,,,,game_id,,,,,False,3,,0
nhl,skater_game_logs_raw,TABLE,postgres,146700,,91095040,,,,,game_id|player_id|team_id,"PRIMARY KEY (player_id, game_id)",,,,False,79,,0
nhl,skater_game_special_teams_exposure,TABLE,postgres,14100,,3276800,,,,,game_id|player_id|team_id,"PRIMARY KEY (game_id, player_id)",,,,False,2,,0
