batch,schema,object_name,object_type,future_action,reason
3,auth,audit_log_entries,TABLE,REQUIRES_BLOCKER_RESOLUTION,Supabase platform object outside MLB source boundary
3,auth,custom_oauth_providers,TABLE,REQUIRES_BLOCKER_RESOLUTION,Supabase platform object outside MLB source boundary
3,auth,flow_state,TABLE,REQUIRES_BLOCKER_RESOLUTION,Supabase platform object outside MLB source boundary
3,auth,identities,TABLE,REQUIRES_BLOCKER_RESOLUTION,Supabase platform object outside MLB source boundary
3,auth,instances,TABLE,REQUIRES_BLOCKER_RESOLUTION,Supabase platform object outside MLB source boundary
3,auth,mfa_amr_claims,TABLE,REQUIRES_BLOCKER_RESOLUTION,Supabase platform object outside MLB source boundary
3,auth,mfa_challenges,TABLE,REQUIRES_BLOCKER_RESOLUTION,Supabase platform object outside MLB source boundary
3,auth,mfa_factors,TABLE,REQUIRES_BLOCKER_RESOLUTION,Supabase platform object outside MLB source boundary
3,auth,oauth_authorizations,TABLE,REQUIRES_BLOCKER_RESOLUTION,Supabase platform object outside MLB source boundary
3,auth,oauth_client_states,TABLE,REQUIRES_BLOCKER_RESOLUTION,Supabase platform object outside MLB source boundary
3,auth,oauth_clients,TABLE,REQUIRES_BLOCKER_RESOLUTION,Supabase platform object outside MLB source boundary
3,auth,oauth_consents,TABLE,REQUIRES_BLOCKER_RESOLUTION,Supabase platform object outside MLB source boundary
3,auth,one_time_tokens,TABLE,REQUIRES_BLOCKER_RESOLUTION,Supabase platform object outside MLB source boundary
3,auth,refresh_tokens,TABLE,REQUIRES_BLOCKER_RESOLUTION,Supabase platform object outside MLB source boundary
3,auth,refresh_tokens_id_seq,SEQUENCE,REQUIRES_BLOCKER_RESOLUTION,Supabase platform object outside MLB source boundary
3,auth,saml_providers,TABLE,REQUIRES_BLOCKER_RESOLUTION,Supabase platform object outside MLB source boundary
3,auth,saml_relay_states,TABLE,REQUIRES_BLOCKER_RESOLUTION,Supabase platform object outside MLB source boundary
3,auth,schema_migrations,TABLE,REQUIRES_BLOCKER_RESOLUTION,Supabase platform object outside MLB source boundary
3,auth,sessions,TABLE,REQUIRES_BLOCKER_RESOLUTION,Supabase platform object outside MLB source boundary
3,auth,sso_domains,TABLE,REQUIRES_BLOCKER_RESOLUTION,Supabase platform object outside MLB source boundary
3,auth,sso_providers,TABLE,REQUIRES_BLOCKER_RESOLUTION,Supabase platform object outside MLB source boundary
3,auth,users,TABLE,REQUIRES_BLOCKER_RESOLUTION,Supabase platform object outside MLB source boundary
3,auth,webauthn_challenges,TABLE,REQUIRES_BLOCKER_RESOLUTION,Supabase platform object outside MLB source boundary
3,auth,webauthn_credentials,TABLE,REQUIRES_BLOCKER_RESOLUTION,Supabase platform object outside MLB source boundary
3,cron,job,TABLE,REQUIRES_BLOCKER_RESOLUTION,Supabase platform object outside MLB source boundary
3,cron,job_run_details,TABLE,REQUIRES_BLOCKER_RESOLUTION,Supabase platform object outside MLB source boundary
3,cron,jobid_seq,SEQUENCE,REQUIRES_BLOCKER_RESOLUTION,Supabase platform object outside MLB source boundary
